year,month,states,unemployment_rate
1976,1,Alaska,9.3
1976,2,Alaska,9.4
1976,3,Alaska,8.9
1976,4,Alaska,7.5
1976,5,Alaska,7
1976,6,Alaska,7.5
1976,7,Alaska,5.7
1976,8,Alaska,5.6
1976,9,Alaska,6.4
1976,10,Alaska,7
1976,11,Alaska,8.3
1976,12,Alaska,8.7
1977,1,Alaska,10.4
1977,2,Alaska,11.4
1977,3,Alaska,11
1977,4,Alaska,10.5
1977,5,Alaska,10
1977,6,Alaska,9.8
1977,7,Alaska,8.6
1977,8,Alaska,7.9
1977,9,Alaska,8.5
1977,10,Alaska,9.3
1977,11,Alaska,10.3
1977,12,Alaska,10.8
1978,1,Alaska,12.9
1978,2,Alaska,12.6
1978,3,Alaska,12.5
1978,4,Alaska,11.7
1978,5,Alaska,11.2
1978,6,Alaska,10.9
1978,7,Alaska,9.2
1978,8,Alaska,8.6
1978,9,Alaska,9.1
1978,10,Alaska,9.4
1978,11,Alaska,10
1978,12,Alaska,10.1
1979,1,Alaska,11.1
1979,2,Alaska,11.5
1979,3,Alaska,10.8
1979,4,Alaska,9.9
1979,5,Alaska,9.2
1979,6,Alaska,9.4
1979,7,Alaska,7.8
1979,8,Alaska,7.3
1979,9,Alaska,7.9
1979,10,Alaska,8.4
1979,11,Alaska,9.2
1979,12,Alaska,9.3
1980,1,Alaska,10.2
1980,2,Alaska,10.9
1980,3,Alaska,10.8
1980,4,Alaska,10.6
1980,5,Alaska,9.6
1980,6,Alaska,10.2
1980,7,Alaska,8.8
1980,8,Alaska,8.2
1980,9,Alaska,8.5
1980,10,Alaska,8.8
1980,11,Alaska,9.3
1980,12,Alaska,9.6
1981,1,Alaska,11
1981,2,Alaska,11
1981,3,Alaska,10.3
1981,4,Alaska,9.1
1981,5,Alaska,8.8
1981,6,Alaska,9.5
1981,7,Alaska,8.3
1981,8,Alaska,8
1981,9,Alaska,8.4
1981,10,Alaska,8.8
1981,11,Alaska,9.5
1981,12,Alaska,9.9
1982,1,Alaska,11.4
1982,2,Alaska,11.6
1982,3,Alaska,11.1
1982,4,Alaska,10.3
1982,5,Alaska,9.9
1982,6,Alaska,10.1
1982,7,Alaska,8.7
1982,8,Alaska,8.2
1982,9,Alaska,8.6
1982,10,Alaska,9.1
1982,11,Alaska,10
1982,12,Alaska,10.3
1983,1,Alaska,11.9
1983,2,Alaska,12.1
1983,3,Alaska,11.4
1983,4,Alaska,10.4
1983,5,Alaska,9.9
1983,6,Alaska,9.8
1983,7,Alaska,8.5
1983,8,Alaska,8.3
1983,9,Alaska,8.6
1983,10,Alaska,9
1983,11,Alaska,9.7
1983,12,Alaska,10.1
1984,1,Alaska,11.7
1984,2,Alaska,11.8
1984,3,Alaska,11.3
1984,4,Alaska,10.8
