year,month,states,unemployment_rate
1976,1,Arizona,11.7
1976,2,Arizona,10.9
1976,3,Arizona,9.9
1976,4,Arizona,9.2
1976,5,Arizona,8.6
1976,6,Arizona,10.4
1976,7,Arizona,9.9
1976,8,Arizona,9.9
1976,9,Arizona,9.6
1976,10,Arizona,9.5
1976,11,Arizona,8.6
1976,12,Arizona,8.8
1977,1,Arizona,10.3
1977,2,Arizona,8.9
1977,3,Arizona,8.6
1977,4,Arizona,7.8
1977,5,Arizona,7.5
1977,6,Arizona,9.3
1977,7,Arizona,8.4
1977,8,Arizona,8.6
1977,9,Arizona,8.5
1977,10,Arizona,7.6
1977,11,Arizona,6.8
1977,12,Arizona,6.2
1978,1,Arizona,7.2
1978,2,Arizona,7
1978,3,Arizona,6.2
1978,4,Arizona,5.5
1978,5,Arizona,5.2
1978,6,Arizona,6.6
1978,7,Arizona,6.6
1978,8,Arizona,6
1978,9,Arizona,6.1
1978,10,Arizona,5.9
1978,11,Arizona,5.1
1978,12,Arizona,5.1
1979,1,Arizona,6.2
1979,2,Arizona,5.4
1979,3,Arizona,5.4
1979,4,Arizona,4.5
1979,5,Arizona,3.9
1979,6,Arizona,5.7
1979,7,Arizona,5.3
1979,8,Arizona,5.3
1979,9,Arizona,5.1
1979,10,Arizona,5
1979,11,Arizona,4.4
1979,12,Arizona,4.6
1980,1,Arizona,6.3
1980,2,Arizona,6
1980,3,Arizona,6.4
1980,4,Arizona,6.1
1980,5,Arizona,6.4
1980,6,Arizona,7.9
1980,7,Arizona,7.8
1980,8,Arizona,7.7
1980,9,Arizona,7
1980,10,Arizona,6.8
1980,11,Arizona,5.9
1980,12,Arizona,5.4
1981,1,Arizona,6.7
1981,2,Arizona,5.9
1981,3,Arizona,5.8
1981,4,Arizona,5.3
1981,5,Arizona,5.2
1981,6,Arizona,6.5
1981,7,Arizona,6.4
1981,8,Arizona,6.6
1981,9,Arizona,6.5
1981,10,Arizona,6.6
1981,11,Arizona,6.3
1981,12,Arizona,7
1982,1,Arizona,8.4
1982,2,Arizona,8
1982,3,Arizona,8.8
1982,4,Arizona,8.7
1982,5,Arizona,9.1
1982,6,Arizona,10.9
1982,7,Arizona,11.1
1982,8,Arizona,11.2
1982,9,Arizona,11.4
1982,10,Arizona,11.3
1982,11,Arizona,10.9
1982,12,Arizona,11.2
1983,1,Arizona,11.8
1983,2,Arizona,11.1
1983,3,Arizona,10.3
1983,4,Arizona,9.4
1983,5,Arizona,9.2
1983,6,Arizona,10
1983,7,Arizona,9.1
1983,8,Arizona,8.7
1983,9,Arizona,7.8
1983,10,Arizona,7.2
1983,11,Arizona,5.9
1983,12,Arizona,5.4
1984,1,Arizona,6.1
1984,2,Arizona,5.3
1984,3,Arizona,5.1
1984,4,Arizona,4.6
1984,5,Arizona,4.4
1984,6,Arizona,5.3
1984,7,Arizona,5.3
1984,8,Arizona,5.5
1984,9,Arizona,5.2
1984,10,Arizona,5.4
1984,11,Arizona,4.8
1984,12,Arizona,5.3
1985,1,Arizona,6.3
1985,2,Arizona,5.5
1985,3,Arizona,5.7
1985,4,Arizona,5.7
1985,5,Arizona,6
1985,6,Arizona,7.2
1985,7,Arizona,7.2
1985,8,Arizona,7
1985,9,Arizona,6.8
1985,10,Arizona,6.8
1985,11,Arizona,5.8
1985,12,Arizona,5.9
1986,1,Arizona,6.2
1986,2,Arizona,6.4
1986,3,Arizona,6.4
1986,4,Arizona,6.3
1986,5,Arizona,6.5
1986,6,Arizona,7.7
1986,7,Arizona,7.5
1986,8,Arizona,7.6
1986,9,Arizona,7.5
1986,10,Arizona,7.4
1986,11,Arizona,6.8
1986,12,Arizona,6.5
1987,1,Arizona,7.3
1987,2,Arizona,6.8
1987,3,Arizona,6.5
1987,4,Arizona,6.1
1987,5,Arizona,6.2
1987,6,Arizona,6.9
1987,7,Arizona,6.8
1987,8,Arizona,6.7
1987,9,Arizona,6.5
1987,10,Arizona,6.3
1987,11,Arizona,5.8
1987,12,Arizona,5.7
1988,1,Arizona,6.5
1988,2,Arizona,6.1
1988,3,Arizona,6.1
1988,4,Arizona,6
1988,5,Arizona,6.4
1988,6,Arizona,6.9
1988,7,Arizona,6.9
1988,8,Arizona,6.8
1988,9,Arizona,6.6
1988,10,Arizona,6.5
1988,11,Arizona,6
1988,12,Arizona,5.7
1989,1,Arizona,6.1
1989,2,Arizona,5.3
1989,3,Arizona,5.1
1989,4,Arizona,5.2
1989,5,Arizona,5.1
1989,6,Arizona,5.9
1989,7,Arizona,5.9
1989,8,Arizona,5.8
1989,9,Arizona,5.5
1989,10,Arizona,5
1989,11,Arizona,4.6
1989,12,Arizona,4.5
1990,1,Arizona,5.6
1990,2,Arizona,5.3
1990,3,Arizona,5.1
1990,4,Arizona,5.1
1990,5,Arizona,5.1
1990,6,Arizona,5.5
1990,7,Arizona,5.7
1990,8,Arizona,5.8
1990,9,Arizona,5.5
1990,10,Arizona,5
1990,11,Arizona,4.8
1990,12,Arizona,4.8
1991,1,Arizona,5.3
1991,2,Arizona,5.1
1991,3,Arizona,5
1991,4,Arizona,4.7
1991,5,Arizona,5.3
1991,6,Arizona,6.2
1991,7,Arizona,6.2
1991,8,Arizona,6.7
1991,9,Arizona,6.7
1991,10,Arizona,6.8
1991,11,Arizona,6.5
1991,12,Arizona,6.8
1992,1,Arizona,7.9
1992,2,Arizona,7.8
1992,3,Arizona,7.6
1992,4,Arizona,7.2
1992,5,Arizona,7.4
1992,6,Arizona,8.1
1992,7,Arizona,7.9
1992,8,Arizona,7.9
1992,9,Arizona,7.7
1992,10,Arizona,7.2
1992,11,Arizona,7
1992,12,Arizona,6.7
1993,1,Arizona,7.4
1993,2,Arizona,6.9
1993,3,Arizona,6.5
1993,4,Arizona,6.3
1993,5,Arizona,6.1
1993,6,Arizona,6.7
1993,7,Arizona,6.6
1993,8,Arizona,6.6
1993,9,Arizona,6.3
1993,10,Arizona,6.1
1993,11,Arizona,5.8
1993,12,Arizona,5.6
1994,1,Arizona,6.5
1994,2,Arizona,6.1
1994,3,Arizona,6
1994,4,Arizona,5.9
1994,5,Arizona,5.9
1994,6,Arizona,6.7
1994,7,Arizona,6.7
1994,8,Arizona,6.9
1994,9,Arizona,6.5
1994,10,Arizona,6.1
1994,11,Arizona,5.5
1994,12,Arizona,5.1
1995,1,Arizona,5.9
1995,2,Arizona,5.1
1995,3,Arizona,5.2
1995,4,Arizona,5.2
1995,5,Arizona,5.1
1995,6,Arizona,5.7
1995,7,Arizona,5.7
1995,8,Arizona,5.8
1995,9,Arizona,5.6
1995,10,Arizona,5.2
1995,11,Arizona,4.9
1995,12,Arizona,4.9
1996,1,Arizona,5.8
1996,2,Arizona,5.2
1996,3,Arizona,5.3
1996,4,Arizona,5.3
1996,5,Arizona,5.5
1996,6,Arizona,5.8
1996,7,Arizona,6.2
1996,8,Arizona,6.1
1996,9,Arizona,5.9
1996,10,Arizona,5.5
1996,11,Arizona,5.2
1996,12,Arizona,5
1997,1,Arizona,5.4
1997,2,Arizona,5
1997,3,Arizona,4.7
1997,4,Arizona,4.3
1997,5,Arizona,4.3
1997,6,Arizona,4.8
1997,7,Arizona,4.8
1997,8,Arizona,4.8
1997,9,Arizona,4.6
1997,10,Arizona,4.3
1997,11,Arizona,4
1997,12,Arizona,3.9
1998,1,Arizona,4.5
1998,2,Arizona,4.1
1998,3,Arizona,4.2
1998,4,Arizona,3.9
1998,5,Arizona,4
1998,6,Arizona,4.5
1998,7,Arizona,4.7
