year,month,states,unemployment_rate
1976,1,Colorado,6.6
1976,2,Colorado,6.3
1976,3,Colorado,6.6
1976,4,Colorado,5.2
1976,5,Colorado,4.6
1976,6,Colorado,6.3
1976,7,Colorado,5.7
1976,8,Colorado,5.4
1976,9,Colorado,5.9
1976,10,Colorado,5.3
1976,11,Colorado,5.9
1976,12,Colorado,6.1
1977,1,Colorado,6.8
1977,2,Colorado,7.9
1977,3,Colorado,7.8
1977,4,Colorado,6.7
1977,5,Colorado,5.7
1977,6,Colorado,7.1
1977,7,Colorado,6.1
1977,8,Colorado,5.7
1977,9,Colorado,5.7
1977,10,Colorado,5.5
1977,11,Colorado,5.7
1977,12,Colorado,5.7
1978,1,Colorado,7.2
1978,2,Colorado,6.5
1978,3,Colorado,6.9
1978,4,Colorado,5.7
1978,5,Colorado,5.1
1978,6,Colorado,6.2
1978,7,Colorado,5.4
1978,8,Colorado,4.9
1978,9,Colorado,5
1978,10,Colorado,4.4
1978,11,Colorado,4.6
1978,12,Colorado,4.7
1979,1,Colorado,5.6
1979,2,Colorado,5.5
1979,3,Colorado,5.5
1979,4,Colorado,4.5
1979,5,Colorado,4.4
1979,6,Colorado,5.1
1979,7,Colorado,4.5
1979,8,Colorado,4.4
1979,9,Colorado,4.4
1979,10,Colorado,4.3
1979,11,Colorado,4.4
1979,12,Colorado,4.5
1980,1,Colorado,5.4
1980,2,Colorado,5.3
1980,3,Colorado,5.5
1980,4,Colorado,5.3
1980,5,Colorado,5.5
1980,6,Colorado,6.6
1980,7,Colorado,6.2
1980,8,Colorado,6
1980,9,Colorado,6.1
1980,10,Colorado,5.9
1980,11,Colorado,5.9
1980,12,Colorado,5.8
1981,1,Colorado,7
1981,2,Colorado,6.8
1981,3,Colorado,6.5
1981,4,Colorado,5.6
1981,5,Colorado,5.4
1981,6,Colorado,6.3
1981,7,Colorado,5.3
1981,8,Colorado,4.9
1981,9,Colorado,5.1
1981,10,Colorado,5.1
1981,11,Colorado,5.4
1981,12,Colorado,5.7
1982,1,Colorado,6.9
1982,2,Colorado,7
1982,3,Colorado,7.2
1982,4,Colorado,6.6
1982,5,Colorado,6.5
1982,6,Colorado,7.6
1982,7,Colorado,7.2
1982,8,Colorado,7.1
1982,9,Colorado,7.6
1982,10,Colorado,7.8
1982,11,Colorado,8.2
1982,12,Colorado,8.3
1983,1,Colorado,9.2
1983,2,Colorado,8.9
1983,3,Colorado,8.9
1983,4,Colorado,8.1
1983,5,Colorado,7.5
1983,6,Colorado,7.8
1983,7,Colorado,6.6
1983,8,Colorado,6.1
1983,9,Colorado,5.9
1983,10,Colorado,5.5
1983,11,Colorado,5.3
1983,12,Colorado,5.5
1984,1,Colorado,6.4
1984,2,Colorado,6
1984,3,Colorado,5.9
1984,4,Colorado,5.2
1984,5,Colorado,5
1984,6,Colorado,5.6
1984,7,Colorado,5.2
1984,8,Colorado,5
1984,9,Colorado,5.1
1984,10,Colorado,5.1
1984,11,Colorado,5.3
1984,12,Colorado,5.5
1985,1,Colorado,6.7
1985,2,Colorado,6.7
1985,3,Colorado,6.6
1985,4,Colorado,5.8
1985,5,Colorado,5.5
1985,6,Colorado,6.3
1985,7,Colorado,5.8
1985,8,Colorado,5.7
1985,9,Colorado,5.7
1985,10,Colorado,5.8
1985,11,Colorado,6
1985,12,Colorado,6.3
1986,1,Colorado,7.5
1986,2,Colorado,7.8
1986,3,Colorado,7.7
1986,4,Colorado,7.1
1986,5,Colorado,7
1986,6,Colorado,7.5
1986,7,Colorado,7.1
1986,8,Colorado,7
1986,9,Colorado,7.5
1986,10,Colorado,7.7
1986,11,Colorado,8.1
1986,12,Colorado,8.2
1987,1,Colorado,9.2
1987,2,Colorado,9.1
1987,3,Colorado,9
1987,4,Colorado,8
1987,5,Colorado,7.5
1987,6,Colorado,7.7
1987,7,Colorado,6.8
1987,8,Colorado,6.5
1987,9,Colorado,6.6
1987,10,Colorado,6.6
1987,11,Colorado,6.8
1987,12,Colorado,6.9
1988,1,Colorado,8.1
1988,2,Colorado,7.8
1988,3,Colorado,7.6
1988,4,Colorado,6.6
1988,5,Colorado,6.4
1988,6,Colorado,6.7
1988,7,Colorado,6.2
1988,8,Colorado,6
1988,9,Colorado,5.8
1988,10,Colorado,5.5
1988,11,Colorado,5.7
1988,12,Colorado,5.7
1989,1,Colorado,6.9
1989,2,Colorado,6.7
1989,3,Colorado,6.3
1989,4,Colorado,5.6
1989,5,Colorado,5.4
1989,6,Colorado,5.9
1989,7,Colorado,5.3
1989,8,Colorado,5
1989,9,Colorado,5.1
1989,10,Colorado,5.1
1989,11,Colorado,5.4
1989,12,Colorado,5.5
1990,1,Colorado,6.2
1990,2,Colorado,5.9
1990,3,Colorado,5.8
1990,4,Colorado,5.2
1990,5,Colorado,5.1
1990,6,Colorado,5.5
1990,7,Colorado,5
1990,8,Colorado,4.8
1990,9,Colorado,4.8
1990,10,Colorado,4.6
1990,11,Colorado,4.9
1990,12,Colorado,4.9
1991,1,Colorado,5.8
1991,2,Colorado,5.7
1991,3,Colorado,5.6
1991,4,Colorado,4.9
1991,5,Colorado,4.9
1991,6,Colorado,5.4
1991,7,Colorado,5.1
1991,8,Colorado,4.9
1991,9,Colorado,4.9
1991,10,Colorado,4.9
1991,11,Colorado,5.3
1991,12,Colorado,5.5
1992,1,Colorado,6.5
1992,2,Colorado,6.4
1992,3,Colorado,6.5
1992,4,Colorado,5.8
1992,5,Colorado,5.9
1992,6,Colorado,6.4
1992,7,Colorado,5.9
1992,8,Colorado,5.7
1992,9,Colorado,5.6
1992,10,Colorado,5.4
1992,11,Colorado,5.8
1992,12,Colorado,6
1993,1,Colorado,6.8
1993,2,Colorado,6.5
1993,3,Colorado,6.2
1993,4,Colorado,5.5
1993,5,Colorado,5.3
1993,6,Colorado,5.7
1993,7,Colorado,5.1
1993,8,Colorado,4.8
1993,9,Colorado,4.6
1993,10,Colorado,4.4
1993,11,Colorado,4.5
1993,12,Colorado,4.4
1994,1,Colorado,5.4
1994,2,Colorado,5.2
1994,3,Colorado,5.2
1994,4,Colorado,4.5
1994,5,Colorado,4.2
1994,6,Colorado,4.6
1994,7,Colorado,4.2
1994,8,Colorado,3.9
1994,9,Colorado,3.6
1994,10,Colorado,3.4
1994,11,Colorado,3.5
1994,12,Colorado,3.4
1995,1,Colorado,4.3
1995,2,Colorado,4.1
1995,3,Colorado,4.1
1995,4,Colorado,3.9
1995,5,Colorado,3.9
1995,6,Colorado,4.4
1995,7,Colorado,4.2
1995,8,Colorado,4
1995,9,Colorado,3.9
1995,10,Colorado,3.7
1995,11,Colorado,3.9
1995,12,Colorado,3.9
1996,1,Colorado,4.8
1996,2,Colorado,4.6
1996,3,Colorado,4.6
1996,4,Colorado,4.2
1996,5,Colorado,4.3
1996,6,Colorado,4.8
1996,7,Colorado,4.5
1996,8,Colorado,4.1
1996,9,Colorado,3.9
1996,10,Colorado,3.7
1996,11,Colorado,3.8
1996,12,Colorado,3.6
1997,1,Colorado,4.4
1997,2,Colorado,4
1997,3,Colorado,4
1997,4,Colorado,3.3
1997,5,Colorado,3.3
1997,6,Colorado,3.7
1997,7,Colorado,3.4
1997,8,Colorado,3.2
1997,9,Colorado,3.1
1997,10,Colorado,2.9
1997,11,Colorado,3.2
1997,12,Colorado,3.2
1998,1,Colorado,4
1998,2,Colorado,3.9
1998,3,Colorado,4
1998,4,Colorado,3.5
1998,5,Colorado,3.6
1998,6,Colorado,4
1998,7,Colorado,3.8
1998,8,Colorado,3.6
1998,9,Colorado,3.5
1998,10,Colorado,3.3
1998,11,Colorado,3.3
1998,12,Colorado,3.1
1999,1,Colorado,3.6
1999,2,Colorado,3.4
1999,3,Colorado,3.3
1999,4,Colorado,3
1999,5,Colorado,2.9
1999,6,Colorado,3.4
1999,7,Colorado,3.2
1999,8,Colorado,3
1999,9,Colorado,2.9
1999,10,Colorado,2.7
1999,11,Colorado,2.8
1999,12,Colorado,2.7
2000,1,Colorado,3.2
2000,2,Colorado,3.1
2000,3,Colorado,3
2000,4,Colorado,2.5
2000,5,Colorado,2.5
2000,6,Colorado,3
2000,7,Colorado,2.9
2000,8,Colorado,2.8
2000,9,Colorado,2.6
2000,10,Colorado,2.4
2000,11,Colorado,2.6
2000,12,Colorado,2.5
2001,1,Colorado,3.2
2001,2,Colorado,3.2
2001,3,Colorado,3.3
2001,4,Colorado,3
2001,5,Colorado,3.1
2001,6,Colorado,3.7
