year,month,states,unemployment_rate
1976,1,Connecticut,11
1976,2,Connecticut,10.6
1976,3,Connecticut,9.7
1976,4,Connecticut,9.3
1976,5,Connecticut,9
1976,6,Connecticut,9.6
1976,7,Connecticut,9.5
1976,8,Connecticut,9.3
1976,9,Connecticut,9
1976,10,Connecticut,8.3
1976,11,Connecticut,8.4
1976,12,Connecticut,7.8
1977,1,Connecticut,8.7
1977,2,Connecticut,8.8
1977,3,Connecticut,7.8
1977,4,Connecticut,6.9
1977,5,Connecticut,6.6
1977,6,Connecticut,7.1
1977,7,Connecticut,7
1977,8,Connecticut,6.8
1977,9,Connecticut,6.6
1977,10,Connecticut,6.1
1977,11,Connecticut,6.1
1977,12,Connecticut,5.5
1978,1,Connecticut,6.4
1978,2,Connecticut,6
1978,3,Connecticut,5.5
1978,4,Connecticut,4.9
1978,5,Connecticut,4.8
1978,6,Connecticut,5.2
1978,7,Connecticut,5.4
1978,8,Connecticut,5.1
1978,9,Connecticut,5
1978,10,Connecticut,4.7
1978,11,Connecticut,4.9
1978,12,Connecticut,4.9
1979,1,Connecticut,6
1979,2,Connecticut,5.9
1979,3,Connecticut,5.4
1979,4,Connecticut,5.1
1979,5,Connecticut,5
1979,6,Connecticut,5.3
1979,7,Connecticut,5.2
1979,8,Connecticut,4.9
1979,9,Connecticut,4.8
1979,10,Connecticut,4.7
1979,11,Connecticut,4.8
1979,12,Connecticut,4.6
1980,1,Connecticut,5.9
1980,2,Connecticut,5.7
1980,3,Connecticut,5.2
1980,4,Connecticut,5.2
1980,5,Connecticut,5.6
1980,6,Connecticut,6.1
1980,7,Connecticut,6.4
1980,8,Connecticut,6.2
1980,9,Connecticut,5.9
1980,10,Connecticut,5.8
1980,11,Connecticut,5.9
1980,12,Connecticut,5.7
1981,1,Connecticut,6.7
1981,2,Connecticut,6.7
1981,3,Connecticut,6.1
1981,4,Connecticut,5.9
1981,5,Connecticut,6.1
1981,6,Connecticut,6.6
1981,7,Connecticut,6.2
1981,8,Connecticut,6
1981,9,Connecticut,5.7
1981,10,Connecticut,5.8
1981,11,Connecticut,6.1
1981,12,Connecticut,6.2
1982,1,Connecticut,7.1
1982,2,Connecticut,7.2
1982,3,Connecticut,6.8
1982,4,Connecticut,6.6
1982,5,Connecticut,6.7
1982,6,Connecticut,7.3
1982,7,Connecticut,7.1
1982,8,Connecticut,6.6
1982,9,Connecticut,6.6
1982,10,Connecticut,6.6
1982,11,Connecticut,6.8
1982,12,Connecticut,6.7
1983,1,Connecticut,7.8
1983,2,Connecticut,7.5
1983,3,Connecticut,6.9
1983,4,Connecticut,6.4
1983,5,Connecticut,6.1
1983,6,Connecticut,6.5
1983,7,Connecticut,6
1983,8,Connecticut,5.4
1983,9,Connecticut,5.2
1983,10,Connecticut,4.8
1983,11,Connecticut,4.9
1983,12,Connecticut,4.7
1984,1,Connecticut,5.6
1984,2,Connecticut,5.4
1984,3,Connecticut,4.8
1984,4,Connecticut,4.5
1984,5,Connecticut,4.5
1984,6,Connecticut,4.7
1984,7,Connecticut,4.8
1984,8,Connecticut,4.6
1984,9,Connecticut,4.3
1984,10,Connecticut,4.1
1984,11,Connecticut,4.3
1984,12,Connecticut,4.4
1985,1,Connecticut,5.6
1985,2,Connecticut,5.5
1985,3,Connecticut,5.1
1985,4,Connecticut,4.9
1985,5,Connecticut,4.9
1985,6,Connecticut,5.3
1985,7,Connecticut,5.2
1985,8,Connecticut,4.6
1985,9,Connecticut,4.3
1985,10,Connecticut,3.9
1985,11,Connecticut,3.8
1985,12,Connecticut,3.7
1986,1,Connecticut,4.4
1986,2,Connecticut,4.4
1986,3,Connecticut,4
1986,4,Connecticut,3.8
1986,5,Connecticut,3.9
1986,6,Connecticut,4.1
1986,7,Connecticut,4.2
1986,8,Connecticut,3.7
1986,9,Connecticut,3.5
1986,10,Connecticut,3.3
1986,11,Connecticut,3.5
1986,12,Connecticut,3.4
1987,1,Connecticut,4.4
1987,2,Connecticut,4.2
1987,3,Connecticut,3.7
