year,month,states,unemployment_rate
1976,1,District of Columbia,9.6
1976,2,District of Columbia,9.5
1976,3,District of Columbia,9
1976,4,District of Columbia,8.2
1976,5,District of Columbia,8.5
1976,6,District of Columbia,9.2
1976,7,District of Columbia,9
1976,8,District of Columbia,8.7
1976,9,District of Columbia,9
1976,10,District of Columbia,9.1
1976,11,District of Columbia,9.2
1976,12,District of Columbia,9
1977,1,District of Columbia,9.3
1977,2,District of Columbia,9.3
1977,3,District of Columbia,9.7
1977,4,District of Columbia,8.8
1977,5,District of Columbia,9
1977,6,District of Columbia,9.8
1977,7,District of Columbia,9.6
1977,8,District of Columbia,9.3
1977,9,District of Columbia,9.2
1977,10,District of Columbia,8.9
1977,11,District of Columbia,8.7
1977,12,District of Columbia,8.3
1978,1,District of Columbia,8.9
1978,2,District of Columbia,8.8
1978,3,District of Columbia,8.6
1978,4,District of Columbia,8
1978,5,District of Columbia,8.3
1978,6,District of Columbia,8.8
1978,7,District of Columbia,8.6
1978,8,District of Columbia,8.1
1978,9,District of Columbia,8
1978,10,District of Columbia,7.6
1978,11,District of Columbia,7.7
1978,12,District of Columbia,7.6
1979,1,District of Columbia,8.2
1979,2,District of Columbia,8.1
1979,3,District of Columbia,7.8
1979,4,District of Columbia,7
1979,5,District of Columbia,7
1979,6,District of Columbia,7.4
1979,7,District of Columbia,7
1979,8,District of Columbia,6.5
1979,9,District of Columbia,6.5
1979,10,District of Columbia,6.4
1979,11,District of Columbia,6.4
1979,12,District of Columbia,6
1980,1,District of Columbia,6.7
1980,2,District of Columbia,6.7
1980,3,District of Columbia,6.6
1980,4,District of Columbia,6.2
1980,5,District of Columbia,6.8
1980,6,District of Columbia,7.6
1980,7,District of Columbia,7.6
1980,8,District of Columbia,7.6
1980,9,District of Columbia,8.1
1980,10,District of Columbia,8.1
1980,11,District of Columbia,8.4
1980,12,District of Columbia,8.1
1981,1,District of Columbia,8.8
1981,2,District of Columbia,8.7
1981,3,District of Columbia,8.7
1981,4,District of Columbia,8.1
1981,5,District of Columbia,8.7
1981,6,District of Columbia,9.4
1981,7,District of Columbia,9.3
1981,8,District of Columbia,9
1981,9,District of Columbia,9.1
1981,10,District of Columbia,8.9
1981,11,District of Columbia,9
1981,12,District of Columbia,9.2
1982,1,District of Columbia,9.8
1982,2,District of Columbia,10.3
1982,3,District of Columbia,10.3
1982,4,District of Columbia,9.8
1982,5,District of Columbia,10.3
1982,6,District of Columbia,11.1
1982,7,District of Columbia,10.8
1982,8,District of Columbia,10.4
1982,9,District of Columbia,10.6
1982,10,District of Columbia,10.6
1982,11,District of Columbia,10.7
1982,12,District of Columbia,10.6
1983,1,District of Columbia,11.4
1983,2,District of Columbia,11.4
1983,3,District of Columbia,11.3
1983,4,District of Columbia,10.8
1983,5,District of Columbia,11.2
1983,6,District of Columbia,11.7
1983,7,District of Columbia,11.4
1983,8,District of Columbia,11.3
1983,9,District of Columbia,11.3
1983,10,District of Columbia,11.1
1983,11,District of Columbia,10.9
1983,12,District of Columbia,10.6
1984,1,District of Columbia,10.9
1984,2,District of Columbia,10.4
1984,3,District of Columbia,9.9
1984,4,District of Columbia,9
1984,5,District of Columbia,9
1984,6,District of Columbia,9.3
1984,7,District of Columbia,9
1984,8,District of Columbia,8.7
1984,9,District of Columbia,8.9
1984,10,District of Columbia,8.5
1984,11,District of Columbia,8.2
1984,12,District of Columbia,8
1985,1,District of Columbia,8.6
1985,2,District of Columbia,8.6
1985,3,District of Columbia,8.5
1985,4,District of Columbia,8.1
1985,5,District of Columbia,8.4
1985,6,District of Columbia,8.9
1985,7,District of Columbia,8.6
1985,8,District of Columbia,8.2
1985,9,District of Columbia,8.1
1985,10,District of Columbia,7.7
1985,11,District of Columbia,7.3
1985,12,District of Columbia,6.7
1986,1,District of Columbia,7.1
1986,2,District of Columbia,7.3
1986,3,District of Columbia,7.4
1986,4,District of Columbia,7
1986,5,District of Columbia,7.6
1986,6,District of Columbia,8.3
1986,7,District of Columbia,8
1986,8,District of Columbia,7.7
1986,9,District of Columbia,7.8
1986,10,District of Columbia,7.6
1986,11,District of Columbia,7.5
1986,12,District of Columbia,7.1
1987,1,District of Columbia,7.5
1987,2,District of Columbia,7.2
1987,3,District of Columbia,6.8
1987,4,District of Columbia,6
1987,5,District of Columbia,6.3
1987,6,District of Columbia,6.9
1987,7,District of Columbia,6.5
1987,8,District of Columbia,6.2
1987,9,District of Columbia,6.2
1987,10,District of Columbia,5.8
1987,11,District of Columbia,5.5
1987,12,District of Columbia,5.1
1988,1,District of Columbia,5.7
1988,2,District of Columbia,5.6
1988,3,District of Columbia,5.3
1988,4,District of Columbia,4.7
1988,5,District of Columbia,5
1988,6,District of Columbia,5.5
1988,7,District of Columbia,5.2
1988,8,District of Columbia,4.9
1988,9,District of Columbia,4.9
1988,10,District of Columbia,4.7
1988,11,District of Columbia,4.5
1988,12,District of Columbia,4.4
1989,1,District of Columbia,5.1
1989,2,District of Columbia,5.1
1989,3,District of Columbia,4.8
1989,4,District of Columbia,4.4
1989,5,District of Columbia,4.8
1989,6,District of Columbia,5.4
1989,7,District of Columbia,5.2
1989,8,District of Columbia,4.8
1989,9,District of Columbia,4.8
1989,10,District of Columbia,4.7
1989,11,District of Columbia,4.9
1989,12,District of Columbia,4.9
1990,1,District of Columbia,5.5
1990,2,District of Columbia,5.7
1990,3,District of Columbia,5.8
1990,4,District of Columbia,5.6
1990,5,District of Columbia,6
1990,6,District of Columbia,6.7
1990,7,District of Columbia,6.7
1990,8,District of Columbia,6.5
1990,9,District of Columbia,6.7
1990,10,District of Columbia,6.6
1990,11,District of Columbia,6.8
1990,12,District of Columbia,6.6
1991,1,District of Columbia,7.1
1991,2,District of Columbia,7.2
1991,3,District of Columbia,7.1
1991,4,District of Columbia,6.8
1991,5,District of Columbia,7.5
1991,6,District of Columbia,8.1
1991,7,District of Columbia,8.1
1991,8,District of Columbia,8
1991,9,District of Columbia,8.2
1991,10,District of Columbia,8.2
1991,11,District of Columbia,8.3
1991,12,District of Columbia,8.4
1992,1,District of Columbia,8.9
1992,2,District of Columbia,8.9
1992,3,District of Columbia,8.6
1992,4,District of Columbia,7.8
1992,5,District of Columbia,8.2
1992,6,District of Columbia,8.8
1992,7,District of Columbia,8.6
1992,8,District of Columbia,8.4
1992,9,District of Columbia,8.7
1992,10,District of Columbia,8.6
1992,11,District of Columbia,8.9
1992,12,District of Columbia,8.6
1993,1,District of Columbia,9.2
1993,2,District of Columbia,9.1
1993,3,District of Columbia,8.7
1993,4,District of Columbia,8
1993,5,District of Columbia,8.2
1993,6,District of Columbia,8.8
1993,7,District of Columbia,8.7
1993,8,District of Columbia,8.5
1993,9,District of Columbia,8.4
1993,10,District of Columbia,8.3
1993,11,District of Columbia,8.3
1993,12,District of Columbia,8.1
1994,1,District of Columbia,8.9
1994,2,District of Columbia,8.7
1994,3,District of Columbia,8.4
1994,4,District of Columbia,7.4
1994,5,District of Columbia,7.6
1994,6,District of Columbia,8.2
1994,7,District of Columbia,8.2
1994,8,District of Columbia,7.7
1994,9,District of Columbia,7.6
1994,10,District of Columbia,7.5
1994,11,District of Columbia,7.7
1994,12,District of Columbia,7.7
1995,1,District of Columbia,8.7
1995,2,District of Columbia,8.7
1995,3,District of Columbia,8.5
1995,4,District of Columbia,8.2
1995,5,District of Columbia,8.6
1995,6,District of Columbia,9.6
1995,7,District of Columbia,9.2
1995,8,District of Columbia,9
1995,9,District of Columbia,9
1995,10,District of Columbia,8.7
1995,11,District of Columbia,8.7
1995,12,District of Columbia,8.4
1996,1,District of Columbia,9
1996,2,District of Columbia,8.7
1996,3,District of Columbia,8.7
1996,4,District of Columbia,8.1
1996,5,District of Columbia,8.6
1996,6,District of Columbia,9
1996,7,District of Columbia,8.9
1996,8,District of Columbia,8.5
1996,9,District of Columbia,8.3
1996,10,District of Columbia,8
1996,11,District of Columbia,7.8
1996,12,District of Columbia,7.6
1997,1,District of Columbia,8
1997,2,District of Columbia,7.9
1997,3,District of Columbia,7.6
1997,4,District of Columbia,6.9
1997,5,District of Columbia,7.3
1997,6,District of Columbia,8.2
1997,7,District of Columbia,8.3
1997,8,District of Columbia,8.2
1997,9,District of Columbia,8.5
1997,10,District of Columbia,8.4
1997,11,District of Columbia,8.4
1997,12,District of Columbia,8.4
1998,1,District of Columbia,9.2
1998,2,District of Columbia,9.2
1998,3,District of Columbia,9
1998,4,District of Columbia,7.9
1998,5,District of Columbia,8.2
1998,6,District of Columbia,8.9
1998,7,District of Columbia,8.8
1998,8,District of Columbia,8.5
1998,9,District of Columbia,8.5
1998,10,District of Columbia,8.1
1998,11,District of Columbia,7.7
1998,12,District of Columbia,7.1
1999,1,District of Columbia,7.5
1999,2,District of Columbia,7.3
1999,3,District of Columbia,6.8
1999,4,District of Columbia,6
1999,5,District of Columbia,6.1
1999,6,District of Columbia,6.7
1999,7,District of Columbia,6.6
1999,8,District of Columbia,6.3
1999,9,District of Columbia,6.2
1999,10,District of Columbia,5.8
1999,11,District of Columbia,5.7
1999,12,District of Columbia,5.4
2000,1,District of Columbia,5.9
2000,2,District of Columbia,5.7
2000,3,District of Columbia,5.5
2000,4,District of Columbia,4.7
2000,5,District of Columbia,5
2000,6,District of Columbia,5.6
2000,7,District of Columbia,5.8
2000,8,District of Columbia,5.7
2000,9,District of Columbia,5.9
2000,10,District of Columbia,5.9
2000,11,District of Columbia,5.9
2000,12,District of Columbia,5.7
2001,1,District of Columbia,6.4
2001,2,District of Columbia,6.3
2001,3,District of Columbia,6.1
2001,4,District of Columbia,5.4
2001,5,District of Columbia,5.8
