year,month,states,unemployment_rate
1976,1,Florida,10.5
1976,2,Florida,10
1976,3,Florida,9.3
1976,4,Florida,8.5
1976,5,Florida,7.7
1976,6,Florida,9.5
1976,7,Florida,9.2
1976,8,Florida,9
1976,9,Florida,9.4
1976,10,Florida,9
1976,11,Florida,9.2
1976,12,Florida,8.7
1977,1,Florida,9.6
1977,2,Florida,8.9
1977,3,Florida,8.7
1977,4,Florida,7.9
1977,5,Florida,7.6
1977,6,Florida,8.9
1977,7,Florida,8.2
1977,8,Florida,8
1977,9,Florida,8.3
1977,10,Florida,7.7
1977,11,Florida,7.7
1977,12,Florida,6.6
1978,1,Florida,7.5
1978,2,Florida,6.8
1978,3,Florida,6.5
1978,4,Florida,6
1978,5,Florida,6
1978,6,Florida,6.9
1978,7,Florida,7.3
1978,8,Florida,6.8
1978,9,Florida,7.3
1978,10,Florida,6.8
1978,11,Florida,6.6
1978,12,Florida,6.2
1979,1,Florida,6.7
1979,2,Florida,6.1
1979,3,Florida,5.8
1979,4,Florida,5.4
1979,5,Florida,5.3
1979,6,Florida,6.2
1979,7,Florida,6.4
1979,8,Florida,6.3
1979,9,Florida,6.3
1979,10,Florida,6.1
1979,11,Florida,5.5
1979,12,Florida,5
1980,1,Florida,5.9
1980,2,Florida,5.2
1980,3,Florida,5
1980,4,Florida,5.3
1980,5,Florida,5.7
1980,6,Florida,6.5
1980,7,Florida,6.7
1980,8,Florida,6.7
1980,9,Florida,6.9
1980,10,Florida,6.7
1980,11,Florida,6.4
1980,12,Florida,5.8
1981,1,Florida,6.8
1981,2,Florida,6
1981,3,Florida,6.1
1981,4,Florida,5.6
1981,5,Florida,6
1981,6,Florida,6.9
1981,7,Florida,6.8
1981,8,Florida,6.7
1981,9,Florida,7.3
1981,10,Florida,7.3
1981,11,Florida,7.4
1981,12,Florida,7.2
1982,1,Florida,7.6
1982,2,Florida,7.6
1982,3,Florida,7.6
1982,4,Florida,7.7
1982,5,Florida,7.7
1982,6,Florida,8.6
1982,7,Florida,8.8
1982,8,Florida,8.6
1982,9,Florida,9.1
1982,10,Florida,9.2
1982,11,Florida,9.4
1982,12,Florida,9.1
1983,1,Florida,9.7
1983,2,Florida,9.4
1983,3,Florida,9
1983,4,Florida,8.5
1983,5,Florida,8.6
1983,6,Florida,9.3
1983,7,Florida,8.8
1983,8,Florida,8.5
1983,9,Florida,8.4
1983,10,Florida,7.9
1983,11,Florida,7.4
1983,12,Florida,6.8
1984,1,Florida,7.1
1984,2,Florida,6.5
