year,month,states,unemployment_rate
1976,1,Georgia,8.9
1976,2,Georgia,8.9
1976,3,Georgia,8
1976,4,Georgia,7.6
1976,5,Georgia,7.1
1976,6,Georgia,8.8
1976,7,Georgia,8.6
1976,8,Georgia,8.2
1976,9,Georgia,8.1
1976,10,Georgia,8.1
1976,11,Georgia,8.1
1976,12,Georgia,7.9
1977,1,Georgia,8.2
1977,2,Georgia,8.4
1977,3,Georgia,7.5
1977,4,Georgia,6.4
1977,5,Georgia,5.9
1977,6,Georgia,7.9
1977,7,Georgia,7.2
1977,8,Georgia,6.9
1977,9,Georgia,6.6
1977,10,Georgia,6.3
1977,11,Georgia,6.4
1977,12,Georgia,5.2
1978,1,Georgia,5.8
1978,2,Georgia,5.6
1978,3,Georgia,5.5
1978,4,Georgia,4.9
1978,5,Georgia,5.1
1978,6,Georgia,6.5
1978,7,Georgia,6.7
1978,8,Georgia,6.1
1978,9,Georgia,6
1978,10,Georgia,5.5
1978,11,Georgia,5.4
1978,12,Georgia,5.4
1979,1,Georgia,5.7
1979,2,Georgia,5.7
1979,3,Georgia,5.3
1979,4,Georgia,4.8
1979,5,Georgia,4.4
1979,6,Georgia,5.8
1979,7,Georgia,5.3
1979,8,Georgia,5.3
1979,9,Georgia,4.8
1979,10,Georgia,5.2
1979,11,Georgia,4.3
1979,12,Georgia,4.7
1980,1,Georgia,5.6
1980,2,Georgia,5.5
1980,3,Georgia,5.5
1980,4,Georgia,6
1980,5,Georgia,6.7
1980,6,Georgia,8.1
1980,7,Georgia,7.9
1980,8,Georgia,7
1980,9,Georgia,6.3
1980,10,Georgia,6.3
1980,11,Georgia,5.6
1980,12,Georgia,5.1
1981,1,Georgia,6.1
1981,2,Georgia,6.8
1981,3,Georgia,6.2
1981,4,Georgia,5.6
1981,5,Georgia,6
1981,6,Georgia,7
1981,7,Georgia,6.3
1981,8,Georgia,5.9
1981,9,Georgia,6.3
1981,10,Georgia,6.8
1981,11,Georgia,6.6
1981,12,Georgia,6.9
1982,1,Georgia,8
1982,2,Georgia,7.6
1982,3,Georgia,7.4
1982,4,Georgia,7.2
1982,5,Georgia,7.3
1982,6,Georgia,8.2
1982,7,Georgia,8
1982,8,Georgia,7.2
1982,9,Georgia,7.8
1982,10,Georgia,8.1
1982,11,Georgia,8.4
1982,12,Georgia,8.6
1983,1,Georgia,8.8
1983,2,Georgia,8.7
1983,3,Georgia,8.1
1983,4,Georgia,7.6
1983,5,Georgia,7.7
1983,6,Georgia,8.6
1983,7,Georgia,8
1983,8,Georgia,7.7
1983,9,Georgia,7.5
1983,10,Georgia,7.2
1983,11,Georgia,6.5
1983,12,Georgia,6.4
1984,1,Georgia,6.7
1984,2,Georgia,6.4
1984,3,Georgia,6.1
1984,4,Georgia,5.8
1984,5,Georgia,5.6
1984,6,Georgia,6.4
1984,7,Georgia,6.6
1984,8,Georgia,6.1
1984,9,Georgia,6.1
1984,10,Georgia,6.1
1984,11,Georgia,5.5
1984,12,Georgia,5.8
1985,1,Georgia,6.7
1985,2,Georgia,6.6
1985,3,Georgia,6.3
1985,4,Georgia,6.4
1985,5,Georgia,6.6
1985,6,Georgia,7.6
1985,7,Georgia,7.3
1985,8,Georgia,6.4
1985,9,Georgia,6.4
1985,10,Georgia,6
1985,11,Georgia,5.4
