year,month,states,unemployment_rate
1976,1,Idaho,7.6
1976,2,Idaho,7.3
1976,3,Idaho,7
1976,4,Idaho,6
1976,5,Idaho,4.4
1976,6,Idaho,5.2
1976,7,Idaho,4.9
1976,8,Idaho,4.9
1976,9,Idaho,4.4
1976,10,Idaho,4.4
1976,11,Idaho,5.3
1976,12,Idaho,5.6
1977,1,Idaho,7.9
1977,2,Idaho,7.6
1977,3,Idaho,7.3
1977,4,Idaho,6.2
1977,5,Idaho,4.9
1977,6,Idaho,5.2
1977,7,Idaho,5.2
1977,8,Idaho,5.3
1977,9,Idaho,4.7
1977,10,Idaho,4.6
1977,11,Idaho,5.1
1977,12,Idaho,5.4
1978,1,Idaho,7.2
1978,2,Idaho,6.8
1978,3,Idaho,6.6
1978,4,Idaho,5.6
1978,5,Idaho,4.3
1978,6,Idaho,4.6
1978,7,Idaho,4.6
1978,8,Idaho,5.1
1978,9,Idaho,4.7
1978,10,Idaho,4.6
1978,11,Idaho,5.4
1978,12,Idaho,6.1
1979,1,Idaho,7.9
1979,2,Idaho,7.8
1979,3,Idaho,7.4
1979,4,Idaho,6.4
1979,5,Idaho,4.8
1979,6,Idaho,4.7
1979,7,Idaho,4.7
1979,8,Idaho,5
1979,9,Idaho,4.8
1979,10,Idaho,4.6
1979,11,Idaho,5.5
1979,12,Idaho,6.3
1980,1,Idaho,8.4
1980,2,Idaho,8.3
1980,3,Idaho,8.5
1980,4,Idaho,8.1
1980,5,Idaho,7.3
1980,6,Idaho,7.6
1980,7,Idaho,7.3
1980,8,Idaho,7.3
1980,9,Idaho,6.7
1980,10,Idaho,6.4
1980,11,Idaho,7.1
1980,12,Idaho,7.4
1981,1,Idaho,9
1981,2,Idaho,8.6
1981,3,Idaho,8.5
1981,4,Idaho,7.7
1981,5,Idaho,6.4
1981,6,Idaho,7
1981,7,Idaho,6.9
1981,8,Idaho,7
1981,9,Idaho,7
1981,10,Idaho,7.2
1981,11,Idaho,8.5
1981,12,Idaho,9.3
1982,1,Idaho,11.7
1982,2,Idaho,11.7
1982,3,Idaho,11.3
1982,4,Idaho,10.6
1982,5,Idaho,9.2
1982,6,Idaho,9.1
1982,7,Idaho,8.7
1982,8,Idaho,9
1982,9,Idaho,8.6
1982,10,Idaho,9.1
1982,11,Idaho,10
1982,12,Idaho,10.4
1983,1,Idaho,12.1
1983,2,Idaho,11.5
1983,3,Idaho,11.3
1983,4,Idaho,9.8
