year,month,states,unemployment_rate
1976,1,Illinois,7.6
1976,2,Illinois,7.5
1976,3,Illinois,6.8
1976,4,Illinois,6.2
1976,5,Illinois,5.5
1976,6,Illinois,7.2
1976,7,Illinois,6.7
1976,8,Illinois,6.9
1976,9,Illinois,6.5
1976,10,Illinois,6.1
1976,11,Illinois,6.2
1976,12,Illinois,6.4
1977,1,Illinois,6.5
1977,2,Illinois,6.6
1977,3,Illinois,6.3
1977,4,Illinois,5.6
1977,5,Illinois,5.3
1977,6,Illinois,7
1977,7,Illinois,6.4
1977,8,Illinois,6.5
1977,9,Illinois,6.2
1977,10,Illinois,6.1
1977,11,Illinois,6.2
1977,12,Illinois,5.7
1978,1,Illinois,7.1
1978,2,Illinois,6.8
1978,3,Illinois,6.5
1978,4,Illinois,5.8
1978,5,Illinois,5.7
1978,6,Illinois,6.2
1978,7,Illinois,6.2
1978,8,Illinois,5.8
1978,9,Illinois,5.6
1978,10,Illinois,5.3
1978,11,Illinois,5.2
1978,12,Illinois,5.5
1979,1,Illinois,5.9
1979,2,Illinois,6.2
1979,3,Illinois,5.7
1979,4,Illinois,5.2
1979,5,Illinois,4.7
1979,6,Illinois,5.7
1979,7,Illinois,5.2
1979,8,Illinois,5.2
1979,9,Illinois,5.1
1979,10,Illinois,5.6
1979,11,Illinois,5.7
1979,12,Illinois,6
1980,1,Illinois,7.2
1980,2,Illinois,7.3
1980,3,Illinois,7.3
1980,4,Illinois,7.3
1980,5,Illinois,7.9
1980,6,Illinois,8.9
1980,7,Illinois,9
1980,8,Illinois,8.8
1980,9,Illinois,8.2
1980,10,Illinois,8.7
1980,11,Illinois,8.6
1980,12,Illinois,8.5
1981,1,Illinois,9.5
1981,2,Illinois,9.3
1981,3,Illinois,8.8
1981,4,Illinois,8.1
1981,5,Illinois,8.2
1981,6,Illinois,8.7
1981,7,Illinois,8.1
1981,8,Illinois,8.1
1981,9,Illinois,8.1
1981,10,Illinois,8.2
1981,11,Illinois,8.4
1981,12,Illinois,8.9
1982,1,Illinois,10
1982,2,Illinois,10.4
1982,3,Illinois,10.4
1982,4,Illinois,10.5
1982,5,Illinois,10.5
1982,6,Illinois,11.7
1982,7,Illinois,11.9
1982,8,Illinois,11.7
1982,9,Illinois,11.8
1982,10,Illinois,12
1982,11,Illinois,12.5
1982,12,Illinois,13
1983,1,Illinois,13.7
1983,2,Illinois,13.9
1983,3,Illinois,13.3
1983,4,Illinois,12.7
1983,5,Illinois,12.3
1983,6,Illinois,12.8
1983,7,Illinois,11.5
1983,8,Illinois,11.3
1983,9,Illinois,10.5
1983,10,Illinois,10.1
1983,11,Illinois,9.6
1983,12,Illinois,9.8
1984,1,Illinois,10.5
1984,2,Illinois,10.3
1984,3,Illinois,9.9
1984,4,Illinois,9.4
1984,5,Illinois,8.8
1984,6,Illinois,8.7
1984,7,Illinois,8.7
1984,8,Illinois,8.6
1984,9,Illinois,8.3
1984,10,Illinois,8.5
1984,11,Illinois,8.1
1984,12,Illinois,8.6
1985,1,Illinois,9.9
1985,2,Illinois,9.4
1985,3,Illinois,9.1
1985,4,Illinois,9.1
1985,5,Illinois,9
1985,6,Illinois,9.5
1985,7,Illinois,9.3
1985,8,Illinois,8.8
1985,9,Illinois,8.7
1985,10,Illinois,8.9
1985,11,Illinois,8.5
1985,12,Illinois,8.4
1986,1,Illinois,8.9
1986,2,Illinois,9.7
1986,3,Illinois,9.1
1986,4,Illinois,8.5
1986,5,Illinois,8.5
1986,6,Illinois,8.8
1986,7,Illinois,8.1
1986,8,Illinois,7.7
1986,9,Illinois,7.7
1986,10,Illinois,7.5
1986,11,Illinois,7.4
1986,12,Illinois,7.3
1987,1,Illinois,8.5
1987,2,Illinois,8.6
1987,3,Illinois,8.2
1987,4,Illinois,7.8
1987,5,Illinois,7.8
1987,6,Illinois,7.8
1987,7,Illinois,7.1
1987,8,Illinois,7
1987,9,Illinois,6.7
1987,10,Illinois,6.7
1987,11,Illinois,6.6
1987,12,Illinois,6.7
1988,1,Illinois,7.7
1988,2,Illinois,7.7
1988,3,Illinois,7.4
1988,4,Illinois,6.8
1988,5,Illinois,6.9
1988,6,Illinois,6.7
1988,7,Illinois,6.5
1988,8,Illinois,6.5
1988,9,Illinois,6
1988,10,Illinois,5.9
1988,11,Illinois,6.1
1988,12,Illinois,5.9
1989,1,Illinois,6.8
1989,2,Illinois,6.4
1989,3,Illinois,6
1989,4,Illinois,5.8
1989,5,Illinois,5.7
1989,6,Illinois,6.1
1989,7,Illinois,5.8
1989,8,Illinois,5.7
1989,9,Illinois,5.8
1989,10,Illinois,5.9
1989,11,Illinois,6.2
1989,12,Illinois,6.3
1990,1,Illinois,6.7
1990,2,Illinois,6.7
1990,3,Illinois,6.3
1990,4,Illinois,6
1990,5,Illinois,5.7
1990,6,Illinois,5.9
1990,7,Illinois,6.1
1990,8,Illinois,6.3
1990,9,Illinois,6.1
1990,10,Illinois,5.9
1990,11,Illinois,5.8
1990,12,Illinois,6.2
1991,1,Illinois,7.2
1991,2,Illinois,7.3
1991,3,Illinois,7.3
1991,4,Illinois,6.5
1991,5,Illinois,6.7
1991,6,Illinois,7.3
1991,7,Illinois,7.2
1991,8,Illinois,7.1
1991,9,Illinois,7
1991,10,Illinois,7.2
1991,11,Illinois,7.7
1991,12,Illinois,8.4
1992,1,Illinois,9.3
1992,2,Illinois,9.4
1992,3,Illinois,8.7
1992,4,Illinois,8
1992,5,Illinois,8.1
1992,6,Illinois,8.6
1992,7,Illinois,8
1992,8,Illinois,7.4
1992,9,Illinois,6.9
1992,10,Illinois,6.3
1992,11,Illinois,6.7
1992,12,Illinois,7.2
1993,1,Illinois,8.5
1993,2,Illinois,8.5
1993,3,Illinois,8.1
1993,4,Illinois,7.7
1993,5,Illinois,7.7
1993,6,Illinois,8.1
1993,7,Illinois,7.6
1993,8,Illinois,7.1
1993,9,Illinois,6.9
1993,10,Illinois,6.7
1993,11,Illinois,6.1
1993,12,Illinois,6.2
1994,1,Illinois,7.6
1994,2,Illinois,7.3
1994,3,Illinois,6.8
1994,4,Illinois,6
1994,5,Illinois,5.5
1994,6,Illinois,5.8
1994,7,Illinois,5.8
1994,8,Illinois,5.5
1994,9,Illinois,5
1994,10,Illinois,5
1994,11,Illinois,4.6
1994,12,Illinois,4.5
1995,1,Illinois,5.7
1995,2,Illinois,5.5
1995,3,Illinois,5.3
1995,4,Illinois,5.5
1995,5,Illinois,5.1
1995,6,Illinois,5.2
1995,7,Illinois,5.3
1995,8,Illinois,5.2
1995,9,Illinois,4.8
1995,10,Illinois,4.7
1995,11,Illinois,4.7
1995,12,Illinois,5
1996,1,Illinois,6.2
1996,2,Illinois,5.9
1996,3,Illinois,5.6
1996,4,Illinois,5.3
1996,5,Illinois,5.4
1996,6,Illinois,5.5
1996,7,Illinois,5.6
1996,8,Illinois,5
1996,9,Illinois,4.8
1996,10,Illinois,4.6
1996,11,Illinois,4.6
1996,12,Illinois,4.9
1997,1,Illinois,5.9
1997,2,Illinois,5.6
1997,3,Illinois,5.3
1997,4,Illinois,4.6
1997,5,Illinois,4.3
1997,6,Illinois,4.8
1997,7,Illinois,4.6
1997,8,Illinois,4.5
1997,9,Illinois,4.5
1997,10,Illinois,4.3
1997,11,Illinois,4.3
1997,12,Illinois,4.7
1998,1,Illinois,5.4
1998,2,Illinois,5.1
1998,3,Illinois,5
1998,4,Illinois,3.9
1998,5,Illinois,3.9
1998,6,Illinois,4.7
1998,7,Illinois,4.1
1998,8,Illinois,4.4
1998,9,Illinois,4.3
1998,10,Illinois,4.2
1998,11,Illinois,4.1
1998,12,Illinois,4.1
1999,1,Illinois,4.7
1999,2,Illinois,4.7
1999,3,Illinois,4.2
1999,4,Illinois,4.2
1999,5,Illinois,4.1
1999,6,Illinois,4.8
1999,7,Illinois,4.8
1999,8,Illinois,4.5
1999,9,Illinois,4.2
1999,10,Illinois,4
1999,11,Illinois,4
1999,12,Illinois,4.1
2000,1,Illinois,4.7
2000,2,Illinois,4.8
2000,3,Illinois,4.6
2000,4,Illinois,4
2000,5,Illinois,4.1
2000,6,Illinois,4.5
2000,7,Illinois,4.5
2000,8,Illinois,4.5
2000,9,Illinois,4
2000,10,Illinois,3.8
2000,11,Illinois,4.2
2000,12,Illinois,4.4
2001,1,Illinois,5.4
2001,2,Illinois,5.4
2001,3,Illinois,5.4
2001,4,Illinois,5
2001,5,Illinois,4.7
2001,6,Illinois,5.4
2001,7,Illinois,5.2
2001,8,Illinois,5.4
2001,9,Illinois,5
2001,10,Illinois,5.3
2001,11,Illinois,5.7
2001,12,Illinois,6
2002,1,Illinois,7
2002,2,Illinois,6.8
2002,3,Illinois,6.7
2002,4,Illinois,6.5
2002,5,Illinois,6.3
2002,6,Illinois,7
2002,7,Illinois,6.9
2002,8,Illinois,6.5
2002,9,Illinois,5.9
2002,10,Illinois,6.1
2002,11,Illinois,6.3
2002,12,Illinois,6.4
2003,1,Illinois,7.3
2003,2,Illinois,7.1
2003,3,Illinois,6.9
2003,4,Illinois,6.3
2003,5,Illinois,6.4
2003,6,Illinois,7.5
2003,7,Illinois,7.1
2003,8,Illinois,7
2003,9,Illinois,6.6
2003,10,Illinois,6.3
2003,11,Illinois,6.3
2003,12,Illinois,6.2
2004,1,Illinois,7
2004,2,Illinois,6.8
2004,3,Illinois,6.7
2004,4,Illinois,6
2004,5,Illinois,6
2004,6,Illinois,6.5
2004,7,Illinois,6.3
2004,8,Illinois,6.1
2004,9,Illinois,5.7
2004,10,Illinois,5.8
2004,11,Illinois,5.8
2004,12,Illinois,5.8
2005,1,Illinois,6.4
2005,2,Illinois,6.6
2005,3,Illinois,6
2005,4,Illinois,5.7
2005,5,Illinois,5.6
2005,6,Illinois,6
2005,7,Illinois,5.8
2005,8,Illinois,5.4
2005,9,Illinois,5.4
2005,10,Illinois,5.1
2005,11,Illinois,5.2
2005,12,Illinois,5.1
2006,1,Illinois,5.4
2006,2,Illinois,5.4
2006,3,Illinois,4.9
2006,4,Illinois,4.6
2006,5,Illinois,4.3
2006,6,Illinois,4.7
2006,7,Illinois,4.8
2006,8,Illinois,4.5
2006,9,Illinois,4
2006,10,Illinois,3.6
2006,11,Illinois,3.9
2006,12,Illinois,4.2
2007,1,Illinois,5.2
2007,2,Illinois,5.2
2007,3,Illinois,4.6
2007,4,Illinois,4.6
2007,5,Illinois,4.5
2007,6,Illinois,5.2
2007,7,Illinois,5.3
2007,8,Illinois,5.1
