year,month,states,unemployment_rate
1976,1,Iowa,5.3
1976,2,Iowa,5.2
1976,3,Iowa,5
1976,4,Iowa,4.1
1976,5,Iowa,3.5
1976,6,Iowa,4
1976,7,Iowa,3.5
1976,8,Iowa,3.5
1976,9,Iowa,3.4
1976,10,Iowa,3.2
1976,11,Iowa,3.4
1976,12,Iowa,4.1
1977,1,Iowa,4.9
1977,2,Iowa,4.9
1977,3,Iowa,4.5
1977,4,Iowa,3.7
1977,5,Iowa,3.5
1977,6,Iowa,4
1977,7,Iowa,3.7
1977,8,Iowa,4
1977,9,Iowa,3.3
1977,10,Iowa,3.2
1977,11,Iowa,3.3
1977,12,Iowa,3.8
1978,1,Iowa,4.8
1978,2,Iowa,4.7
1978,3,Iowa,4.6
1978,4,Iowa,3.9
1978,5,Iowa,3.4
1978,6,Iowa,3.8
1978,7,Iowa,3.5
1978,8,Iowa,3.4
1978,9,Iowa,3.3
1978,10,Iowa,3.2
1978,11,Iowa,3.5
1978,12,Iowa,4.3
1979,1,Iowa,4.9
1979,2,Iowa,4.8
1979,3,Iowa,4.6
1979,4,Iowa,4.3
1979,5,Iowa,3.7
1979,6,Iowa,4.2
1979,7,Iowa,3.8
1979,8,Iowa,3.9
1979,9,Iowa,3.9
1979,10,Iowa,3.7
1979,11,Iowa,4
1979,12,Iowa,4.7
1980,1,Iowa,5.5
1980,2,Iowa,5.5
1980,3,Iowa,5.5
1980,4,Iowa,5.6
1980,5,Iowa,5.9
1980,6,Iowa,6.7
1980,7,Iowa,6.4
1980,8,Iowa,6.8
1980,9,Iowa,6.3
1980,10,Iowa,5.9
1980,11,Iowa,5.9
1980,12,Iowa,6.2
1981,1,Iowa,7.2
1981,2,Iowa,7
1981,3,Iowa,6.7
1981,4,Iowa,6.1
1981,5,Iowa,5.9
1981,6,Iowa,6.5
1981,7,Iowa,5.9
1981,8,Iowa,6.3
1981,9,Iowa,6.4
1981,10,Iowa,6.4
1981,11,Iowa,6.8
1981,12,Iowa,7.7
1982,1,Iowa,9.1
1982,2,Iowa,8.8
1982,3,Iowa,9
1982,4,Iowa,8.7
1982,5,Iowa,8
1982,6,Iowa,8.6
1982,7,Iowa,8.1
1982,8,Iowa,8.1
1982,9,Iowa,8.1
1982,10,Iowa,8.1
1982,11,Iowa,8.4
1982,12,Iowa,9.1
1983,1,Iowa,10.3
1983,2,Iowa,9.9
1983,3,Iowa,9.6
1983,4,Iowa,9
1983,5,Iowa,8.1
1983,6,Iowa,8
1983,7,Iowa,7.2
1983,8,Iowa,7.9
1983,9,Iowa,6.8
1983,10,Iowa,6.7
1983,11,Iowa,6.7
1983,12,Iowa,7.2
1984,1,Iowa,8.1
1984,2,Iowa,7.9
1984,3,Iowa,7.6
1984,4,Iowa,7.2
1984,5,Iowa,6.6
1984,6,Iowa,6.6
1984,7,Iowa,6.2
1984,8,Iowa,6.5
1984,9,Iowa,6.5
1984,10,Iowa,6.4
1984,11,Iowa,6.8
1984,12,Iowa,7.4
1985,1,Iowa,8.7
1985,2,Iowa,8.6
1985,3,Iowa,8.2
1985,4,Iowa,7.7
1985,5,Iowa,7.1
1985,6,Iowa,7.3
1985,7,Iowa,6.9
1985,8,Iowa,6.9
1985,9,Iowa,7.1
1985,10,Iowa,6.9
