year,month,states,unemployment_rate
1976,1,Maine,10.4
1976,2,Maine,10.5
1976,3,Maine,9.9
1976,4,Maine,9
1976,5,Maine,8.2
1976,6,Maine,8.1
1976,7,Maine,7.8
1976,8,Maine,7.4
1976,9,Maine,7.6
1976,10,Maine,7.9
1976,11,Maine,8.8
1976,12,Maine,8.8
1977,1,Maine,10.3
1977,2,Maine,10.6
1977,3,Maine,10.2
1977,4,Maine,9
1977,5,Maine,8.1
1977,6,Maine,8
1977,7,Maine,7.9
1977,8,Maine,6.9
1977,9,Maine,6.8
1977,10,Maine,6.7
1977,11,Maine,7.5
1977,12,Maine,7.1
1978,1,Maine,8.3
1978,2,Maine,8.1
1978,3,Maine,7.6
1978,4,Maine,6.6
1978,5,Maine,6.1
1978,6,Maine,5.8
1978,7,Maine,5.8
1978,8,Maine,5.4
1978,9,Maine,5.5
1978,10,Maine,5.5
1978,11,Maine,6.1
1978,12,Maine,6.4
1979,1,Maine,7.6
1979,2,Maine,8.1
1979,3,Maine,7.9
1979,4,Maine,7.2
1979,5,Maine,6.8
1979,6,Maine,6.4
1979,7,Maine,6.4
1979,8,Maine,5.8
1979,9,Maine,6
1979,10,Maine,6.2
1979,11,Maine,6.6
1979,12,Maine,6.7
1980,1,Maine,8.3
1980,2,Maine,8.2
1980,3,Maine,7.9
1980,4,Maine,8.1
1980,5,Maine,7.6
1980,6,Maine,7.5
1980,7,Maine,7.4
1980,8,Maine,7
1980,9,Maine,7.1
1980,10,Maine,7
1980,11,Maine,7.5
1980,12,Maine,7.7
1981,1,Maine,9.1
1981,2,Maine,8.8
1981,3,Maine,8.5
1981,4,Maine,7.6
1981,5,Maine,7.2
1981,6,Maine,7.1
1981,7,Maine,6.3
1981,8,Maine,5.9
1981,9,Maine,6.4
1981,10,Maine,6.5
1981,11,Maine,7.5
1981,12,Maine,7.6
1982,1,Maine,9.1
1982,2,Maine,9.5
1982,3,Maine,9.5
1982,4,Maine,8.9
1982,5,Maine,8.3
1982,6,Maine,8
1982,7,Maine,8.4
1982,8,Maine,7.1
1982,9,Maine,7.3
1982,10,Maine,7.6
1982,11,Maine,8.5
1982,12,Maine,8.4
1983,1,Maine,9.9
1983,2,Maine,10.3
1983,3,Maine,9.9
1983,4,Maine,9.2
1983,5,Maine,8.8
1983,6,Maine,8.3
1983,7,Maine,8.1
1983,8,Maine,7.1
1983,9,Maine,6.9
1983,10,Maine,6.9
1983,11,Maine,7.2
1983,12,Maine,7.3
1984,1,Maine,8.1
1984,2,Maine,8.1
1984,3,Maine,7.6
1984,4,Maine,6.8
1984,5,Maine,6.2
1984,6,Maine,5.9
1984,7,Maine,6
1984,8,Maine,5.1
1984,9,Maine,5.1
1984,10,Maine,5
1984,11,Maine,5.5
1984,12,Maine,5.5
1985,1,Maine,6.8
1985,2,Maine,7.1
1985,3,Maine,6.8
1985,4,Maine,6.1
1985,5,Maine,5.3
1985,6,Maine,5.1
1985,7,Maine,5
1985,8,Maine,4.2
1985,9,Maine,4.5
1985,10,Maine,4.7
1985,11,Maine,5.3
1985,12,Maine,5.3
1986,1,Maine,6.5
1986,2,Maine,6.5
1986,3,Maine,6.2
1986,4,Maine,5.8
1986,5,Maine,5.2
1986,6,Maine,5
1986,7,Maine,5
1986,8,Maine,4.4
1986,9,Maine,4.6
1986,10,Maine,4.5
1986,11,Maine,5
1986,12,Maine,4.8
1987,1,Maine,5.8
1987,2,Maine,5.8
1987,3,Maine,5.4
1987,4,Maine,4.8
1987,5,Maine,4.3
1987,6,Maine,4.3
1987,7,Maine,3.7
1987,8,Maine,3.6
1987,9,Maine,3.7
1987,10,Maine,3.6
1987,11,Maine,3.9
1987,12,Maine,3.8
1988,1,Maine,4.7
1988,2,Maine,4.7
1988,3,Maine,4.5
1988,4,Maine,3.8
1988,5,Maine,3.6
1988,6,Maine,3.4
1988,7,Maine,3.4
1988,8,Maine,2.9
1988,9,Maine,3
1988,10,Maine,3
1988,11,Maine,3.4
1988,12,Maine,3.3
1989,1,Maine,4.4
1989,2,Maine,4.4
1989,3,Maine,4.3
1989,4,Maine,4.2
1989,5,Maine,4
1989,6,Maine,3.9
1989,7,Maine,4
1989,8,Maine,3.4
1989,9,Maine,3.4
1989,10,Maine,3.6
1989,11,Maine,4.2
1989,12,Maine,4.4
1990,1,Maine,5.5
1990,2,Maine,5.8
1990,3,Maine,5.6
1990,4,Maine,5.1
1990,5,Maine,4.7
1990,6,Maine,4.6
1990,7,Maine,4.8
1990,8,Maine,4.3
1990,9,Maine,4.7
1990,10,Maine,5.3
1990,11,Maine,6.4
1990,12,Maine,6.8
1991,1,Maine,8.6
1991,2,Maine,9.5
1991,3,Maine,9.5
1991,4,Maine,8.9
1991,5,Maine,7.9
1991,6,Maine,7.1
1991,7,Maine,6.7
1991,8,Maine,5.9
1991,9,Maine,6
1991,10,Maine,6.1
1991,11,Maine,6.8
1991,12,Maine,7.4
1992,1,Maine,9
1992,2,Maine,9.2
1992,3,Maine,8.9
1992,4,Maine,8
1992,5,Maine,7.3
1992,6,Maine,6.8
1992,7,Maine,6.4
1992,8,Maine,5.9
1992,9,Maine,6
1992,10,Maine,6.2
1992,11,Maine,7
1992,12,Maine,7.2
1993,1,Maine,8.3
1993,2,Maine,8.4
1993,3,Maine,8.2
1993,4,Maine,7.7
1993,5,Maine,7.3
1993,6,Maine,7
1993,7,Maine,6.6
1993,8,Maine,6.2
1993,9,Maine,6.4
1993,10,Maine,6.4
1993,11,Maine,7.2
1993,12,Maine,7.3
1994,1,Maine,8.5
1994,2,Maine,8.8
1994,3,Maine,8.4
1994,4,Maine,7.7
1994,5,Maine,7.2
1994,6,Maine,6.8
1994,7,Maine,6.5
1994,8,Maine,5.9
1994,9,Maine,5.8
1994,10,Maine,5.9
1994,11,Maine,6.3
1994,12,Maine,6.3
1995,1,Maine,7.7
1995,2,Maine,7.5
1995,3,Maine,7.2
1995,4,Maine,6.6
1995,5,Maine,5.9
1995,6,Maine,5.7
1995,7,Maine,5.5
1995,8,Maine,4.9
1995,9,Maine,4.9
1995,10,Maine,4.9
1995,11,Maine,5.5
1995,12,Maine,5.5
1996,1,Maine,6.5
1996,2,Maine,6.8
1996,3,Maine,6.4
1996,4,Maine,5.9
1996,5,Maine,5.2
1996,6,Maine,4.9
1996,7,Maine,4.8
1996,8,Maine,4.2
1996,9,Maine,4.2
1996,10,Maine,4.2
1996,11,Maine,4.7
1996,12,Maine,4.8
1997,1,Maine,6.1
1997,2,Maine,6.4
1997,3,Maine,6.1
1997,4,Maine,5.7
1997,5,Maine,5
1997,6,Maine,4.8
1997,7,Maine,4.7
1997,8,Maine,4
1997,9,Maine,4.1
1997,10,Maine,4.2
1997,11,Maine,4.7
1997,12,Maine,4.9
1998,1,Maine,6.2
1998,2,Maine,5.8
1998,3,Maine,5.5
1998,4,Maine,4.6
1998,5,Maine,4.2
1998,6,Maine,4.1
1998,7,Maine,4.3
1998,8,Maine,3.7
1998,9,Maine,3.7
1998,10,Maine,3.9
1998,11,Maine,4.1
1998,12,Maine,4
1999,1,Maine,4.9
1999,2,Maine,5.1
1999,3,Maine,4.8
1999,4,Maine,4.1
1999,5,Maine,4
1999,6,Maine,3.9
1999,7,Maine,3.6
1999,8,Maine,3.2
1999,9,Maine,3.3
1999,10,Maine,3.3
1999,11,Maine,3.6
1999,12,Maine,3.7
2000,1,Maine,4.5
2000,2,Maine,4.4
2000,3,Maine,4.2
2000,4,Maine,3.6
2000,5,Maine,3.3
2000,6,Maine,3.1
2000,7,Maine,3
2000,8,Maine,2.6
2000,9,Maine,2.7
2000,10,Maine,2.7
2000,11,Maine,3.2
2000,12,Maine,3.1
2001,1,Maine,4
2001,2,Maine,4.3
2001,3,Maine,4.1
2001,4,Maine,4
2001,5,Maine,3.8
2001,6,Maine,3.7
2001,7,Maine,3.7
2001,8,Maine,3.3
2001,9,Maine,3.5
2001,10,Maine,3.6
2001,11,Maine,4
2001,12,Maine,4
2002,1,Maine,5
2002,2,Maine,4.9
2002,3,Maine,4.9
2002,4,Maine,4.5
2002,5,Maine,4.2
2002,6,Maine,4.2
2002,7,Maine,4.1
2002,8,Maine,3.6
2002,9,Maine,3.8
2002,10,Maine,3.9
2002,11,Maine,4.5
2002,12,Maine,4.6
2003,1,Maine,5.6
2003,2,Maine,5.8
2003,3,Maine,5.7
2003,4,Maine,5.3
2003,5,Maine,4.8
2003,6,Maine,4.8
2003,7,Maine,4.8
2003,8,Maine,4.3
2003,9,Maine,4.5
2003,10,Maine,4.5
2003,11,Maine,4.8
2003,12,Maine,4.8
2004,1,Maine,5.6
2004,2,Maine,5.6
2004,3,Maine,5.4
2004,4,Maine,4.8
2004,5,Maine,4.4
2004,6,Maine,4.3
2004,7,Maine,4.3
2004,8,Maine,3.9
2004,9,Maine,4.1
2004,10,Maine,4.2
2004,11,Maine,4.6
2004,12,Maine,4.7
2005,1,Maine,5.6
2005,2,Maine,5.8
2005,3,Maine,5.7
2005,4,Maine,5.2
2005,5,Maine,4.9
2005,6,Maine,4.7
2005,7,Maine,4.7
2005,8,Maine,4.2
2005,9,Maine,4.4
2005,10,Maine,4.3
2005,11,Maine,4.6
2005,12,Maine,4.5
2006,1,Maine,5.3
2006,2,Maine,5.4
2006,3,Maine,5.2
2006,4,Maine,4.6
2006,5,Maine,4.5
2006,6,Maine,4.4
2006,7,Maine,4.5
2006,8,Maine,4
2006,9,Maine,4.1
2006,10,Maine,4.1
2006,11,Maine,4.5
2006,12,Maine,4.4
2007,1,Maine,5.2
2007,2,Maine,5.4
2007,3,Maine,5.2
2007,4,Maine,4.9
