year,month,states,unemployment_rate
1976,1,Maryland,7.5
1976,2,Maryland,6.9
1976,3,Maryland,6.7
1976,4,Maryland,6.1
1976,5,Maryland,5.9
1976,6,Maryland,6.8
1976,7,Maryland,6.7
1976,8,Maryland,6.5
1976,9,Maryland,6.7
1976,10,Maryland,6.4
1976,11,Maryland,6.9
1976,12,Maryland,6.5
1977,1,Maryland,7.5
1977,2,Maryland,8.3
1977,3,Maryland,6.8
1977,4,Maryland,5.6
1977,5,Maryland,5.5
1977,6,Maryland,6.5
1977,7,Maryland,5.8
1977,8,Maryland,5.8
1977,9,Maryland,5.7
1977,10,Maryland,6.1
1977,11,Maryland,6.2
1977,12,Maryland,6
1978,1,Maryland,6
1978,2,Maryland,6.2
1978,3,Maryland,6.1
1978,4,Maryland,5
1978,5,Maryland,5
1978,6,Maryland,5.5
1978,7,Maryland,5.6
1978,8,Maryland,5.2
1978,9,Maryland,5.2
1978,10,Maryland,5.3
1978,11,Maryland,5.4
1978,12,Maryland,5.6
1979,1,Maryland,6.3
1979,2,Maryland,6.6
1979,3,Maryland,6.1
1979,4,Maryland,5.5
1979,5,Maryland,5.4
1979,6,Maryland,5.9
1979,7,Maryland,5.7
1979,8,Maryland,6
1979,9,Maryland,5.6
1979,10,Maryland,5.6
1979,11,Maryland,5.5
1979,12,Maryland,5.3
1980,1,Maryland,6.5
1980,2,Maryland,6.4
1980,3,Maryland,6.3
1980,4,Maryland,6.2
1980,5,Maryland,6.5
1980,6,Maryland,7.2
1980,7,Maryland,7
1980,8,Maryland,6.7
1980,9,Maryland,6.5
1980,10,Maryland,6.6
1980,11,Maryland,6.6
1980,12,Maryland,6.3
1981,1,Maryland,7.4
1981,2,Maryland,7.3
1981,3,Maryland,7
1981,4,Maryland,6.5
1981,5,Maryland,6.8
1981,6,Maryland,7.5
1981,7,Maryland,7
1981,8,Maryland,7.1
1981,9,Maryland,7.3
1981,10,Maryland,7.5
1981,11,Maryland,7.9
1981,12,Maryland,7.9
1982,1,Maryland,8.9
1982,2,Maryland,9
1982,3,Maryland,8.6
1982,4,Maryland,8.2
1982,5,Maryland,8.2
1982,6,Maryland,8.5
1982,7,Maryland,8.1
1982,8,Maryland,8
1982,9,Maryland,7.9
1982,10,Maryland,8
1982,11,Maryland,8.1
1982,12,Maryland,7.9
1983,1,Maryland,8.5
1983,2,Maryland,8.4
1983,3,Maryland,7.9
1983,4,Maryland,7.2
1983,5,Maryland,7.1
1983,6,Maryland,7.6
1983,7,Maryland,6.9
1983,8,Maryland,6.6
1983,9,Maryland,6.3
1983,10,Maryland,6.2
1983,11,Maryland,5.9
1983,12,Maryland,5.7
1984,1,Maryland,6.1
1984,2,Maryland,5.8
