year,month,states,unemployment_rate
1976,1,Michigan,10.7
1976,2,Michigan,10.7
1976,3,Michigan,10.7
1976,4,Michigan,9.8
1976,5,Michigan,8.7
1976,6,Michigan,9.8
1976,7,Michigan,9.9
1976,8,Michigan,9
1976,9,Michigan,8.5
1976,10,Michigan,8.2
1976,11,Michigan,8.4
1976,12,Michigan,8.4
1977,1,Michigan,9.6
1977,2,Michigan,9.5
1977,3,Michigan,9.4
1977,4,Michigan,8.2
1977,5,Michigan,7.4
1977,6,Michigan,8.7
1977,7,Michigan,8.5
1977,8,Michigan,8.4
1977,9,Michigan,7.6
1977,10,Michigan,7.1
1977,11,Michigan,7.4
1977,12,Michigan,6.7
1978,1,Michigan,7.9
1978,2,Michigan,7.7
1978,3,Michigan,7.5
1978,4,Michigan,6.7
1978,5,Michigan,6.3
1978,6,Michigan,7
1978,7,Michigan,7.7
1978,8,Michigan,7.2
1978,9,Michigan,6.4
1978,10,Michigan,6
1978,11,Michigan,6.6
1978,12,Michigan,6.9
1979,1,Michigan,7.6
1979,2,Michigan,7.8
1979,3,Michigan,8
1979,4,Michigan,7.5
1979,5,Michigan,6.8
1979,6,Michigan,7.5
1979,7,Michigan,7.8
1979,8,Michigan,8.5
1979,9,Michigan,7.6
1979,10,Michigan,7.7
1979,11,Michigan,8
1979,12,Michigan,8.6
1980,1,Michigan,10.7
1980,2,Michigan,11.1
1980,3,Michigan,11.4
1980,4,Michigan,12.1
1980,5,Michigan,13.4
1980,6,Michigan,13.7
1980,7,Michigan,14.2
1980,8,Michigan,13.1
1980,9,Michigan,12.4
1980,10,Michigan,12
1980,11,Michigan,12.1
1980,12,Michigan,11.7
1981,1,Michigan,13.5
1981,2,Michigan,13.3
1981,3,Michigan,13
1981,4,Michigan,11.7
1981,5,Michigan,11.5
1981,6,Michigan,11.9
1981,7,Michigan,11.9
1981,8,Michigan,11.6
1981,9,Michigan,11.7
1981,10,Michigan,11.9
1981,11,Michigan,12.9
1981,12,Michigan,14.2
1982,1,Michigan,15.4
1982,2,Michigan,15.6
1982,3,Michigan,15.6
1982,4,Michigan,15.1
1982,5,Michigan,14.5
1982,6,Michigan,14.9
1982,7,Michigan,15.3
1982,8,Michigan,14.7
1982,9,Michigan,14.8
1982,10,Michigan,15.6
1982,11,Michigan,16.4
1982,12,Michigan,16.7
1983,1,Michigan,17.3
1983,2,Michigan,16.7
1983,3,Michigan,16.3
1983,4,Michigan,15.3
1983,5,Michigan,14.9
1983,6,Michigan,15
1983,7,Michigan,14
1983,8,Michigan,13.5
1983,9,Michigan,12.9
1983,10,Michigan,12.4
1983,11,Michigan,12
1983,12,Michigan,12.1
1984,1,Michigan,12.7
1984,2,Michigan,12.4
1984,3,Michigan,12.3
1984,4,Michigan,11.6
1984,5,Michigan,11.2
1984,6,Michigan,11
1984,7,Michigan,11.3
1984,8,Michigan,10.7
1984,9,Michigan,10.3
1984,10,Michigan,10.4
1984,11,Michigan,10.3
1984,12,Michigan,10.5
1985,1,Michigan,11.4
1985,2,Michigan,10.8
1985,3,Michigan,10.8
1985,4,Michigan,10.2
1985,5,Michigan,10.1
1985,6,Michigan,10.4
1985,7,Michigan,10.5
1985,8,Michigan,9.5
1985,9,Michigan,9.4
1985,10,Michigan,9.2
1985,11,Michigan,8.9
1985,12,Michigan,8.4
1986,1,Michigan,9.3
1986,2,Michigan,9.8
1986,3,Michigan,9.6
1986,4,Michigan,9.1
1986,5,Michigan,9.2
1986,6,Michigan,9.2
1986,7,Michigan,9.2
1986,8,Michigan,8.1
1986,9,Michigan,8.5
1986,10,Michigan,8.2
1986,11,Michigan,8.1
1986,12,Michigan,7.8
1987,1,Michigan,9.1
1987,2,Michigan,9
1987,3,Michigan,9
1987,4,Michigan,8.1
1987,5,Michigan,8.4
1987,6,Michigan,8.5
1987,7,Michigan,9
1987,8,Michigan,7.9
1987,9,Michigan,7.6
1987,10,Michigan,7.6
1987,11,Michigan,7.7
1987,12,Michigan,7.8
1988,1,Michigan,9.2
1988,2,Michigan,8.9
1988,3,Michigan,8.6
1988,4,Michigan,7.5
1988,5,Michigan,7.3
1988,6,Michigan,7.2
1988,7,Michigan,7.5
1988,8,Michigan,7.2
1988,9,Michigan,6.7
1988,10,Michigan,6.4
1988,11,Michigan,6.6
1988,12,Michigan,6.8
1989,1,Michigan,7.8
1989,2,Michigan,7.2
1989,3,Michigan,7.1
1989,4,Michigan,6.6
1989,5,Michigan,6.5
1989,6,Michigan,7.2
1989,7,Michigan,7.6
1989,8,Michigan,6.8
1989,9,Michigan,7
1989,10,Michigan,7.1
1989,11,Michigan,7.4
1989,12,Michigan,7.3
1990,1,Michigan,9.2
1990,2,Michigan,8.3
1990,3,Michigan,7.9
1990,4,Michigan,7.2
1990,5,Michigan,7.1
1990,6,Michigan,7.1
1990,7,Michigan,7.6
1990,8,Michigan,7.2
1990,9,Michigan,7.1
1990,10,Michigan,7
1990,11,Michigan,7.7
1990,12,Michigan,8
1991,1,Michigan,9.5
1991,2,Michigan,10
1991,3,Michigan,10.3
1991,4,Michigan,9.4
1991,5,Michigan,9.2
1991,6,Michigan,9.5
1991,7,Michigan,9.4
1991,8,Michigan,8.7
1991,9,Michigan,8.6
1991,10,Michigan,8.5
1991,11,Michigan,8.6
1991,12,Michigan,8.9
1992,1,Michigan,10.5
1992,2,Michigan,10.4
1992,3,Michigan,10.1
1992,4,Michigan,8.9
1992,5,Michigan,8.9
1992,6,Michigan,9.6
1992,7,Michigan,9.8
1992,8,Michigan,8.6
1992,9,Michigan,8.3
1992,10,Michigan,7.6
1992,11,Michigan,7.5
1992,12,Michigan,7.6
1993,1,Michigan,8.4
1993,2,Michigan,8.2
1993,3,Michigan,7.7
1993,4,Michigan,6.9
1993,5,Michigan,7.1
1993,6,Michigan,7.6
1993,7,Michigan,7.7
1993,8,Michigan,6.8
