year,month,states,unemployment_rate
1976,1,Minnesota,7.6
1976,2,Minnesota,7.2
1976,3,Minnesota,6.9
1976,4,Minnesota,5.9
1976,5,Minnesota,4.4
1976,6,Minnesota,5.9
1976,7,Minnesota,5.4
1976,8,Minnesota,5.4
1976,9,Minnesota,5.7
1976,10,Minnesota,5
1976,11,Minnesota,5.3
1976,12,Minnesota,5.8
1977,1,Minnesota,6.9
1977,2,Minnesota,6.8
1977,3,Minnesota,6.6
1977,4,Minnesota,5.7
1977,5,Minnesota,4.5
1977,6,Minnesota,5.9
1977,7,Minnesota,5
1977,8,Minnesota,5
1977,9,Minnesota,4.7
1977,10,Minnesota,4.1
1977,11,Minnesota,3.9
1977,12,Minnesota,4.3
1978,1,Minnesota,5.4
1978,2,Minnesota,4.9
1978,3,Minnesota,4.6
1978,4,Minnesota,4
1978,5,Minnesota,3.1
1978,6,Minnesota,4.1
1978,7,Minnesota,3.7
1978,8,Minnesota,3.3
1978,9,Minnesota,3.5
1978,10,Minnesota,3
1978,11,Minnesota,3.2
1978,12,Minnesota,3.9
1979,1,Minnesota,4.8
1979,2,Minnesota,4.5
1979,3,Minnesota,4.6
1979,4,Minnesota,4.3
1979,5,Minnesota,3.5
1979,6,Minnesota,4.4
1979,7,Minnesota,3.8
1979,8,Minnesota,4.1
1979,9,Minnesota,4.2
1979,10,Minnesota,3.8
1979,11,Minnesota,4
1979,12,Minnesota,4.7
1980,1,Minnesota,6.3
1980,2,Minnesota,6
1980,3,Minnesota,5.9
1980,4,Minnesota,6.1
1980,5,Minnesota,5.2
1980,6,Minnesota,6.3
1980,7,Minnesota,6
1980,8,Minnesota,5.8
1980,9,Minnesota,5.7
1980,10,Minnesota,5.2
1980,11,Minnesota,5.2
1980,12,Minnesota,5.6
1981,1,Minnesota,6.9
1981,2,Minnesota,6.5
1981,3,Minnesota,6.5
1981,4,Minnesota,5.6
1981,5,Minnesota,5
1981,6,Minnesota,6
1981,7,Minnesota,4.9
1981,8,Minnesota,5
1981,9,Minnesota,5.4
1981,10,Minnesota,5.4
1981,11,Minnesota,5.9
1981,12,Minnesota,6.5
1982,1,Minnesota,7.5
1982,2,Minnesota,7.5
1982,3,Minnesota,7.8
1982,4,Minnesota,7.5
1982,5,Minnesota,7
1982,6,Minnesota,8
1982,7,Minnesota,7.9
1982,8,Minnesota,8
1982,9,Minnesota,8.2
1982,10,Minnesota,8
1982,11,Minnesota,8.5
1982,12,Minnesota,8.9
1983,1,Minnesota,9.9
1983,2,Minnesota,9.7
1983,3,Minnesota,9.6
1983,4,Minnesota,8.6
1983,5,Minnesota,7.8
1983,6,Minnesota,8.5
1983,7,Minnesota,7.2
1983,8,Minnesota,7.2
1983,9,Minnesota,7.3
1983,10,Minnesota,6.7
1983,11,Minnesota,6.6
1983,12,Minnesota,7.1
1984,1,Minnesota,8
1984,2,Minnesota,7.7
1984,3,Minnesota,7.5
1984,4,Minnesota,6.8
1984,5,Minnesota,5.8
1984,6,Minnesota,6.3
1984,7,Minnesota,5.7
1984,8,Minnesota,5.7
1984,9,Minnesota,5.7
1984,10,Minnesota,5.2
1984,11,Minnesota,5.2
1984,12,Minnesota,6
1985,1,Minnesota,7.2
1985,2,Minnesota,6.5
1985,3,Minnesota,6.6
1985,4,Minnesota,6.2
1985,5,Minnesota,5.2
1985,6,Minnesota,6
1985,7,Minnesota,5.8
1985,8,Minnesota,5.4
1985,9,Minnesota,5.9
1985,10,Minnesota,5.6
1985,11,Minnesota,5.5
1985,12,Minnesota,6
1986,1,Minnesota,6.9
1986,2,Minnesota,7
1986,3,Minnesota,6.8
1986,4,Minnesota,5.9
1986,5,Minnesota,5.1
1986,6,Minnesota,5.8
1986,7,Minnesota,5.1
1986,8,Minnesota,4.7
1986,9,Minnesota,5.1
1986,10,Minnesota,4.5
1986,11,Minnesota,4.7
1986,12,Minnesota,4.8
1987,1,Minnesota,6.3
1987,2,Minnesota,6.3
1987,3,Minnesota,6.2
1987,4,Minnesota,5.2
1987,5,Minnesota,4.7
1987,6,Minnesota,5.4
1987,7,Minnesota,4.9
1987,8,Minnesota,4.9
1987,9,Minnesota,4.8
1987,10,Minnesota,4.3
1987,11,Minnesota,4.3
1987,12,Minnesota,4.3
1988,1,Minnesota,5.2
1988,2,Minnesota,5.1
1988,3,Minnesota,5
1988,4,Minnesota,4.3
1988,5,Minnesota,3.9
1988,6,Minnesota,4.4
1988,7,Minnesota,4.1
1988,8,Minnesota,4.1
1988,9,Minnesota,4
1988,10,Minnesota,3.6
1988,11,Minnesota,3.7
1988,12,Minnesota,4
1989,1,Minnesota,5.4
1989,2,Minnesota,4.8
