year,month,states,unemployment_rate
1976,1,Mississippi,7.4
1976,2,Mississippi,7
1976,3,Mississippi,6.1
1976,4,Mississippi,5.4
1976,5,Mississippi,5.2
1976,6,Mississippi,8.2
1976,7,Mississippi,7.3
1976,8,Mississippi,6.7
1976,9,Mississippi,6.7
1976,10,Mississippi,6
1976,11,Mississippi,6.5
1976,12,Mississippi,6.2
1977,1,Mississippi,6.9
1977,2,Mississippi,6.9
1977,3,Mississippi,6.9
1977,4,Mississippi,6.7
1977,5,Mississippi,6.8
1977,6,Mississippi,9.6
1977,7,Mississippi,7.9
1977,8,Mississippi,7.9
1977,9,Mississippi,7.7
1977,10,Mississippi,6.8
1977,11,Mississippi,7
1977,12,Mississippi,6.4
1978,1,Mississippi,7.3
1978,2,Mississippi,6.8
1978,3,Mississippi,6.8
1978,4,Mississippi,6.6
1978,5,Mississippi,6.7
1978,6,Mississippi,8.9
1978,7,Mississippi,7.8
1978,8,Mississippi,7.3
1978,9,Mississippi,7.1
1978,10,Mississippi,6
1978,11,Mississippi,5.9
1978,12,Mississippi,6
1979,1,Mississippi,6
1979,2,Mississippi,5.7
1979,3,Mississippi,5.3
1979,4,Mississippi,5.1
1979,5,Mississippi,4.9
1979,6,Mississippi,7.4
1979,7,Mississippi,5.8
1979,8,Mississippi,6.1
1979,9,Mississippi,6.2
1979,10,Mississippi,5.6
1979,11,Mississippi,5.6
1979,12,Mississippi,5.3
1980,1,Mississippi,6.7
1980,2,Mississippi,6.3
1980,3,Mississippi,6.2
1980,4,Mississippi,6.4
1980,5,Mississippi,7.2
1980,6,Mississippi,9.4
1980,7,Mississippi,8.1
1980,8,Mississippi,8
1980,9,Mississippi,7.9
1980,10,Mississippi,7.7
1980,11,Mississippi,7.7
1980,12,Mississippi,7.4
1981,1,Mississippi,8.6
1981,2,Mississippi,8.3
1981,3,Mississippi,8.2
1981,4,Mississippi,7.4
1981,5,Mississippi,8
1981,6,Mississippi,10
1981,7,Mississippi,8.8
1981,8,Mississippi,8.7
1981,9,Mississippi,8.9
1981,10,Mississippi,8.4
1981,11,Mississippi,8.3
