year,month,states,unemployment_rate
1976,1,Missouri,6.7
1976,2,Missouri,7.1
1976,3,Missouri,6.2
1976,4,Missouri,5.6
1976,5,Missouri,5
1976,6,Missouri,6.5
1976,7,Missouri,6.3
1976,8,Missouri,6.6
1976,9,Missouri,6.4
1976,10,Missouri,5.7
1976,11,Missouri,6.2
1976,12,Missouri,6.7
1977,1,Missouri,7.2
1977,2,Missouri,7.4
1977,3,Missouri,6.5
1977,4,Missouri,5.4
1977,5,Missouri,5.2
1977,6,Missouri,6.9
1977,7,Missouri,6
1977,8,Missouri,6.5
1977,9,Missouri,5.6
1977,10,Missouri,5.2
1977,11,Missouri,5.3
1977,12,Missouri,5.2
1978,1,Missouri,6.3
1978,2,Missouri,6.7
1978,3,Missouri,5.9
1978,4,Missouri,4.8
1978,5,Missouri,4
1978,6,Missouri,4.9
1978,7,Missouri,4.9
1978,8,Missouri,4.9
1978,9,Missouri,4.4
1978,10,Missouri,3.7
1978,11,Missouri,4.1
1978,12,Missouri,4.3
1979,1,Missouri,4.7
1979,2,Missouri,5.3
1979,3,Missouri,4.7
1979,4,Missouri,4
1979,5,Missouri,3.8
1979,6,Missouri,4.9
1979,7,Missouri,4.5
1979,8,Missouri,5.6
1979,9,Missouri,4.9
1979,10,Missouri,4.6
1979,11,Missouri,5.1
1979,12,Missouri,5.5
1980,1,Missouri,6.7
1980,2,Missouri,7.2
1980,3,Missouri,6.7
1980,4,Missouri,6.1
1980,5,Missouri,7.1
1980,6,Missouri,7.9
1980,7,Missouri,7.7
1980,8,Missouri,8.1
1980,9,Missouri,7.2
1980,10,Missouri,7.1
1980,11,Missouri,7.3
1980,12,Missouri,7.3
1981,1,Missouri,8.6
1981,2,Missouri,8.7
1981,3,Missouri,7.8
1981,4,Missouri,7.1
1981,5,Missouri,6.9
1981,6,Missouri,7.4
1981,7,Missouri,6.6
1981,8,Missouri,7.2
1981,9,Missouri,7.4
1981,10,Missouri,7.5
1981,11,Missouri,8
1981,12,Missouri,8.6
1982,1,Missouri,9.3
1982,2,Missouri,9.8
1982,3,Missouri,9.1
1982,4,Missouri,8.3
1982,5,Missouri,8.2
1982,6,Missouri,9.1
1982,7,Missouri,8.9
1982,8,Missouri,9
1982,9,Missouri,9.2
1982,10,Missouri,9.2
1982,11,Missouri,10.1
1982,12,Missouri,10.7
1983,1,Missouri,11.1
1983,2,Missouri,11.5
1983,3,Missouri,11.1
1983,4,Missouri,10.4
1983,5,Missouri,10.1
1983,6,Missouri,10.6
1983,7,Missouri,9.6
1983,8,Missouri,9.5
1983,9,Missouri,9
1983,10,Missouri,8.6
1983,11,Missouri,8.5
1983,12,Missouri,8.6
1984,1,Missouri,9.1
1984,2,Missouri,9.2
1984,3,Missouri,8.4
1984,4,Missouri,7.6
1984,5,Missouri,6.7
1984,6,Missouri,6.7
1984,7,Missouri,6.5
1984,8,Missouri,6.9
1984,9,Missouri,6.2
1984,10,Missouri,5.9
1984,11,Missouri,6.1
1984,12,Missouri,6.6
1985,1,Missouri,7.4
1985,2,Missouri,7.7
1985,3,Missouri,7.3
1985,4,Missouri,6.7
1985,5,Missouri,6.5
1985,6,Missouri,6.8
1985,7,Missouri,6.2
1985,8,Missouri,6.3
1985,9,Missouri,6.1
1985,10,Missouri,5.8
1985,11,Missouri,5.8
1985,12,Missouri,5.7
1986,1,Missouri,6.2
1986,2,Missouri,7.2
1986,3,Missouri,6.6
1986,4,Missouri,5.9
1986,5,Missouri,6.2
1986,6,Missouri,6.7
1986,7,Missouri,6.2
1986,8,Missouri,6.2
1986,9,Missouri,6.2
1986,10,Missouri,5.8
1986,11,Missouri,5.8
1986,12,Missouri,5.5
1987,1,Missouri,7
1987,2,Missouri,7.4
1987,3,Missouri,7
1987,4,Missouri,6.5
1987,5,Missouri,6.3
1987,6,Missouri,6.5
1987,7,Missouri,6.3
1987,8,Missouri,6.3
1987,9,Missouri,5.7
1987,10,Missouri,5.6
1987,11,Missouri,5.6
1987,12,Missouri,5.1
1988,1,Missouri,5.8
1988,2,Missouri,6
1988,3,Missouri,5.8
1988,4,Missouri,5.5
1988,5,Missouri,5.8
1988,6,Missouri,6
1988,7,Missouri,5.9
1988,8,Missouri,6
1988,9,Missouri,5.5
1988,10,Missouri,5.1
1988,11,Missouri,5.6
1988,12,Missouri,5.6
1989,1,Missouri,6.4
1989,2,Missouri,6.3
1989,3,Missouri,5.6
1989,4,Missouri,5.3
1989,5,Missouri,5.1
1989,6,Missouri,5.9
1989,7,Missouri,5.5
1989,8,Missouri,5.4
1989,9,Missouri,5.4
1989,10,Missouri,4.9
1989,11,Missouri,5.5
1989,12,Missouri,5.2
1990,1,Missouri,6.2
1990,2,Missouri,6.5
1990,3,Missouri,5.9
1990,4,Missouri,5.4
1990,5,Missouri,5
1990,6,Missouri,5.1
1990,7,Missouri,5.4
1990,8,Missouri,6.1
1990,9,Missouri,6
1990,10,Missouri,5.6
1990,11,Missouri,6.3
1990,12,Missouri,6.5
1991,1,Missouri,7.6
1991,2,Missouri,8.1
1991,3,Missouri,7.5
1991,4,Missouri,6.5
1991,5,Missouri,6.9
1991,6,Missouri,6.9
1991,7,Missouri,6.3
1991,8,Missouri,6.3
1991,9,Missouri,5.9
1991,10,Missouri,5.6
1991,11,Missouri,5.5
1991,12,Missouri,5.9
1992,1,Missouri,7
1992,2,Missouri,7.2
1992,3,Missouri,6.6
1992,4,Missouri,6
1992,5,Missouri,6.2
1992,6,Missouri,6.8
1992,7,Missouri,6.1
1992,8,Missouri,6
1992,9,Missouri,5.7
1992,10,Missouri,5.1
1992,11,Missouri,5.5
1992,12,Missouri,5.9
1993,1,Missouri,7.2
1993,2,Missouri,7.5
1993,3,Missouri,7
1993,4,Missouri,6.3
1993,5,Missouri,6.3
1993,6,Missouri,6.8
1993,7,Missouri,6.1
1993,8,Missouri,6
1993,9,Missouri,5.7
1993,10,Missouri,5.5
1993,11,Missouri,5.2
1993,12,Missouri,5.3
1994,1,Missouri,6.6
1994,2,Missouri,6.4
1994,3,Missouri,6.1
1994,4,Missouri,5.2
1994,5,Missouri,4.5
1994,6,Missouri,5
1994,7,Missouri,4.7
1994,8,Missouri,4.9
1994,9,Missouri,4.5
1994,10,Missouri,4.1
1994,11,Missouri,4.4
1994,12,Missouri,4.5
1995,1,Missouri,5.6
1995,2,Missouri,5.6
1995,3,Missouri,5.4
1995,4,Missouri,5
1995,5,Missouri,4.8
1995,6,Missouri,5
1995,7,Missouri,4.9
1995,8,Missouri,4.6
1995,9,Missouri,4.3
1995,10,Missouri,3.7
1995,11,Missouri,3.8
1995,12,Missouri,4
1996,1,Missouri,5.3
1996,2,Missouri,5.3
1996,3,Missouri,5.3
1996,4,Missouri,4.8
1996,5,Missouri,4.9
1996,6,Missouri,4.8
1996,7,Missouri,5.1
1996,8,Missouri,4.6
1996,9,Missouri,4.3
1996,10,Missouri,4
1996,11,Missouri,4.5
1996,12,Missouri,4.6
1997,1,Missouri,5.5
1997,2,Missouri,5.3
1997,3,Missouri,4.9
1997,4,Missouri,4
1997,5,Missouri,3.9
1997,6,Missouri,4.4
1997,7,Missouri,4.2
1997,8,Missouri,4.2
1997,9,Missouri,4.2
1997,10,Missouri,3.8
1997,11,Missouri,3.7
1997,12,Missouri,4
1998,1,Missouri,5.1
1998,2,Missouri,5.1
1998,3,Missouri,5.1
1998,4,Missouri,4.2
1998,5,Missouri,4.2
1998,6,Missouri,4.5
1998,7,Missouri,4.5
1998,8,Missouri,4.1
1998,9,Missouri,3.5
1998,10,Missouri,3.3
1998,11,Missouri,3.2
1998,12,Missouri,3.2
1999,1,Missouri,3.6
1999,2,Missouri,3.9
1999,3,Missouri,3.6
1999,4,Missouri,3.4
1999,5,Missouri,3.2
1999,6,Missouri,3.9
1999,7,Missouri,3.8
1999,8,Missouri,3.4
1999,9,Missouri,2.9
1999,10,Missouri,2.3
1999,11,Missouri,2.7
1999,12,Missouri,2.8
2000,1,Missouri,3.5
2000,2,Missouri,3.9
2000,3,Missouri,3.9
2000,4,Missouri,3
2000,5,Missouri,3.3
2000,6,Missouri,3.4
2000,7,Missouri,3.5
2000,8,Missouri,3.8
2000,9,Missouri,3.6
2000,10,Missouri,3.5
2000,11,Missouri,3.6
2000,12,Missouri,4
2001,1,Missouri,5
2001,2,Missouri,5.1
2001,3,Missouri,5
2001,4,Missouri,4.2
2001,5,Missouri,3.9
2001,6,Missouri,4.6
2001,7,Missouri,4.5
2001,8,Missouri,4.7
2001,9,Missouri,4.3
2001,10,Missouri,4.5
2001,11,Missouri,4.8
2001,12,Missouri,4.9
2002,1,Missouri,5.9
2002,2,Missouri,5.8
2002,3,Missouri,6
2002,4,Missouri,5.3
2002,5,Missouri,5.1
2002,6,Missouri,5.8
2002,7,Missouri,5.7
2002,8,Missouri,5.4
2002,9,Missouri,4.9
2002,10,Missouri,4.6
2002,11,Missouri,5
2002,12,Missouri,5.2
2003,1,Missouri,5.9
2003,2,Missouri,5.8
2003,3,Missouri,5.7
2003,4,Missouri,5.2
2003,5,Missouri,5.6
2003,6,Missouri,6.3
2003,7,Missouri,6
2003,8,Missouri,5.9
2003,9,Missouri,5.6
2003,10,Missouri,5.1
2003,11,Missouri,5.2
2003,12,Missouri,5.1
2004,1,Missouri,5.9
2004,2,Missouri,6
2004,3,Missouri,6
2004,4,Missouri,5.4
2004,5,Missouri,5.5
2004,6,Missouri,6.2
2004,7,Missouri,6.4
2004,8,Missouri,6.2
2004,9,Missouri,5.8
2004,10,Missouri,5.5
2004,11,Missouri,5.7
2004,12,Missouri,5.7
2005,1,Missouri,6.3
2005,2,Missouri,6.6
2005,3,Missouri,6.1
2005,4,Missouri,5.3
2005,5,Missouri,5.3
2005,6,Missouri,5.5
2005,7,Missouri,5.4
2005,8,Missouri,4.9
2005,9,Missouri,4.9
2005,10,Missouri,4.6
2005,11,Missouri,5.2
2005,12,Missouri,4.6
2006,1,Missouri,5.2
2006,2,Missouri,5.6
2006,3,Missouri,5
2006,4,Missouri,4.4
2006,5,Missouri,4.3
2006,6,Missouri,4.9
2006,7,Missouri,5.1
2006,8,Missouri,5.2
2006,9,Missouri,4.8
2006,10,Missouri,4.5
2006,11,Missouri,4.6
2006,12,Missouri,4.6
2007,1,Missouri,5.4
2007,2,Missouri,5.4
2007,3,Missouri,4.9
2007,4,Missouri,4.3
2007,5,Missouri,4.6
2007,6,Missouri,5.2
2007,7,Missouri,5.5
2007,8,Missouri,5.4
2007,9,Missouri,5.2
2007,10,Missouri,5
2007,11,Missouri,5
2007,12,Missouri,5.4
2008,1,Missouri,5.8
2008,2,Missouri,5.8
2008,3,Missouri,5.8
2008,4,Missouri,4.7
2008,5,Missouri,5.6
2008,6,Missouri,5.9
2008,7,Missouri,6.5
2008,8,Missouri,6.8
2008,9,Missouri,6.4
2008,10,Missouri,6.3
2008,11,Missouri,6.7
2008,12,Missouri,7.4
2009,1,Missouri,8.9
2009,2,Missouri,9.5
2009,3,Missouri,9.3
2009,4,Missouri,8.2
2009,5,Missouri,9
2009,6,Missouri,9.7
