year,month,states,unemployment_rate
1976,1,Montana,7.9
1976,2,Montana,7.2
1976,3,Montana,7
1976,4,Montana,6
1976,5,Montana,5.2
1976,6,Montana,6.1
1976,7,Montana,5.2
1976,8,Montana,5.2
1976,9,Montana,4.7
1976,10,Montana,5.1
1976,11,Montana,5.8
1976,12,Montana,6.2
1977,1,Montana,7.6
1977,2,Montana,7.4
1977,3,Montana,7.4
1977,4,Montana,6.2
1977,5,Montana,5.7
1977,6,Montana,6.3
1977,7,Montana,5.6
1977,8,Montana,5.4
1977,9,Montana,5.4
1977,10,Montana,5.7
1977,11,Montana,6.2
1977,12,Montana,6.7
1978,1,Montana,7.9
1978,2,Montana,7.7
1978,3,Montana,7.7
1978,4,Montana,6.2
1978,5,Montana,5.2
1978,6,Montana,5.8
1978,7,Montana,4.9
1978,8,Montana,4.8
1978,9,Montana,4.4
1978,10,Montana,4.4
1978,11,Montana,4.8
1978,12,Montana,5.2
1979,1,Montana,6.8
1979,2,Montana,6.2
1979,3,Montana,6.2
1979,4,Montana,5.4
1979,5,Montana,4.4
1979,6,Montana,5.1
1979,7,Montana,4.6
1979,8,Montana,4.5
1979,9,Montana,4.3
1979,10,Montana,4.5
1979,11,Montana,4.9
1979,12,Montana,5.3
1980,1,Montana,6.9
1980,2,Montana,6.8
1980,3,Montana,6.9
1980,4,Montana,6.4
1980,5,Montana,5.4
1980,6,Montana,6.1
1980,7,Montana,5.9
1980,8,Montana,5.7
1980,9,Montana,5.4
1980,10,Montana,5.6
1980,11,Montana,5.9
1980,12,Montana,6.4
1981,1,Montana,7.6
1981,2,Montana,7.7
1981,3,Montana,7.4
1981,4,Montana,6.6
1981,5,Montana,6.1
1981,6,Montana,6.8
1981,7,Montana,6.1
1981,8,Montana,6.2
1981,9,Montana,6.2
1981,10,Montana,6.6
1981,11,Montana,7.2
1981,12,Montana,7.7
1982,1,Montana,9.1
1982,2,Montana,9.5
1982,3,Montana,9.7
1982,4,Montana,8.7
1982,5,Montana,8
1982,6,Montana,8.7
1982,7,Montana,7.8
1982,8,Montana,7.8
1982,9,Montana,7.6
1982,10,Montana,7.9
1982,11,Montana,8.5
1982,12,Montana,8.9
1983,1,Montana,10.1
1983,2,Montana,10.1
1983,3,Montana,10
1983,4,Montana,8.9
1983,5,Montana,8.3
1983,6,Montana,8.7
1983,7,Montana,8.1
1983,8,Montana,7.9
1983,9,Montana,7.5
1983,10,Montana,7.7
1983,11,Montana,8
1983,12,Montana,8.3
1984,1,Montana,9.3
1984,2,Montana,8.8
1984,3,Montana,8.9
1984,4,Montana,8
1984,5,Montana,7.1
1984,6,Montana,7.8
1984,7,Montana,7.1
1984,8,Montana,6.9
1984,9,Montana,6.4
1984,10,Montana,6.6
1984,11,Montana,7
1984,12,Montana,7.3
1985,1,Montana,9
1985,2,Montana,8.6
1985,3,Montana,8.7
1985,4,Montana,8
1985,5,Montana,7.1
1985,6,Montana,7.6
1985,7,Montana,6.8
1985,8,Montana,6.8
1985,9,Montana,6.8
1985,10,Montana,7.1
1985,11,Montana,7.5
1985,12,Montana,8.2
1986,1,Montana,9.1
1986,2,Montana,9.1
1986,3,Montana,9.1
1986,4,Montana,8.2
1986,5,Montana,7.5
1986,6,Montana,7.9
1986,7,Montana,7.2
1986,8,Montana,7
1986,9,Montana,7.1
1986,10,Montana,7.2
1986,11,Montana,7.8
1986,12,Montana,8
1987,1,Montana,9
1987,2,Montana,8.7
1987,3,Montana,8.6
1987,4,Montana,7.5
1987,5,Montana,6.8
1987,6,Montana,7.4
1987,7,Montana,6.7
1987,8,Montana,6.7
1987,9,Montana,6.6
1987,10,Montana,6.8
1987,11,Montana,7.2
1987,12,Montana,7.4
1988,1,Montana,8.5
1988,2,Montana,8.2
1988,3,Montana,8.1
1988,4,Montana,7.2
1988,5,Montana,6.4
1988,6,Montana,6.8
1988,7,Montana,6
1988,8,Montana,5.7
1988,9,Montana,5.4
1988,10,Montana,5.5
1988,11,Montana,5.8
1988,12,Montana,6.1
1989,1,Montana,7.3
1989,2,Montana,7
1989,3,Montana,6.9
1989,4,Montana,6
1989,5,Montana,5.4
1989,6,Montana,5.8
1989,7,Montana,5.1
1989,8,Montana,5
1989,9,Montana,4.9
1989,10,Montana,5.1
1989,11,Montana,5.4
1989,12,Montana,5.6
1990,1,Montana,6.7
1990,2,Montana,6.5
1990,3,Montana,6.5
1990,4,Montana,5.7
1990,5,Montana,5.3
1990,6,Montana,5.9
1990,7,Montana,5.2
1990,8,Montana,5.3
1990,9,Montana,5.4
1990,10,Montana,5.8
1990,11,Montana,6.4
1990,12,Montana,6.8
1991,1,Montana,8.2
1991,2,Montana,8
1991,3,Montana,8.2
1991,4,Montana,7.3
1991,5,Montana,6.3
1991,6,Montana,6.7
1991,7,Montana,6.1
1991,8,Montana,6
1991,9,Montana,5.9
1991,10,Montana,6.2
1991,11,Montana,6.9
1991,12,Montana,7.2
1992,1,Montana,8.3
1992,2,Montana,8
1992,3,Montana,7.8
1992,4,Montana,6.8
1992,5,Montana,6.3
1992,6,Montana,6.8
1992,7,Montana,6.1
1992,8,Montana,6
1992,9,Montana,5.8
1992,10,Montana,6
1992,11,Montana,6.4
1992,12,Montana,6.6
1993,1,Montana,7.9
1993,2,Montana,7.4
1993,3,Montana,7.3
1993,4,Montana,6.2
1993,5,Montana,5.6
1993,6,Montana,6.1
1993,7,Montana,5.5
1993,8,Montana,5.3
1993,9,Montana,5
1993,10,Montana,5.2
1993,11,Montana,5.5
1993,12,Montana,5.6
1994,1,Montana,6.8
1994,2,Montana,6.5
1994,3,Montana,6.3
1994,4,Montana,5.3
1994,5,Montana,4.5
1994,6,Montana,5
1994,7,Montana,4.5
1994,8,Montana,4.5
1994,9,Montana,4.4
1994,10,Montana,4.6
1994,11,Montana,5.1
1994,12,Montana,5.6
1995,1,Montana,6.6
1995,2,Montana,7.2
1995,3,Montana,6.3
1995,4,Montana,5.6
1995,5,Montana,5.1
