year,month,states,unemployment_rate
1976,1,Nebraska,4.5
1976,2,Nebraska,4.3
1976,3,Nebraska,3.6
1976,4,Nebraska,2.8
1976,5,Nebraska,2.7
1976,6,Nebraska,3.3
1976,7,Nebraska,3.2
1976,8,Nebraska,2.8
1976,9,Nebraska,2.8
1976,10,Nebraska,2.8
1976,11,Nebraska,2.8
1976,12,Nebraska,3.1
1977,1,Nebraska,4
1977,2,Nebraska,3.9
1977,3,Nebraska,3.6
1977,4,Nebraska,3.2
1977,5,Nebraska,3
1977,6,Nebraska,3.7
1977,7,Nebraska,3.4
1977,8,Nebraska,3.2
1977,9,Nebraska,3.3
1977,10,Nebraska,3.4
1977,11,Nebraska,3.4
1977,12,Nebraska,3.3
1978,1,Nebraska,4.6
1978,2,Nebraska,4.5
1978,3,Nebraska,4.3
1978,4,Nebraska,3.2
1978,5,Nebraska,2.7
1978,6,Nebraska,3.2
1978,7,Nebraska,3
1978,8,Nebraska,2.6
1978,9,Nebraska,2.4
1978,10,Nebraska,2.3
1978,11,Nebraska,2.2
1978,12,Nebraska,2.8
1979,1,Nebraska,3.4
1979,2,Nebraska,3.4
1979,3,Nebraska,3.1
1979,4,Nebraska,2.9
1979,5,Nebraska,2.8
1979,6,Nebraska,3.3
1979,7,Nebraska,3.3
1979,8,Nebraska,2.9
1979,9,Nebraska,2.9
1979,10,Nebraska,2.8
1979,11,Nebraska,2.7
1979,12,Nebraska,3
1980,1,Nebraska,3.9
1980,2,Nebraska,3.8
1980,3,Nebraska,3.7
1980,4,Nebraska,3.7
1980,5,Nebraska,3.9
1980,6,Nebraska,4.5
1980,7,Nebraska,4.4
1980,8,Nebraska,4.1
1980,9,Nebraska,3.8
1980,10,Nebraska,3.7
1980,11,Nebraska,3.7
1980,12,Nebraska,4
1981,1,Nebraska,4.8
1981,2,Nebraska,4.6
1981,3,Nebraska,4.3
1981,4,Nebraska,3.9
1981,5,Nebraska,3.9
1981,6,Nebraska,4.3
1981,7,Nebraska,4.2
1981,8,Nebraska,3.9
1981,9,Nebraska,3.9
1981,10,Nebraska,4
1981,11,Nebraska,4.3
1981,12,Nebraska,4.7
1982,1,Nebraska,5.8
1982,2,Nebraska,5.8
1982,3,Nebraska,5.8
1982,4,Nebraska,5.4
1982,5,Nebraska,5.6
1982,6,Nebraska,6
1982,7,Nebraska,5.8
1982,8,Nebraska,5.3
1982,9,Nebraska,5.3
1982,10,Nebraska,5.4
1982,11,Nebraska,5.5
1982,12,Nebraska,6
1983,1,Nebraska,7.4
1983,2,Nebraska,7.2
1983,3,Nebraska,6.7
1983,4,Nebraska,6.1
1983,5,Nebraska,5.6
1983,6,Nebraska,5.7
1983,7,Nebraska,5.2
1983,8,Nebraska,4.8
1983,9,Nebraska,4.5
1983,10,Nebraska,4.4
1983,11,Nebraska,4.3
1983,12,Nebraska,4.9
1984,1,Nebraska,5.8
1984,2,Nebraska,5.4
1984,3,Nebraska,5
1984,4,Nebraska,4.8
1984,5,Nebraska,4.1
1984,6,Nebraska,4.4
1984,7,Nebraska,4.4
1984,8,Nebraska,3.9
1984,9,Nebraska,3.9
1984,10,Nebraska,3.9
1984,11,Nebraska,3.9
1984,12,Nebraska,4.2
1985,1,Nebraska,5.8
1985,2,Nebraska,5.7
1985,3,Nebraska,5.5
1985,4,Nebraska,5
1985,5,Nebraska,4.9
1985,6,Nebraska,5.3
1985,7,Nebraska,5.2
1985,8,Nebraska,4.8
1985,9,Nebraska,4.8
1985,10,Nebraska,4.8
1985,11,Nebraska,4.9
1985,12,Nebraska,5.5
1986,1,Nebraska,6.2
1986,2,Nebraska,6.2
1986,3,Nebraska,5.7
1986,4,Nebraska,5
