year,month,states,unemployment_rate
1976,1,Nevada,10.6
1976,2,Nevada,10
1976,3,Nevada,8.9
1976,4,Nevada,8.5
1976,5,Nevada,7.7
1976,6,Nevada,9
1976,7,Nevada,9
1976,8,Nevada,8.3
1976,9,Nevada,8.6
1976,10,Nevada,8.2
1976,11,Nevada,8.2
1976,12,Nevada,8.5
1977,1,Nevada,10.1
1977,2,Nevada,8.7
1977,3,Nevada,7.9
1977,4,Nevada,7
1977,5,Nevada,6.2
1977,6,Nevada,7.5
1977,7,Nevada,6.9
1977,8,Nevada,6
1977,9,Nevada,5.8
1977,10,Nevada,5
1977,11,Nevada,4.9
1977,12,Nevada,4.7
1978,1,Nevada,6.3
1978,2,Nevada,5.2
1978,3,Nevada,4.3
1978,4,Nevada,3.8
1978,5,Nevada,3.4
1978,6,Nevada,4.6
1978,7,Nevada,4.8
1978,8,Nevada,4
1978,9,Nevada,4.5
1978,10,Nevada,4
1978,11,Nevada,4.1
1978,12,Nevada,4.5
1979,1,Nevada,6
1979,2,Nevada,5.3
1979,3,Nevada,4.8
1979,4,Nevada,4.6
1979,5,Nevada,4.3
1979,6,Nevada,5.7
1979,7,Nevada,5.5
1979,8,Nevada,4.8
1979,9,Nevada,4.9
1979,10,Nevada,4.6
1979,11,Nevada,4.4
1979,12,Nevada,4.4
1980,1,Nevada,6.1
1980,2,Nevada,5.6
1980,3,Nevada,5.4
1980,4,Nevada,5.4
1980,5,Nevada,5.4
1980,6,Nevada,6.9
1980,7,Nevada,6.9
1980,8,Nevada,6.6
1980,9,Nevada,6.6
1980,10,Nevada,6.1
1980,11,Nevada,6
1980,12,Nevada,6.9
1981,1,Nevada,8.3
1981,2,Nevada,7.7
1981,3,Nevada,7.2
1981,4,Nevada,6.6
1981,5,Nevada,6.2
1981,6,Nevada,7
1981,7,Nevada,7
1981,8,Nevada,6.6
1981,9,Nevada,7.1
1981,10,Nevada,7
1981,11,Nevada,7.4
1981,12,Nevada,8.2
1982,1,Nevada,9.6
1982,2,Nevada,9.3
1982,3,Nevada,9.3
1982,4,Nevada,9.5
1982,5,Nevada,9.1
1982,6,Nevada,10
1982,7,Nevada,10.2
1982,8,Nevada,9.9
1982,9,Nevada,10.2
1982,10,Nevada,10.2
1982,11,Nevada,10.4
1982,12,Nevada,10.8
1983,1,Nevada,11.9
1983,2,Nevada,11.4
1983,3,Nevada,10.9
1983,4,Nevada,10
1983,5,Nevada,9.5
1983,6,Nevada,9.9
1983,7,Nevada,9.6
1983,8,Nevada,8.9
1983,9,Nevada,8.8
1983,10,Nevada,8.3
1983,11,Nevada,7.9
1983,12,Nevada,8
1984,1,Nevada,9
1984,2,Nevada,8.4
1984,3,Nevada,7.9
1984,4,Nevada,7.5
1984,5,Nevada,7
1984,6,Nevada,8
1984,7,Nevada,8.1
1984,8,Nevada,7.8
1984,9,Nevada,8
1984,10,Nevada,7.6
1984,11,Nevada,7.5
1984,12,Nevada,7.9
1985,1,Nevada,9.1
1985,2,Nevada,8.4
1985,3,Nevada,8
1985,4,Nevada,7.8
1985,5,Nevada,7.3
1985,6,Nevada,8.2
1985,7,Nevada,7.9
1985,8,Nevada,7.3
1985,9,Nevada,7.4
1985,10,Nevada,7.1
1985,11,Nevada,7
1985,12,Nevada,7.1
1986,1,Nevada,7.8
1986,2,Nevada,7
1986,3,Nevada,6.7
1986,4,Nevada,6.2
1986,5,Nevada,5.6
1986,6,Nevada,6.3
1986,7,Nevada,6.2
1986,8,Nevada,5.7
1986,9,Nevada,5.9
1986,10,Nevada,5.6
1986,11,Nevada,5.6
1986,12,Nevada,5.7
1987,1,Nevada,6.9
1987,2,Nevada,6.5
1987,3,Nevada,6.1
1987,4,Nevada,5.9
1987,5,Nevada,5.6
1987,6,Nevada,6.3
1987,7,Nevada,6.3
1987,8,Nevada,5.9
1987,9,Nevada,6.1
1987,10,Nevada,5.8
1987,11,Nevada,5.7
1987,12,Nevada,5.7
1988,1,Nevada,6.6
1988,2,Nevada,6
1988,3,Nevada,5.5
1988,4,Nevada,5.2
1988,5,Nevada,4.9
1988,6,Nevada,5.6
1988,7,Nevada,5.4
1988,8,Nevada,5
1988,9,Nevada,5
1988,10,Nevada,4.5
1988,11,Nevada,4.5
1988,12,Nevada,4.5
1989,1,Nevada,5.8
1989,2,Nevada,5.3
1989,3,Nevada,4.8
1989,4,Nevada,4.6
1989,5,Nevada,4.3
1989,6,Nevada,5
1989,7,Nevada,4.8
1989,8,Nevada,4.3
1989,9,Nevada,4.7
1989,10,Nevada,4.4
1989,11,Nevada,4.4
1989,12,Nevada,4.5
1990,1,Nevada,5.2
1990,2,Nevada,4.8
1990,3,Nevada,4.5
1990,4,Nevada,4.5
1990,5,Nevada,4.2
1990,6,Nevada,4.8
1990,7,Nevada,4.7
1990,8,Nevada,4.6
1990,9,Nevada,4.8
1990,10,Nevada,4.6
1990,11,Nevada,4.8
1990,12,Nevada,5.1
1991,1,Nevada,6.2
1991,2,Nevada,6.1
1991,3,Nevada,6.1
1991,4,Nevada,5.8
1991,5,Nevada,5.5
1991,6,Nevada,5.9
1991,7,Nevada,5.9
1991,8,Nevada,5.5
1991,9,Nevada,5.6
1991,10,Nevada,5.5
1991,11,Nevada,5.7
1991,12,Nevada,6
1992,1,Nevada,7.3
1992,2,Nevada,7.1
1992,3,Nevada,6.7
1992,4,Nevada,6.5
1992,5,Nevada,6.2
1992,6,Nevada,6.9
1992,7,Nevada,6.9
1992,8,Nevada,6.5
1992,9,Nevada,6.6
1992,10,Nevada,6.3
1992,11,Nevada,6.3
1992,12,Nevada,6.5
1993,1,Nevada,7.6
1993,2,Nevada,7.3
1993,3,Nevada,7.1
1993,4,Nevada,7
1993,5,Nevada,6.7
1993,6,Nevada,7.2
1993,7,Nevada,7.1
1993,8,Nevada,6.7
1993,9,Nevada,6.7
1993,10,Nevada,6.3
1993,11,Nevada,6.2
1993,12,Nevada,6.3
1994,1,Nevada,7.2
1994,2,Nevada,6.8
1994,3,Nevada,6.5
1994,4,Nevada,6.3
1994,5,Nevada,5.9
1994,6,Nevada,6.3
1994,7,Nevada,6.2
1994,8,Nevada,5.9
1994,9,Nevada,6
1994,10,Nevada,5.7
1994,11,Nevada,5.7
1994,12,Nevada,5.6
1995,1,Nevada,6.6
1995,2,Nevada,6.1
1995,3,Nevada,5.8
1995,4,Nevada,5.7
1995,5,Nevada,5.4
1995,6,Nevada,5.7
1995,7,Nevada,5.7
1995,8,Nevada,5.3
1995,9,Nevada,5.3
1995,10,Nevada,5
1995,11,Nevada,5.1
1995,12,Nevada,5.1
1996,1,Nevada,5.9
1996,2,Nevada,5.5
1996,3,Nevada,5.4
1996,4,Nevada,5.2
1996,5,Nevada,4.9
1996,6,Nevada,5.2
1996,7,Nevada,5.2
1996,8,Nevada,4.8
1996,9,Nevada,4.9
1996,10,Nevada,4.5
1996,11,Nevada,4.4
1996,12,Nevada,4.5
1997,1,Nevada,5.2
1997,2,Nevada,4.8
1997,3,Nevada,4.6
1997,4,Nevada,4.4
1997,5,Nevada,4.1
1997,6,Nevada,4.5
1997,7,Nevada,4.5
1997,8,Nevada,4.2
1997,9,Nevada,4.3
1997,10,Nevada,4
1997,11,Nevada,4
1997,12,Nevada,4.2
1998,1,Nevada,5.1
1998,2,Nevada,4.8
1998,3,Nevada,4.7
1998,4,Nevada,4.4
1998,5,Nevada,4.1
1998,6,Nevada,4.5
1998,7,Nevada,4.3
1998,8,Nevada,4
1998,9,Nevada,3.9
1998,10,Nevada,3.6
1998,11,Nevada,3.6
1998,12,Nevada,3.7
1999,1,Nevada,4.3
1999,2,Nevada,4.1
1999,3,Nevada,3.9
1999,4,Nevada,3.9
1999,5,Nevada,3.8
1999,6,Nevada,4.3
1999,7,Nevada,4.3
1999,8,Nevada,4
1999,9,Nevada,4.1
1999,10,Nevada,3.7
1999,11,Nevada,3.7
1999,12,Nevada,3.7
2000,1,Nevada,4.5
2000,2,Nevada,4.2
2000,3,Nevada,4.1
2000,4,Nevada,3.9
