year,month,states,unemployment_rate
1976,1,New York,11.2
1976,2,New York,11.2
1976,3,New York,10.5
1976,4,New York,9.8
1976,5,New York,9
1976,6,New York,10.2
1976,7,New York,10.5
1976,8,New York,10.2
1976,9,New York,10.1
1976,10,New York,9.9
1976,11,New York,10.2
1976,12,New York,10
1977,1,New York,10.6
1977,2,New York,10.7
1977,3,New York,10.1
1977,4,New York,9
1977,5,New York,8.8
1977,6,New York,9.1
1977,7,New York,8.8
1977,8,New York,8.7
1977,9,New York,8.8
1977,10,New York,8.5
1977,11,New York,8.7
1977,12,New York,8
1978,1,New York,8.9
1978,2,New York,8.7
1978,3,New York,8.3
1978,4,New York,7.6
1978,5,New York,7.5
1978,6,New York,7.5
1978,7,New York,7.9
1978,8,New York,7.5
1978,9,New York,7.7
1978,10,New York,7.2
1978,11,New York,7.2
1978,12,New York,7.1
1979,1,New York,7.7
1979,2,New York,7.8
1979,3,New York,7.4
1979,4,New York,6.8
1979,5,New York,6.6
1979,6,New York,7
1979,7,New York,7.2
1979,8,New York,7.3
1979,9,New York,7.2
1979,10,New York,7.1
1979,11,New York,7
1979,12,New York,6.9
1980,1,New York,8
1980,2,New York,7.8
1980,3,New York,7.3
1980,4,New York,7.2
1980,5,New York,7.5
1980,6,New York,7.6
1980,7,New York,7.8
1980,8,New York,7.4
1980,9,New York,7.3
1980,10,New York,7.3
1980,11,New York,7.3
1980,12,New York,7.2
1981,1,New York,8.5
1981,2,New York,8.5
1981,3,New York,8.1
1981,4,New York,7.3
1981,5,New York,7.5
1981,6,New York,7.6
1981,7,New York,7.4
1981,8,New York,7
1981,9,New York,7
1981,10,New York,7.1
1981,11,New York,7.4
1981,12,New York,7.8
1982,1,New York,8.7
1982,2,New York,8.5
1982,3,New York,8.5
1982,4,New York,8.1
1982,5,New York,8
1982,6,New York,8.2
1982,7,New York,8.5
1982,8,New York,8.2
1982,9,New York,8.3
1982,10,New York,8.6
1982,11,New York,9
1982,12,New York,9.1
1983,1,New York,10
1983,2,New York,10
1983,3,New York,9.6
1983,4,New York,8.9
1983,5,New York,8.9
1983,6,New York,9
1983,7,New York,8.6
1983,8,New York,8.4
1983,9,New York,8.1
1983,10,New York,7.7
1983,11,New York,7.5
1983,12,New York,7.4
1984,1,New York,8.2
1984,2,New York,8
1984,3,New York,7.6
1984,4,New York,7
1984,5,New York,6.8
1984,6,New York,6.9
1984,7,New York,7.5
1984,8,New York,7.3
1984,9,New York,6.9
1984,10,New York,6.8
1984,11,New York,6.5
1984,12,New York,6.5
1985,1,New York,7.6
1985,2,New York,7.3
1985,3,New York,7
1985,4,New York,6.6
1985,5,New York,6.6
1985,6,New York,6.6
1985,7,New York,6.6
1985,8,New York,6.1
1985,9,New York,6.3
1985,10,New York,6.3
1985,11,New York,6.2
1985,12,New York,6.2
1986,1,New York,6.8
1986,2,New York,7.4
1986,3,New York,7
1986,4,New York,6.5
1986,5,New York,6.6
1986,6,New York,6.3
1986,7,New York,6.3
1986,8,New York,5.8
1986,9,New York,5.8
1986,10,New York,5.6
1986,11,New York,5.5
1986,12,New York,5.2
1987,1,New York,6.1
1987,2,New York,5.9
1987,3,New York,5.5
1987,4,New York,4.7
1987,5,New York,4.7
1987,6,New York,4.7
1987,7,New York,4.7
1987,8,New York,4.5
1987,9,New York,4.4
1987,10,New York,4.6
1987,11,New York,4.6
1987,12,New York,4.3
1988,1,New York,5
1988,2,New York,4.7
1988,3,New York,4.3
1988,4,New York,3.6
1988,5,New York,4
1988,6,New York,3.8
1988,7,New York,4.2
1988,8,New York,4.2
1988,9,New York,4.3
1988,10,New York,4.3
1988,11,New York,4.4
1988,12,New York,4.5
1989,1,New York,5.5
1989,2,New York,5.3
1989,3,New York,4.8
1989,4,New York,4.8
1989,5,New York,4.8
1989,6,New York,4.8
1989,7,New York,4.9
1989,8,New York,4.7
1989,9,New York,4.9
1989,10,New York,4.9
1989,11,New York,5.2
1989,12,New York,5.1
1990,1,New York,5.8
1990,2,New York,5.8
1990,3,New York,5.4
1990,4,New York,5
1990,5,New York,4.9
1990,6,New York,4.7
1990,7,New York,5.2
1990,8,New York,5
1990,9,New York,5.3
1990,10,New York,5.4
1990,11,New York,5.6
1990,12,New York,5.8
1991,1,New York,7
1991,2,New York,7.4
1991,3,New York,7.4
1991,4,New York,6.9
1991,5,New York,7.3
1991,6,New York,7.2
1991,7,New York,7.3
1991,8,New York,7.1
1991,9,New York,7.1
1991,10,New York,7.1
1991,11,New York,7.3
1991,12,New York,7.8
1992,1,New York,9
1992,2,New York,9.3
1992,3,New York,8.8
1992,4,New York,8.2
1992,5,New York,8.4
1992,6,New York,8.8
1992,7,New York,8.8
1992,8,New York,8.6
1992,9,New York,8.6
1992,10,New York,8.2
1992,11,New York,8.3
1992,12,New York,8.3
1993,1,New York,9.3
1993,2,New York,9
1993,3,New York,8.3
1993,4,New York,7.7
1993,5,New York,7.7
1993,6,New York,7.8
1993,7,New York,7.8
1993,8,New York,7.5
1993,9,New York,7.4
1993,10,New York,7.6
1993,11,New York,7.4
1993,12,New York,7.4
1994,1,New York,8.4
1994,2,New York,8.3
1994,3,New York,7.9
1994,4,New York,7.3
1994,5,New York,6.8
1994,6,New York,6.9
1994,7,New York,7
1994,8,New York,6.6
1994,9,New York,6.3
1994,10,New York,6.2
1994,11,New York,6
1994,12,New York,5.8
1995,1,New York,7
1995,2,New York,6.7
1995,3,New York,6.6
1995,4,New York,6.4
1995,5,New York,6.2
1995,6,New York,6.2
1995,7,New York,6.5
1995,8,New York,6.3
1995,9,New York,6.2
1995,10,New York,6
1995,11,New York,6
1995,12,New York,6
1996,1,New York,6.9
1996,2,New York,6.8
1996,3,New York,6.8
1996,4,New York,6.4
1996,5,New York,6.3
1996,6,New York,6
1996,7,New York,6.4
1996,8,New York,5.8
