year,month,states,unemployment_rate
1976,1,North Dakota,4.4
1976,2,North Dakota,4.5
1976,3,North Dakota,4.4
1976,4,North Dakota,3.5
1976,5,North Dakota,3.1
1976,6,North Dakota,4.1
1976,7,North Dakota,3.3
1976,8,North Dakota,3.4
1976,9,North Dakota,2.9
1976,10,North Dakota,2.9
1976,11,North Dakota,3.7
1976,12,North Dakota,4.3
1977,1,North Dakota,5.5
1977,2,North Dakota,5.6
1977,3,North Dakota,5.8
1977,4,North Dakota,4.7
1977,5,North Dakota,4
1977,6,North Dakota,4.9
1977,7,North Dakota,4.2
1977,8,North Dakota,4.2
1977,9,North Dakota,3.7
1977,10,North Dakota,3.6
1977,11,North Dakota,4
1977,12,North Dakota,4.6
1978,1,North Dakota,5.7
1978,2,North Dakota,5.5
1978,3,North Dakota,5.3
1978,4,North Dakota,4.4
1978,5,North Dakota,3.6
1978,6,North Dakota,4.5
1978,7,North Dakota,3.8
1978,8,North Dakota,3.7
1978,9,North Dakota,3.2
1978,10,North Dakota,3.1
1978,11,North Dakota,3.8
1978,12,North Dakota,4.5
1979,1,North Dakota,5.2
1979,2,North Dakota,5.4
1979,3,North Dakota,5.2
1979,4,North Dakota,4.7
1979,5,North Dakota,3.9
1979,6,North Dakota,4.1
1979,7,North Dakota,3.3
1979,8,North Dakota,3.3
1979,9,North Dakota,2.9
1979,10,North Dakota,2.7
1979,11,North Dakota,3.6
1979,12,North Dakota,4
1980,1,North Dakota,5.2
1980,2,North Dakota,5.2
1980,3,North Dakota,5.4
1980,4,North Dakota,5
1980,5,North Dakota,4.4
1980,6,North Dakota,5.5
1980,7,North Dakota,5.1
1980,8,North Dakota,5
1980,9,North Dakota,4.5
1980,10,North Dakota,4.1
1980,11,North Dakota,4.6
1980,12,North Dakota,5.2
1981,1,North Dakota,6.2
1981,2,North Dakota,6.2
1981,3,North Dakota,6.1
1981,4,North Dakota,4.9
1981,5,North Dakota,4.4
1981,6,North Dakota,5.2
1981,7,North Dakota,4.4
1981,8,North Dakota,4.3
1981,9,North Dakota,3.8
1981,10,North Dakota,3.6
1981,11,North Dakota,4.1
1981,12,North Dakota,4.9
1982,1,North Dakota,6.1
1982,2,North Dakota,6
1982,3,North Dakota,6.1
1982,4,North Dakota,5.7
1982,5,North Dakota,5.2
1982,6,North Dakota,5.7
1982,7,North Dakota,5.2
1982,8,North Dakota,5.2
1982,9,North Dakota,4.8
1982,10,North Dakota,5
1982,11,North Dakota,5.5
1982,12,North Dakota,6.1
1983,1,North Dakota,7.3
1983,2,North Dakota,7.4
1983,3,North Dakota,7.4
1983,4,North Dakota,6.5
1983,5,North Dakota,5.4
1983,6,North Dakota,5.9
1983,7,North Dakota,5
1983,8,North Dakota,4.9
1983,9,North Dakota,4.3
1983,10,North Dakota,4.1
1983,11,North Dakota,4.6
1983,12,North Dakota,5.2
1984,1,North Dakota,6.2
1984,2,North Dakota,6.1
1984,3,North Dakota,6.1
1984,4,North Dakota,5.5
1984,5,North Dakota,4.9
1984,6,North Dakota,5.5
1984,7,North Dakota,4.9
1984,8,North Dakota,4.8
1984,9,North Dakota,4.4
1984,10,North Dakota,4.4
1984,11,North Dakota,5
1984,12,North Dakota,5.6
1985,1,North Dakota,6.7
1985,2,North Dakota,6.7
1985,3,North Dakota,6.9
1985,4,North Dakota,6
1985,5,North Dakota,5.1
1985,6,North Dakota,5.8
1985,7,North Dakota,5.2
1985,8,North Dakota,5.1
1985,9,North Dakota,4.8
1985,10,North Dakota,4.8
1985,11,North Dakota,5.4
1985,12,North Dakota,5.9
1986,1,North Dakota,6.9
1986,2,North Dakota,7
1986,3,North Dakota,7.1
1986,4,North Dakota,6.4
1986,5,North Dakota,5.7
1986,6,North Dakota,6.2
1986,7,North Dakota,5.5
1986,8,North Dakota,5.3
1986,9,North Dakota,4.8
1986,10,North Dakota,4.5
1986,11,North Dakota,5.2
1986,12,North Dakota,5.6
1987,1,North Dakota,6.4
1987,2,North Dakota,6.2
1987,3,North Dakota,6.1
1987,4,North Dakota,5.2
1987,5,North Dakota,4.5
1987,6,North Dakota,5.1
1987,7,North Dakota,4.5
1987,8,North Dakota,4.5
1987,9,North Dakota,4.1
1987,10,North Dakota,4.1
1987,11,North Dakota,4.6
1987,12,North Dakota,5
1988,1,North Dakota,5.9
1988,2,North Dakota,5.8
1988,3,North Dakota,5.6
1988,4,North Dakota,4.6
1988,5,North Dakota,4.2
1988,6,North Dakota,4.9
1988,7,North Dakota,4.4
1988,8,North Dakota,4.4
1988,9,North Dakota,4
1988,10,North Dakota,3.8
1988,11,North Dakota,4.1
1988,12,North Dakota,4.6
1989,1,North Dakota,5.5
1989,2,North Dakota,5.3
1989,3,North Dakota,5.1
1989,4,North Dakota,4.5
1989,5,North Dakota,3.8
1989,6,North Dakota,4.5
1989,7,North Dakota,4
1989,8,North Dakota,4
1989,9,North Dakota,3.6
1989,10,North Dakota,3.4
1989,11,North Dakota,3.8
1989,12,North Dakota,4.2
1990,1,North Dakota,5
1990,2,North Dakota,4.9
1990,3,North Dakota,4.8
1990,4,North Dakota,4.1
1990,5,North Dakota,3.6
1990,6,North Dakota,4.4
1990,7,North Dakota,3.8
1990,8,North Dakota,3.7
1990,9,North Dakota,3.3
1990,10,North Dakota,3.1
1990,11,North Dakota,3.6
1990,12,North Dakota,3.9
1991,1,North Dakota,4.9
1991,2,North Dakota,5
1991,3,North Dakota,5.1
1991,4,North Dakota,4.6
1991,5,North Dakota,4.1
1991,6,North Dakota,4.8
1991,7,North Dakota,4.1
1991,8,North Dakota,4.1
1991,9,North Dakota,3.6
1991,10,North Dakota,3.5
1991,11,North Dakota,4.1
1991,12,North Dakota,4.6
1992,1,North Dakota,5.6
1992,2,North Dakota,5.7
1992,3,North Dakota,5.7
1992,4,North Dakota,4.9
1992,5,North Dakota,4.3
1992,6,North Dakota,5.1
1992,7,North Dakota,4.5
1992,8,North Dakota,4.5
1992,9,North Dakota,4
1992,10,North Dakota,3.8
1992,11,North Dakota,4.3
1992,12,North Dakota,4.6
1993,1,North Dakota,5.4
1993,2,North Dakota,5.2
1993,3,North Dakota,5.2
1993,4,North Dakota,4.5
1993,5,North Dakota,3.9
1993,6,North Dakota,4.7
1993,7,North Dakota,4
1993,8,North Dakota,4
1993,9,North Dakota,3.5
1993,10,North Dakota,3.3
1993,11,North Dakota,3.7
1993,12,North Dakota,4.1
1994,1,North Dakota,4.9
1994,2,North Dakota,4.8
1994,3,North Dakota,4.8
1994,4,North Dakota,3.9
1994,5,North Dakota,3.3
1994,6,North Dakota,4
1994,7,North Dakota,3.5
1994,8,North Dakota,3.4
1994,9,North Dakota,2.9
1994,10,North Dakota,2.7
1994,11,North Dakota,3
1994,12,North Dakota,3.5
1995,1,North Dakota,4.5
1995,2,North Dakota,4.3
1995,3,North Dakota,4
1995,4,North Dakota,3.4
1995,5,North Dakota,2.8
1995,6,North Dakota,3.6
1995,7,North Dakota,3
1995,8,North Dakota,2.8
1995,9,North Dakota,2.4
1995,10,North Dakota,2.3
1995,11,North Dakota,2.7
1995,12,North Dakota,3
1996,1,North Dakota,3.9
1996,2,North Dakota,3.8
1996,3,North Dakota,3.7
1996,4,North Dakota,3.3
1996,5,North Dakota,2.6
1996,6,North Dakota,3.2
1996,7,North Dakota,2.7
1996,8,North Dakota,2.6
1996,9,North Dakota,2.1
1996,10,North Dakota,1.9
1996,11,North Dakota,2.4
1996,12,North Dakota,2.9
1997,1,North Dakota,3.7
1997,2,North Dakota,3.4
1997,3,North Dakota,3.4
1997,4,North Dakota,3.1
1997,5,North Dakota,2.9
1997,6,North Dakota,3.3
1997,7,North Dakota,2.5
1997,8,North Dakota,2.3
1997,9,North Dakota,1.9
1997,10,North Dakota,1.6
1997,11,North Dakota,2
