year,month,states,unemployment_rate
1976,1,Ohio,9.2
1976,2,Ohio,9.2
1976,3,Ohio,8.8
1976,4,Ohio,7.9
1976,5,Ohio,6.9
1976,6,Ohio,7.9
1976,7,Ohio,7.3
1976,8,Ohio,7.4
1976,9,Ohio,7.1
1976,10,Ohio,7.1
1976,11,Ohio,7.4
1976,12,Ohio,7.3
1977,1,Ohio,8.3
1977,2,Ohio,9.1
1977,3,Ohio,7.8
1977,4,Ohio,6.3
1977,5,Ohio,5.6
1977,6,Ohio,6.9
1977,7,Ohio,6.1
1977,8,Ohio,5.8
1977,9,Ohio,5.9
1977,10,Ohio,5.6
1977,11,Ohio,5.8
1977,12,Ohio,5.4
1978,1,Ohio,6.4
1978,2,Ohio,6.3
1978,3,Ohio,6.3
1978,4,Ohio,5.2
1978,5,Ohio,4.8
1978,6,Ohio,5.5
1978,7,Ohio,5.5
1978,8,Ohio,5
1978,9,Ohio,5.3
1978,10,Ohio,4.9
1978,11,Ohio,5.1
1978,12,Ohio,5.3
1979,1,Ohio,6.5
1979,2,Ohio,6.5
1979,3,Ohio,6
1979,4,Ohio,5.5
1979,5,Ohio,5.1
1979,6,Ohio,6
1979,7,Ohio,5.9
1979,8,Ohio,6
1979,9,Ohio,5.7
1979,10,Ohio,5.7
1979,11,Ohio,5.6
1979,12,Ohio,5.7
1980,1,Ohio,7.2
1980,2,Ohio,7
1980,3,Ohio,6.8
1980,4,Ohio,7.5
1980,5,Ohio,8.4
1980,6,Ohio,9.6
1980,7,Ohio,9.8
1980,8,Ohio,9.3
1980,9,Ohio,8.8
1980,10,Ohio,8.7
1980,11,Ohio,8.6
1980,12,Ohio,8.5
1981,1,Ohio,10.3
1981,2,Ohio,9.8
1981,3,Ohio,9.2
1981,4,Ohio,8.3
1981,5,Ohio,8.5
1981,6,Ohio,9.1
1981,7,Ohio,8.8
1981,8,Ohio,8.8
1981,9,Ohio,9.2
1981,10,Ohio,9.7
1981,11,Ohio,10.4
1981,12,Ohio,11.1
1982,1,Ohio,12.2
1982,2,Ohio,12.6
1982,3,Ohio,12.5
1982,4,Ohio,12.1
1982,5,Ohio,11.8
1982,6,Ohio,12.4
1982,7,Ohio,12.6
1982,8,Ohio,12.4
1982,9,Ohio,12.8
1982,10,Ohio,13
1982,11,Ohio,13.8
1982,12,Ohio,14.2
1983,1,Ohio,15
1983,2,Ohio,14.7
1983,3,Ohio,14.1
1983,4,Ohio,13.1
1983,5,Ohio,12.7
