year,month,states,unemployment_rate
1976,1,Oregon,12.2
1976,2,Oregon,11.6
1976,3,Oregon,11
1976,4,Oregon,9.7
1976,5,Oregon,8.1
1976,6,Oregon,8.8
1976,7,Oregon,8.8
1976,8,Oregon,8.6
1976,9,Oregon,8.1
1976,10,Oregon,8.2
1976,11,Oregon,8.9
1976,12,Oregon,8.7
1977,1,Oregon,10.5
1977,2,Oregon,10.7
1977,3,Oregon,10.1
1977,4,Oregon,8.5
1977,5,Oregon,7.1
1977,6,Oregon,7.4
1977,7,Oregon,6.6
1977,8,Oregon,6.5
1977,9,Oregon,5.7
1977,10,Oregon,5.5
1977,11,Oregon,5.6
1977,12,Oregon,5.5
1978,1,Oregon,6.8
1978,2,Oregon,7
1978,3,Oregon,6.8
1978,4,Oregon,5.9
1978,5,Oregon,5.3
1978,6,Oregon,5.7
1978,7,Oregon,5.8
1978,8,Oregon,5.6
1978,9,Oregon,5.6
1978,10,Oregon,5.7
1978,11,Oregon,6.2
1978,12,Oregon,6.3
1979,1,Oregon,8.5
1979,2,Oregon,8.3
1979,3,Oregon,8
1979,4,Oregon,7.1
1979,5,Oregon,6.2
1979,6,Oregon,6.4
1979,7,Oregon,6.3
1979,8,Oregon,6.4
1979,9,Oregon,5.6
1979,10,Oregon,5.6
1979,11,Oregon,5.8
1979,12,Oregon,6.1
1980,1,Oregon,8.2
1980,2,Oregon,7.8
1980,3,Oregon,7.9
1980,4,Oregon,8.8
1980,5,Oregon,9.1
1980,6,Oregon,9.4
1980,7,Oregon,9.3
1980,8,Oregon,8.6
1980,9,Oregon,7.8
1980,10,Oregon,7.9
1980,11,Oregon,8.3
1980,12,Oregon,8.6
1981,1,Oregon,10.2
1981,2,Oregon,10.8
1981,3,Oregon,10.4
1981,4,Oregon,9.6
1981,5,Oregon,8.9
1981,6,Oregon,9.5
1981,7,Oregon,8.9
1981,8,Oregon,9.2
1981,9,Oregon,8.8
1981,10,Oregon,9.6
1981,11,Oregon,10.3
1981,12,Oregon,11.3
1982,1,Oregon,12.5
1982,2,Oregon,12.9
1982,3,Oregon,12.9
1982,4,Oregon,11.9
1982,5,Oregon,11
1982,6,Oregon,11.2
1982,7,Oregon,10.6
1982,8,Oregon,10.8
1982,9,Oregon,10.5
1982,10,Oregon,10.7
1982,11,Oregon,11.7
1982,12,Oregon,11.8
1983,1,Oregon,13.3
1983,2,Oregon,13
1983,3,Oregon,12.3
1983,4,Oregon,11.2
1983,5,Oregon,10.4
1983,6,Oregon,10.4
1983,7,Oregon,10.1
1983,8,Oregon,10.1
1983,9,Oregon,9.4
1983,10,Oregon,9.6
1983,11,Oregon,9.7
1983,12,Oregon,10
1984,1,Oregon,11.5
1984,2,Oregon,10.8
1984,3,Oregon,10.5
1984,4,Oregon,10
1984,5,Oregon,9.1
1984,6,Oregon,9
1984,7,Oregon,8.7
1984,8,Oregon,8.5
1984,9,Oregon,8
1984,10,Oregon,8.7
1984,11,Oregon,9
1984,12,Oregon,9.5
1985,1,Oregon,10.7
1985,2,Oregon,10.9
1985,3,Oregon,10.5
1985,4,Oregon,9.7
1985,5,Oregon,8.4
1985,6,Oregon,8.6
1985,7,Oregon,8.4
1985,8,Oregon,7.7
1985,9,Oregon,7.4
1985,10,Oregon,7.5
1985,11,Oregon,8.1
1985,12,Oregon,8.2
1986,1,Oregon,9.6
1986,2,Oregon,10.3
1986,3,Oregon,10
1986,4,Oregon,9.1
1986,5,Oregon,8.2
1986,6,Oregon,8.1
1986,7,Oregon,7.8
1986,8,Oregon,7.3
1986,9,Oregon,6.7
1986,10,Oregon,6.6
1986,11,Oregon,6.7
1986,12,Oregon,6.3
1987,1,Oregon,7.7
1987,2,Oregon,7.7
1987,3,Oregon,7.5
1987,4,Oregon,6.5
1987,5,Oregon,5.7
1987,6,Oregon,5.9
1987,7,Oregon,5.7
1987,8,Oregon,5.6
1987,9,Oregon,5.6
1987,10,Oregon,5.8
1987,11,Oregon,5.7
1987,12,Oregon,5.7
1988,1,Oregon,7
1988,2,Oregon,7.2
1988,3,Oregon,6.9
1988,4,Oregon,6.1
1988,5,Oregon,5.7
1988,6,Oregon,5.7
1988,7,Oregon,5.4
1988,8,Oregon,5.3
1988,9,Oregon,5.1
1988,10,Oregon,4.8
1988,11,Oregon,5.1
1988,12,Oregon,5
1989,1,Oregon,6.6
1989,2,Oregon,6.6
1989,3,Oregon,6.4
1989,4,Oregon,5.7
1989,5,Oregon,5
1989,6,Oregon,5.3
1989,7,Oregon,5.2
1989,8,Oregon,5
1989,9,Oregon,4.6
1989,10,Oregon,4.8
1989,11,Oregon,5.2
1989,12,Oregon,4.9
1990,1,Oregon,6
1990,2,Oregon,6.6
1990,3,Oregon,5.8
1990,4,Oregon,5.3
1990,5,Oregon,4.8
1990,6,Oregon,5.3
1990,7,Oregon,5.4
1990,8,Oregon,5.4
1990,9,Oregon,5.1
1990,10,Oregon,5.2
1990,11,Oregon,5.6
1990,12,Oregon,5.6
1991,1,Oregon,6.9
1991,2,Oregon,7.1
1991,3,Oregon,6.8
1991,4,Oregon,6.2
1991,5,Oregon,5.7
1991,6,Oregon,6.1
1991,7,Oregon,6.1
1991,8,Oregon,6
1991,9,Oregon,5.7
1991,10,Oregon,6.3
1991,11,Oregon,6.7
1991,12,Oregon,7
1992,1,Oregon,8.6
1992,2,Oregon,8.8
1992,3,Oregon,8.5
1992,4,Oregon,7.5
1992,5,Oregon,7
1992,6,Oregon,7.2
1992,7,Oregon,7.1
1992,8,Oregon,6.9
1992,9,Oregon,6.6
1992,10,Oregon,6.5
1992,11,Oregon,7
1992,12,Oregon,7.2
1993,1,Oregon,8.4
1993,2,Oregon,8.3
1993,3,Oregon,8
1993,4,Oregon,7.5
1993,5,Oregon,6.9
1993,6,Oregon,7.1
1993,7,Oregon,7.1
1993,8,Oregon,6.7
1993,9,Oregon,6.1
1993,10,Oregon,6.1
1993,11,Oregon,6.1
1993,12,Oregon,6.1
1994,1,Oregon,7.3
1994,2,Oregon,7.2
1994,3,Oregon,6.8
1994,4,Oregon,5.9
1994,5,Oregon,5
1994,6,Oregon,5.3
1994,7,Oregon,5.1
1994,8,Oregon,5
1994,9,Oregon,4.2
1994,10,Oregon,4.3
1994,11,Oregon,4.6
1994,12,Oregon,4.5
1995,1,Oregon,5.7
1995,2,Oregon,5.8
1995,3,Oregon,5.3
1995,4,Oregon,5.1
1995,5,Oregon,4.6
1995,6,Oregon,4.8
1995,7,Oregon,4.8
1995,8,Oregon,4.6
1995,9,Oregon,4.1
1995,10,Oregon,4.3
1995,11,Oregon,4.9
1995,12,Oregon,5
1996,1,Oregon,6.3
1996,2,Oregon,6.5
1996,3,Oregon,6.3
1996,4,Oregon,5.8
1996,5,Oregon,5.4
1996,6,Oregon,5.5
1996,7,Oregon,5.7
1996,8,Oregon,5.4
1996,9,Oregon,4.9
1996,10,Oregon,5.2
1996,11,Oregon,5.7
1996,12,Oregon,5.7
1997,1,Oregon,6.9
1997,2,Oregon,6.9
1997,3,Oregon,6.8
1997,4,Oregon,5.9
1997,5,Oregon,5.1
1997,6,Oregon,5.5
1997,7,Oregon,5.5
1997,8,Oregon,5.4
1997,9,Oregon,4.9
1997,10,Oregon,4.9
1997,11,Oregon,5.1
1997,12,Oregon,5.1
1998,1,Oregon,6.4
1998,2,Oregon,6.3
1998,3,Oregon,6.3
1998,4,Oregon,5.6
1998,5,Oregon,5.3
1998,6,Oregon,5.8
1998,7,Oregon,5.7
1998,8,Oregon,5.7
1998,9,Oregon,5.3
1998,10,Oregon,5.4
1998,11,Oregon,5.6
1998,12,Oregon,5.6
1999,1,Oregon,6.6
1999,2,Oregon,6.6
1999,3,Oregon,6.3
1999,4,Oregon,5.6
1999,5,Oregon,5.1
1999,6,Oregon,5.6
1999,7,Oregon,5.5
1999,8,Oregon,5.4
1999,9,Oregon,4.9
1999,10,Oregon,4.8
1999,11,Oregon,4.8
1999,12,Oregon,4.8
2000,1,Oregon,5.8
2000,2,Oregon,5.9
2000,3,Oregon,5.7
2000,4,Oregon,5
2000,5,Oregon,4.9
2000,6,Oregon,5
2000,7,Oregon,5.1
2000,8,Oregon,5.2
2000,9,Oregon,4.4
2000,10,Oregon,4.7
2000,11,Oregon,4.8
2000,12,Oregon,4.7
2001,1,Oregon,6
2001,2,Oregon,6.3
2001,3,Oregon,6.3
2001,4,Oregon,6
2001,5,Oregon,5.6
2001,6,Oregon,6.1
2001,7,Oregon,6.2
2001,8,Oregon,6.5
2001,9,Oregon,6.3
2001,10,Oregon,6.7
2001,11,Oregon,7.4
2001,12,Oregon,7.6
2002,1,Oregon,9
2002,2,Oregon,8.7
2002,3,Oregon,8.5
2002,4,Oregon,7.8
2002,5,Oregon,7
2002,6,Oregon,7.3
2002,7,Oregon,7.2
2002,8,Oregon,7
2002,9,Oregon,6.5
2002,10,Oregon,6.7
2002,11,Oregon,7.3
2002,12,Oregon,7.3
2003,1,Oregon,8.6
2003,2,Oregon,8.7
2003,3,Oregon,8.8
2003,4,Oregon,8.6
2003,5,Oregon,8.1
2003,6,Oregon,8.6
2003,7,Oregon,8.3
2003,8,Oregon,8
2003,9,Oregon,7.4
2003,10,Oregon,7.3
2003,11,Oregon,7.5
2003,12,Oregon,7.4
2004,1,Oregon,8.7
2004,2,Oregon,8.5
2004,3,Oregon,8.4
2004,4,Oregon,7.5
2004,5,Oregon,7
2004,6,Oregon,7.4
2004,7,Oregon,7.2
2004,8,Oregon,7.1
2004,9,Oregon,6.4
2004,10,Oregon,6.5
2004,11,Oregon,6.6
2004,12,Oregon,6.4
2005,1,Oregon,7.2
2005,2,Oregon,7.3
2005,3,Oregon,6.9
2005,4,Oregon,6.5
2005,5,Oregon,6
2005,6,Oregon,6.2
2005,7,Oregon,6.1
2005,8,Oregon,6
2005,9,Oregon,5.4
2005,10,Oregon,5.4
2005,11,Oregon,5.7
2005,12,Oregon,5.4
2006,1,Oregon,6.3
2006,2,Oregon,6.3
2006,3,Oregon,6
2006,4,Oregon,5.4
2006,5,Oregon,5
2006,6,Oregon,5.3
2006,7,Oregon,5.3
2006,8,Oregon,5.2
2006,9,Oregon,4.6
2006,10,Oregon,4.6
2006,11,Oregon,5.1
2006,12,Oregon,5
2007,1,Oregon,5.9
2007,2,Oregon,5.9
2007,3,Oregon,5.6
2007,4,Oregon,5.1
2007,5,Oregon,4.7
2007,6,Oregon,5
2007,7,Oregon,5.1
2007,8,Oregon,5
2007,9,Oregon,4.6
2007,10,Oregon,4.8
2007,11,Oregon,4.9
2007,12,Oregon,5.2
2008,1,Oregon,6
2008,2,Oregon,6.1
2008,3,Oregon,6
2008,4,Oregon,5.5
2008,5,Oregon,5.3
2008,6,Oregon,5.9
2008,7,Oregon,6.3
2008,8,Oregon,6.5
