year,month,states,unemployment_rate
1976,1,Puerto Rico,21.9
1976,2,Puerto Rico,20.6
1976,3,Puerto Rico,19.2
1976,4,Puerto Rico,17.4
1976,5,Puerto Rico,16.8
1976,6,Puerto Rico,20.6
1976,7,Puerto Rico,19.7
1976,8,Puerto Rico,20.4
1976,9,Puerto Rico,19.5
1976,10,Puerto Rico,19.4
1976,11,Puerto Rico,20.1
1976,12,Puerto Rico,19.1
1977,1,Puerto Rico,21.3
1977,2,Puerto Rico,18.7
1977,3,Puerto Rico,19.1
1977,4,Puerto Rico,20.2
1977,5,Puerto Rico,20.8
1977,6,Puerto Rico,22.1
1977,7,Puerto Rico,21
1977,8,Puerto Rico,20.2
1977,9,Puerto Rico,20.1
1977,10,Puerto Rico,19.1
1977,11,Puerto Rico,18.7
1977,12,Puerto Rico,18
1978,1,Puerto Rico,20
1978,2,Puerto Rico,19
1978,3,Puerto Rico,17.5
1978,4,Puerto Rico,16.5
1978,5,Puerto Rico,16.9
1978,6,Puerto Rico,18.6
1978,7,Puerto Rico,16.9
1978,8,Puerto Rico,18.8
1978,9,Puerto Rico,18.5
1978,10,Puerto Rico,18.5
1978,11,Puerto Rico,17.5
1978,12,Puerto Rico,18.1
1979,1,Puerto Rico,18.7
1979,2,Puerto Rico,17.4
1979,3,Puerto Rico,16.7
1979,4,Puerto Rico,16.2
1979,5,Puerto Rico,16.1
1979,6,Puerto Rico,16.8
1979,7,Puerto Rico,16.6
1979,8,Puerto Rico,17.1
1979,9,Puerto Rico,17.7
1979,10,Puerto Rico,17.2
1979,11,Puerto Rico,17.3
1979,12,Puerto Rico,16.6
1980,1,Puerto Rico,18.2
1980,2,Puerto Rico,17.4
1980,3,Puerto Rico,16.7
1980,4,Puerto Rico,16.5
1980,5,Puerto Rico,16.4
1980,6,Puerto Rico,16.6
1980,7,Puerto Rico,17
1980,8,Puerto Rico,17.7
1980,9,Puerto Rico,17.1
1980,10,Puerto Rico,17.3
1980,11,Puerto Rico,17
1980,12,Puerto Rico,17
1981,1,Puerto Rico,18.9
1981,2,Puerto Rico,18.2
1981,3,Puerto Rico,17.7
1981,4,Puerto Rico,18.5
1981,5,Puerto Rico,18.8
1981,6,Puerto Rico,20.4
1981,7,Puerto Rico,20.7
1981,8,Puerto Rico,21.1
1981,9,Puerto Rico,20.8
1981,10,Puerto Rico,20.4
1981,11,Puerto Rico,21.6
1981,12,Puerto Rico,21
1982,1,Puerto Rico,22.4
1982,2,Puerto Rico,22.1
1982,3,Puerto Rico,21.9
1982,4,Puerto Rico,22.6
1982,5,Puerto Rico,22.7
1982,6,Puerto Rico,23.5
1982,7,Puerto Rico,24.6
1982,8,Puerto Rico,24.1
1982,9,Puerto Rico,22.2
1982,10,Puerto Rico,22.8
1982,11,Puerto Rico,22.1
1982,12,Puerto Rico,22.8
1983,1,Puerto Rico,25.3
1983,2,Puerto Rico,24.4
1983,3,Puerto Rico,24.1
1983,4,Puerto Rico,22.4
1983,5,Puerto Rico,23.1
1983,6,Puerto Rico,23.7
1983,7,Puerto Rico,24.7
1983,8,Puerto Rico,24.1
