year,month,states,unemployment_rate
1976,1,South Carolina,8.8
1976,2,South Carolina,8.5
1976,3,South Carolina,7
1976,4,South Carolina,6.4
1976,5,South Carolina,6.1
1976,6,South Carolina,7.6
1976,7,South Carolina,7.2
1976,8,South Carolina,7.5
1976,9,South Carolina,6.9
1976,10,South Carolina,6.7
1976,11,South Carolina,6.9
1976,12,South Carolina,6.8
1977,1,South Carolina,7.7
1977,2,South Carolina,8.3
1977,3,South Carolina,7.1
1977,4,South Carolina,6.5
1977,5,South Carolina,6
1977,6,South Carolina,7.9
1977,7,South Carolina,6.7
1977,8,South Carolina,6.8
1977,9,South Carolina,6.8
1977,10,South Carolina,6.4
1977,11,South Carolina,6.6
1977,12,South Carolina,5.8
1978,1,South Carolina,6.4
1978,2,South Carolina,6.1
1978,3,South Carolina,5.5
1978,4,South Carolina,5.2
1978,5,South Carolina,5.2
1978,6,South Carolina,6.7
1978,7,South Carolina,6.4
1978,8,South Carolina,5.8
1978,9,South Carolina,5.7
1978,10,South Carolina,5.3
1978,11,South Carolina,5.1
1978,12,South Carolina,5.3
1979,1,South Carolina,5.7
1979,2,South Carolina,5.6
1979,3,South Carolina,4.9
1979,4,South Carolina,4.6
1979,5,South Carolina,4.2
1979,6,South Carolina,5.3
1979,7,South Carolina,4.5
1979,8,South Carolina,5.3
1979,9,South Carolina,5.1
1979,10,South Carolina,5.2
1979,11,South Carolina,4.9
1979,12,South Carolina,4.9
1980,1,South Carolina,6
1980,2,South Carolina,6.1
1980,3,South Carolina,5.3
1980,4,South Carolina,5.5
1980,5,South Carolina,6
1980,6,South Carolina,8.1
1980,7,South Carolina,7.9
1980,8,South Carolina,7.6
1980,9,South Carolina,7.2
1980,10,South Carolina,7.4
1980,11,South Carolina,7
1980,12,South Carolina,6.8
1981,1,South Carolina,7.8
1981,2,South Carolina,7.9
1981,3,South Carolina,7.5
1981,4,South Carolina,6.7
1981,5,South Carolina,7.2
1981,6,South Carolina,8.4
1981,7,South Carolina,7.7
1981,8,South Carolina,8.1
1981,9,South Carolina,8.4
1981,10,South Carolina,8.7
1981,11,South Carolina,9.3
1981,12,South Carolina,9.8
1982,1,South Carolina,10.5
1982,2,South Carolina,10.7
1982,3,South Carolina,10.2
1982,4,South Carolina,10.3
1982,5,South Carolina,10.8
1982,6,South Carolina,11.7
1982,7,South Carolina,11.3
1982,8,South Carolina,11.6
1982,9,South Carolina,11.2
1982,10,South Carolina,11.3
1982,11,South Carolina,11.5
1982,12,South Carolina,12
1983,1,South Carolina,12.6
1983,2,South Carolina,12.2
1983,3,South Carolina,11.2
1983,4,South Carolina,10.3
1983,5,South Carolina,10
1983,6,South Carolina,10.6
1983,7,South Carolina,9.1
1983,8,South Carolina,9.2
1983,9,South Carolina,8.7
1983,10,South Carolina,8.3
1983,11,South Carolina,8.1
1983,12,South Carolina,8
1984,1,South Carolina,8.4
1984,2,South Carolina,7.6
1984,3,South Carolina,6.7
1984,4,South Carolina,6.5
1984,5,South Carolina,6.2
1984,6,South Carolina,6.9
1984,7,South Carolina,6.8
1984,8,South Carolina,7.1
1984,9,South Carolina,6.8
1984,10,South Carolina,6.8
1984,11,South Carolina,6.5
1984,12,South Carolina,6.5
1985,1,South Carolina,7.2
1985,2,South Carolina,6.9
1985,3,South Carolina,6.1
1985,4,South Carolina,6.1
1985,5,South Carolina,6.4
1985,6,South Carolina,7.7
1985,7,South Carolina,7.5
1985,8,South Carolina,7.4
1985,9,South Carolina,7.2
1985,10,South Carolina,6.9
1985,11,South Carolina,6.7
1985,12,South Carolina,6.8
1986,1,South Carolina,7.2
1986,2,South Carolina,7.4
1986,3,South Carolina,6.6
1986,4,South Carolina,6.2
1986,5,South Carolina,6.1
1986,6,South Carolina,6.9
1986,7,South Carolina,6.2
1986,8,South Carolina,6.1
1986,9,South Carolina,6.3
1986,10,South Carolina,6.1
1986,11,South Carolina,6.2
1986,12,South Carolina,5.9
1987,1,South Carolina,6.7
1987,2,South Carolina,6.7
1987,3,South Carolina,6.1
1987,4,South Carolina,5.5
1987,5,South Carolina,5.3
1987,6,South Carolina,5.6
1987,7,South Carolina,5
1987,8,South Carolina,5.2
1987,9,South Carolina,5.2
1987,10,South Carolina,5.2
1987,11,South Carolina,5
1987,12,South Carolina,4.9
1988,1,South Carolina,5.7
1988,2,South Carolina,5.3
1988,3,South Carolina,4.5
1988,4,South Carolina,4.2
1988,5,South Carolina,4.6
1988,6,South Carolina,4.9
1988,7,South Carolina,4.5
1988,8,South Carolina,5
1988,9,South Carolina,4.5
1988,10,South Carolina,4.4
1988,11,South Carolina,4.2
1988,12,South Carolina,4.1
1989,1,South Carolina,4.9
1989,2,South Carolina,4.7
1989,3,South Carolina,3.8
1989,4,South Carolina,3.8
1989,5,South Carolina,4
1989,6,South Carolina,5.1
1989,7,South Carolina,4.6
1989,8,South Carolina,4.8
1989,9,South Carolina,4.9
1989,10,South Carolina,5.3
1989,11,South Carolina,4.9
1989,12,South Carolina,4.6
1990,1,South Carolina,5
1990,2,South Carolina,5
1990,3,South Carolina,4.1
1990,4,South Carolina,4.2
1990,5,South Carolina,4.3
1990,6,South Carolina,5
1990,7,South Carolina,4.9
1990,8,South Carolina,5.1
1990,9,South Carolina,5.1
1990,10,South Carolina,4.7
1990,11,South Carolina,5
1990,12,South Carolina,5.1
1991,1,South Carolina,6
1991,2,South Carolina,6.5
1991,3,South Carolina,5.9
1991,4,South Carolina,5.3
1991,5,South Carolina,5.7
1991,6,South Carolina,6.5
1991,7,South Carolina,6.1
1991,8,South Carolina,6.4
1991,9,South Carolina,6.3
1991,10,South Carolina,6.2
1991,11,South Carolina,6.2
1991,12,South Carolina,6.5
1992,1,South Carolina,7.4
1992,2,South Carolina,7.4
1992,3,South Carolina,6.6
1992,4,South Carolina,6.2
1992,5,South Carolina,6.3
1992,6,South Carolina,7.3
1992,7,South Carolina,6.8
1992,8,South Carolina,6.8
1992,9,South Carolina,6.6
1992,10,South Carolina,6.4
1992,11,South Carolina,6.4
1992,12,South Carolina,6.6
1993,1,South Carolina,7.6
1993,2,South Carolina,7.8
1993,3,South Carolina,7.3
1993,4,South Carolina,7.1
1993,5,South Carolina,7.3
1993,6,South Carolina,8
1993,7,South Carolina,7.6
1993,8,South Carolina,7.5
1993,9,South Carolina,7.1
1993,10,South Carolina,6.9
1993,11,South Carolina,6.5
1993,12,South Carolina,6.5
1994,1,South Carolina,7.6
1994,2,South Carolina,7.4
1994,3,South Carolina,6.8
1994,4,South Carolina,6.5
1994,5,South Carolina,6.1
1994,6,South Carolina,6.6
1994,7,South Carolina,6.2
1994,8,South Carolina,6.3
1994,9,South Carolina,5.8
1994,10,South Carolina,5.5
1994,11,South Carolina,5.2
1994,12,South Carolina,4.9
1995,1,South Carolina,5.8
1995,2,South Carolina,5.2
1995,3,South Carolina,4.6
1995,4,South Carolina,4.7
1995,5,South Carolina,4.8
1995,6,South Carolina,5.5
1995,7,South Carolina,5.5
1995,8,South Carolina,5.4
1995,9,South Carolina,5.4
1995,10,South Carolina,5.2
1995,11,South Carolina,5.2
1995,12,South Carolina,5.2
1996,1,South Carolina,6
1996,2,South Carolina,5.7
1996,3,South Carolina,5.4
1996,4,South Carolina,5.5
1996,5,South Carolina,5.7
1996,6,South Carolina,6.2
1996,7,South Carolina,6.1
1996,8,South Carolina,5.9
1996,9,South Carolina,5.9
1996,10,South Carolina,5.7
1996,11,South Carolina,5.7
1996,12,South Carolina,5.6
1997,1,South Carolina,6
1997,2,South Carolina,5.7
1997,3,South Carolina,5
1997,4,South Carolina,4.5
1997,5,South Carolina,4.4
1997,6,South Carolina,5.2
1997,7,South Carolina,4.7
1997,8,South Carolina,4.6
1997,9,South Carolina,4.3
1997,10,South Carolina,3.7
1997,11,South Carolina,3.4
1997,12,South Carolina,3.4
1998,1,South Carolina,4
1998,2,South Carolina,3.8
1998,3,South Carolina,3.3
1998,4,South Carolina,2.8
1998,5,South Carolina,3.2
1998,6,South Carolina,4.1
1998,7,South Carolina,4
1998,8,South Carolina,4.3
1998,9,South Carolina,4
1998,10,South Carolina,4
1998,11,South Carolina,3.9
1998,12,South Carolina,3.7
1999,1,South Carolina,4.4
1999,2,South Carolina,4.5
1999,3,South Carolina,3.8
1999,4,South Carolina,4
1999,5,South Carolina,3.9
1999,6,South Carolina,4.5
1999,7,South Carolina,4.4
1999,8,South Carolina,4.6
1999,9,South Carolina,4.6
1999,10,South Carolina,4.4
1999,11,South Carolina,4.2
1999,12,South Carolina,3.8
2000,1,South Carolina,4.3
2000,2,South Carolina,4.1
2000,3,South Carolina,3.5
2000,4,South Carolina,3.2
2000,5,South Carolina,3.6
2000,6,South Carolina,4.1
2000,7,South Carolina,3.9
2000,8,South Carolina,4.2
2000,9,South Carolina,3.7
2000,10,South Carolina,3.4
2000,11,South Carolina,3.4
2000,12,South Carolina,3.7
2001,1,South Carolina,4.6
2001,2,South Carolina,4.8
2001,3,South Carolina,4.6
2001,4,South Carolina,4.5
2001,5,South Carolina,4.7
2001,6,South Carolina,5.6
2001,7,South Carolina,5.4
2001,8,South Carolina,5.8
2001,9,South Carolina,5.5
2001,10,South Carolina,5.7
2001,11,South Carolina,5.6
2001,12,South Carolina,5.8
2002,1,South Carolina,6.3
2002,2,South Carolina,6.1
2002,3,South Carolina,5.7
2002,4,South Carolina,5.5
2002,5,South Carolina,5.4
2002,6,South Carolina,6.1
2002,7,South Carolina,5.7
2002,8,South Carolina,5.9
2002,9,South Carolina,5.6
2002,10,South Carolina,5.6
2002,11,South Carolina,5.9
2002,12,South Carolina,5.9
2003,1,South Carolina,7.4
2003,2,South Carolina,7
2003,3,South Carolina,6.4
2003,4,South Carolina,6.3
2003,5,South Carolina,6.5
2003,6,South Carolina,7.6
2003,7,South Carolina,7.2
2003,8,South Carolina,7.1
2003,9,South Carolina,7
2003,10,South Carolina,6.8
2003,11,South Carolina,6.9
2003,12,South Carolina,6.7
2004,1,South Carolina,7.3
2004,2,South Carolina,7
2004,3,South Carolina,6.7
2004,4,South Carolina,6.3
2004,5,South Carolina,6.4
2004,6,South Carolina,7.3
2004,7,South Carolina,7
2004,8,South Carolina,6.9
2004,9,South Carolina,6.7
2004,10,South Carolina,6.7
2004,11,South Carolina,6.8
2004,12,South Carolina,6.8
2005,1,South Carolina,7.1
2005,2,South Carolina,7.2
2005,3,South Carolina,6.4
2005,4,South Carolina,6.1
2005,5,South Carolina,6.2
2005,6,South Carolina,6.9
2005,7,South Carolina,6.6
2005,8,South Carolina,6.8
2005,9,South Carolina,6.9
2005,10,South Carolina,6.9
2005,11,South Carolina,6.9
2005,12,South Carolina,6.7
2006,1,South Carolina,6.8
2006,2,South Carolina,6.8
2006,3,South Carolina,6.2
2006,4,South Carolina,6.1
2006,5,South Carolina,6.2
2006,6,South Carolina,6.8
2006,7,South Carolina,6.6
2006,8,South Carolina,6.8
2006,9,South Carolina,6.5
2006,10,South Carolina,6.2
2006,11,South Carolina,6.2
2006,12,South Carolina,6
2007,1,South Carolina,6.5
2007,2,South Carolina,6.1
2007,3,South Carolina,5.3
2007,4,South Carolina,5.2
2007,5,South Carolina,5.1
2007,6,South Carolina,5.9
2007,7,South Carolina,5.8
2007,8,South Carolina,5.7
2007,9,South Carolina,5.6
2007,10,South Carolina,5.6
2007,11,South Carolina,5.4
2007,12,South Carolina,5.8
2008,1,South Carolina,6
2008,2,South Carolina,5.7
2008,3,South Carolina,5.4
2008,4,South Carolina,5.2
2008,5,South Carolina,5.8
2008,6,South Carolina,6.6
2008,7,South Carolina,6.9
2008,8,South Carolina,7.5
2008,9,South Carolina,7.5
2008,10,South Carolina,7.8
2008,11,South Carolina,8
2008,12,South Carolina,9.1
2009,1,South Carolina,10.6
2009,2,South Carolina,11
2009,3,South Carolina,10.9
2009,4,South Carolina,10.7
2009,5,South Carolina,11.1
2009,6,South Carolina,11.9
2009,7,South Carolina,11.6
2009,8,South Carolina,11.5
2009,9,South Carolina,11.5
2009,10,South Carolina,11.5
2009,11,South Carolina,11.3
2009,12,South Carolina,11.5
2010,1,South Carolina,12.4
2010,2,South Carolina,12.1
2010,3,South Carolina,11.5
2010,4,South Carolina,10.9
2010,5,South Carolina,10.7
2010,6,South Carolina,11.2
2010,7,South Carolina,11
2010,8,South Carolina,11.2
2010,9,South Carolina,10.7
2010,10,South Carolina,10.5
2010,11,South Carolina,10.9
2010,12,South Carolina,10.8
2011,1,South Carolina,11.3
2011,2,South Carolina,11
2011,3,South Carolina,10.3
2011,4,South Carolina,10
2011,5,South Carolina,10.3
2011,6,South Carolina,11.1
2011,7,South Carolina,10.8
2011,8,South Carolina,11
2011,9,South Carolina,10.7
2011,10,South Carolina,10.3
2011,11,South Carolina,10
2011,12,South Carolina,9.9
2012,1,South Carolina,10.1
2012,2,South Carolina,10
2012,3,South Carolina,9.3
2012,4,South Carolina,8.8
2012,5,South Carolina,9.1
2012,6,South Carolina,9.8
2012,7,South Carolina,9.7
2012,8,South Carolina,9.4
2012,9,South Carolina,8.6
2012,10,South Carolina,8.6
2012,11,South Carolina,8.2
2012,12,South Carolina,8.6
2013,1,South Carolina,9.1
2013,2,South Carolina,8.6
2013,3,South Carolina,7.7
2013,4,South Carolina,7.4
2013,5,South Carolina,7.7
2013,6,South Carolina,8.3
2013,7,South Carolina,7.9
2013,8,South Carolina,7.7
2013,9,South Carolina,7.3
2013,10,South Carolina,7.1
2013,11,South Carolina,6.5
2013,12,South Carolina,6.2
2014,1,South Carolina,6.5
2014,2,South Carolina,6.4
2014,3,South Carolina,5.9
2014,4,South Carolina,5.3
2014,5,South Carolina,5.9
2014,6,South Carolina,6.6
2014,7,South Carolina,6.9
2014,8,South Carolina,7.2
2014,9,South Carolina,6.8
2014,10,South Carolina,6.6
2014,11,South Carolina,6.5
2014,12,South Carolina,6.4
2015,1,South Carolina,6.9
2015,2,South Carolina,6.6
2015,3,South Carolina,6
2015,4,South Carolina,5.8
2015,5,South Carolina,6
2015,6,South Carolina,6.3
2015,7,South Carolina,6.1
2015,8,South Carolina,5.9
2015,9,South Carolina,5.7
2015,10,South Carolina,5.6
2015,11,South Carolina,5.3
2015,12,South Carolina,5.4
2016,1,South Carolina,5.6
2016,2,South Carolina,5.6
2016,3,South Carolina,5.6
2016,4,South Carolina,5.2
2016,5,South Carolina,4.8
2016,6,South Carolina,5.6
2016,7,South Carolina,5.4
