year,month,states,unemployment_rate
1976,1,Tennessee,6.9
1976,2,Tennessee,6.9
1976,3,Tennessee,6
1976,4,Tennessee,5.5
1976,5,Tennessee,4.8
1976,6,Tennessee,6.7
1976,7,Tennessee,6.2
1976,8,Tennessee,6.1
1976,9,Tennessee,5.9
1976,10,Tennessee,6
1976,11,Tennessee,6.2
1976,12,Tennessee,6
1977,1,Tennessee,6.9
1977,2,Tennessee,7.3
1977,3,Tennessee,7.1
1977,4,Tennessee,6.2
1977,5,Tennessee,5.4
1977,6,Tennessee,7.1
1977,7,Tennessee,6.2
1977,8,Tennessee,6.3
1977,9,Tennessee,5.6
1977,10,Tennessee,5.6
1977,11,Tennessee,5.8
1977,12,Tennessee,5.5
1978,1,Tennessee,6.3
1978,2,Tennessee,6
1978,3,Tennessee,6.2
1978,4,Tennessee,5.4
1978,5,Tennessee,5
1978,6,Tennessee,6.2
1978,7,Tennessee,6.3
1978,8,Tennessee,5.9
1978,9,Tennessee,6
1978,10,Tennessee,5.5
1978,11,Tennessee,5.4
1978,12,Tennessee,5.5
1979,1,Tennessee,6.2
1979,2,Tennessee,6
1979,3,Tennessee,5.5
1979,4,Tennessee,5.4
1979,5,Tennessee,5.4
1979,6,Tennessee,6.8
1979,7,Tennessee,6.1
1979,8,Tennessee,6.2
1979,9,Tennessee,5.7
1979,10,Tennessee,5.5
1979,11,Tennessee,5.7
1979,12,Tennessee,5.5
1980,1,Tennessee,6.9
1980,2,Tennessee,6.8
1980,3,Tennessee,6.5
1980,4,Tennessee,6.7
1980,5,Tennessee,7.1
1980,6,Tennessee,8.2
1980,7,Tennessee,8.1
1980,8,Tennessee,8.1
1980,9,Tennessee,7.3
1980,10,Tennessee,7.8
1980,11,Tennessee,7.8
1980,12,Tennessee,7.8
1981,1,Tennessee,9.5
1981,2,Tennessee,9.5
1981,3,Tennessee,8.9
1981,4,Tennessee,7.9
1981,5,Tennessee,8.2
1981,6,Tennessee,9.2
1981,7,Tennessee,8.3
1981,8,Tennessee,8.3
1981,9,Tennessee,8.7
1981,10,Tennessee,9.2
1981,11,Tennessee,9.6
1981,12,Tennessee,10.2
1982,1,Tennessee,11.3
1982,2,Tennessee,11.9
1982,3,Tennessee,11.7
1982,4,Tennessee,11.1
1982,5,Tennessee,10.8
1982,6,Tennessee,11.9
1982,7,Tennessee,11.6
1982,8,Tennessee,11.4
1982,9,Tennessee,11.4
1982,10,Tennessee,11.8
1982,11,Tennessee,12.6
1982,12,Tennessee,13.2
1983,1,Tennessee,13.8
1983,2,Tennessee,13.6
1983,3,Tennessee,12.7
1983,4,Tennessee,12
1983,5,Tennessee,11.6
1983,6,Tennessee,12.6
1983,7,Tennessee,11
1983,8,Tennessee,11.2
1983,9,Tennessee,10.5
1983,10,Tennessee,10.1
1983,11,Tennessee,9.8
1983,12,Tennessee,9.7
1984,1,Tennessee,10.3
1984,2,Tennessee,9.6
1984,3,Tennessee,9.3
1984,4,Tennessee,8.9
1984,5,Tennessee,8.1
1984,6,Tennessee,8.7
1984,7,Tennessee,8.7
1984,8,Tennessee,8.5
1984,9,Tennessee,7.8
1984,10,Tennessee,7.8
1984,11,Tennessee,7.6
1984,12,Tennessee,7.5
1985,1,Tennessee,8.8
1985,2,Tennessee,8.6
1985,3,Tennessee,8.2
1985,4,Tennessee,8.1
1985,5,Tennessee,7.5
1985,6,Tennessee,8.4
1985,7,Tennessee,8.2
1985,8,Tennessee,7.6
1985,9,Tennessee,7.5
1985,10,Tennessee,7.3
1985,11,Tennessee,7.5
1985,12,Tennessee,7.7
1986,1,Tennessee,8.3
1986,2,Tennessee,9.2
1986,3,Tennessee,8.6
1986,4,Tennessee,7.9
1986,5,Tennessee,7.4
1986,6,Tennessee,8.4
1986,7,Tennessee,7.8
1986,8,Tennessee,7.2
1986,9,Tennessee,7.6
1986,10,Tennessee,7.6
1986,11,Tennessee,7.8
1986,12,Tennessee,7.1
1987,1,Tennessee,8
1987,2,Tennessee,7.9
1987,3,Tennessee,7.5
1987,4,Tennessee,6.8
1987,5,Tennessee,6.7
1987,6,Tennessee,7
1987,7,Tennessee,6.2
1987,8,Tennessee,6.1
1987,9,Tennessee,6
1987,10,Tennessee,5.8
1987,11,Tennessee,5.9
1987,12,Tennessee,5.5
1988,1,Tennessee,6.6
1988,2,Tennessee,6.4
1988,3,Tennessee,6.1
1988,4,Tennessee,5.2
1988,5,Tennessee,5.5
1988,6,Tennessee,5.9
1988,7,Tennessee,5.9
1988,8,Tennessee,5.8
1988,9,Tennessee,5.8
1988,10,Tennessee,5.4
1988,11,Tennessee,5.7
1988,12,Tennessee,5.5
1989,1,Tennessee,6.4
1989,2,Tennessee,5.4
1989,3,Tennessee,4.9
1989,4,Tennessee,4.7
1989,5,Tennessee,4.4
1989,6,Tennessee,5.3
1989,7,Tennessee,5
1989,8,Tennessee,5
1989,9,Tennessee,4.9
1989,10,Tennessee,4.8
1989,11,Tennessee,5.1
1989,12,Tennessee,4.9
1990,1,Tennessee,5.6
1990,2,Tennessee,5.5
1990,3,Tennessee,4.9
1990,4,Tennessee,5.2
1990,5,Tennessee,5
1990,6,Tennessee,5.1
1990,7,Tennessee,5.1
1990,8,Tennessee,5.3
1990,9,Tennessee,5.4
1990,10,Tennessee,5.3
1990,11,Tennessee,5.8
1990,12,Tennessee,5.9
1991,1,Tennessee,7.2
1991,2,Tennessee,7.5
1991,3,Tennessee,7.3
1991,4,Tennessee,6.4
1991,5,Tennessee,6.3
1991,6,Tennessee,7.1
1991,7,Tennessee,6.8
1991,8,Tennessee,6.7
1991,9,Tennessee,6.5
1991,10,Tennessee,6.3
1991,11,Tennessee,6.4
1991,12,Tennessee,6.4
1992,1,Tennessee,7.7
1992,2,Tennessee,7.6
1992,3,Tennessee,7
1992,4,Tennessee,5.8
1992,5,Tennessee,6
1992,6,Tennessee,7
1992,7,Tennessee,6.4
1992,8,Tennessee,6.3
1992,9,Tennessee,6.1
1992,10,Tennessee,5.7
1992,11,Tennessee,6.2
1992,12,Tennessee,6.2
1993,1,Tennessee,7.1
1993,2,Tennessee,6.8
1993,3,Tennessee,6.7
1993,4,Tennessee,6
1993,5,Tennessee,5.8
1993,6,Tennessee,6.5
1993,7,Tennessee,5.9
1993,8,Tennessee,5.5
1993,9,Tennessee,5.2
1993,10,Tennessee,5
1993,11,Tennessee,4.7
1993,12,Tennessee,4.5
1994,1,Tennessee,5.9
1994,2,Tennessee,5.8
1994,3,Tennessee,5.5
1994,4,Tennessee,4.7
1994,5,Tennessee,4.2
1994,6,Tennessee,5.1
1994,7,Tennessee,5.1
1994,8,Tennessee,5
1994,9,Tennessee,4.6
1994,10,Tennessee,4.3
