year,month,states,unemployment_rate
1976,1,Texas,6.3
1976,2,Texas,6.2
1976,3,Texas,5.7
1976,4,Texas,5.2
1976,5,Texas,5.1
1976,6,Texas,6.7
1976,7,Texas,6.3
1976,8,Texas,6
1976,9,Texas,5.8
1976,10,Texas,5.2
1976,11,Texas,5.4
1976,12,Texas,5.2
1977,1,Texas,6.2
1977,2,Texas,6.1
1977,3,Texas,5.5
1977,4,Texas,4.7
1977,5,Texas,4.4
1977,6,Texas,6.1
1977,7,Texas,5.6
1977,8,Texas,5.5
1977,9,Texas,5.4
1977,10,Texas,4.9
1977,11,Texas,5.1
1977,12,Texas,4.5
1978,1,Texas,5.7
1978,2,Texas,5.2
1978,3,Texas,4.9
1978,4,Texas,4.1
1978,5,Texas,4.2
1978,6,Texas,5.5
1978,7,Texas,5.4
1978,8,Texas,4.9
1978,9,Texas,4.9
1978,10,Texas,4.3
1978,11,Texas,4.6
1978,12,Texas,4.2
1979,1,Texas,4.6
1979,2,Texas,4.5
1979,3,Texas,4.1
1979,4,Texas,3.8
1979,5,Texas,3.9
1979,6,Texas,5.1
1979,7,Texas,4.9
1979,8,Texas,4.7
1979,9,Texas,4.3
1979,10,Texas,4
1979,11,Texas,4.1
1979,12,Texas,3.7
1980,1,Texas,5
1980,2,Texas,4.9
1980,3,Texas,4.7
1980,4,Texas,4.7
1980,5,Texas,5.1
1980,6,Texas,6.2
1980,7,Texas,5.9
1980,8,Texas,5.5
1980,9,Texas,5
1980,10,Texas,5
1980,11,Texas,5.1
1980,12,Texas,4.6
1981,1,Texas,5.7
1981,2,Texas,5.3
1981,3,Texas,5
1981,4,Texas,4.6
1981,5,Texas,5.1
1981,6,Texas,6.2
1981,7,Texas,5.6
1981,8,Texas,5.4
1981,9,Texas,5.2
1981,10,Texas,5
1981,11,Texas,5.3
1981,12,Texas,5.1
1982,1,Texas,6
1982,2,Texas,6
1982,3,Texas,5.9
1982,4,Texas,5.9
1982,5,Texas,6.2
1982,6,Texas,7.4
1982,7,Texas,7.4
1982,8,Texas,7.2
1982,9,Texas,7.3
1982,10,Texas,7.4
1982,11,Texas,7.9
1982,12,Texas,7.9
1983,1,Texas,8.8
1983,2,Texas,8.7
1983,3,Texas,8.4
1983,4,Texas,8
1983,5,Texas,8
1983,6,Texas,9
1983,7,Texas,8.1
1983,8,Texas,7.9
1983,9,Texas,7.7
1983,10,Texas,7.1
1983,11,Texas,6.8
1983,12,Texas,6.5
1984,1,Texas,7.1
1984,2,Texas,6.6
1984,3,Texas,6.3
1984,4,Texas,6.1
1984,5,Texas,5.7
1984,6,Texas,6.2
1984,7,Texas,6.2
