year,month,states,unemployment_rate
1976,1,Utah,7.1
1976,2,Utah,7
1976,3,Utah,6.3
1976,4,Utah,5.5
1976,5,Utah,4.7
1976,6,Utah,6.1
1976,7,Utah,5.1
1976,8,Utah,5.7
1976,9,Utah,4.9
1976,10,Utah,5.2
1976,11,Utah,5
1976,12,Utah,4.8
1977,1,Utah,6.3
1977,2,Utah,6.7
1977,3,Utah,6
1977,4,Utah,4.9
1977,5,Utah,4.5
1977,6,Utah,5.9
1977,7,Utah,5
1977,8,Utah,5.3
1977,9,Utah,4.3
1977,10,Utah,4.6
1977,11,Utah,4.4
1977,12,Utah,3.9
1978,1,Utah,5.1
1978,2,Utah,5.4
1978,3,Utah,4.6
1978,4,Utah,3.7
1978,5,Utah,3
1978,6,Utah,4
1978,7,Utah,3.3
1978,8,Utah,3.6
1978,9,Utah,3.1
1978,10,Utah,3.3
1978,11,Utah,3.3
1978,12,Utah,3.3
1979,1,Utah,4.4
1979,2,Utah,5
1979,3,Utah,4.1
1979,4,Utah,4
1979,5,Utah,3.5
1979,6,Utah,4.8
1979,7,Utah,4.2
1979,8,Utah,4.7
1979,9,Utah,4.1
1979,10,Utah,4.3
1979,11,Utah,4.3
1979,12,Utah,4.4
1980,1,Utah,5.8
1980,2,Utah,6.4
1980,3,Utah,5.9
1980,4,Utah,5.6
1980,5,Utah,5.4
1980,6,Utah,6.7
1980,7,Utah,6.4
1980,8,Utah,6.8
1980,9,Utah,6.2
1980,10,Utah,6.5
1980,11,Utah,6.4
1980,12,Utah,6.1
1981,1,Utah,7.3
1981,2,Utah,7.4
1981,3,Utah,6.9
1981,4,Utah,6.2
1981,5,Utah,5.9
1981,6,Utah,6.8
1981,7,Utah,6.3
1981,8,Utah,6.6
1981,9,Utah,6.1
1981,10,Utah,6.5
1981,11,Utah,6.4
1981,12,Utah,6.4
1982,1,Utah,7.8
1982,2,Utah,8.5
1982,3,Utah,7.8
1982,4,Utah,7.5
1982,5,Utah,7.2
1982,6,Utah,8.1
1982,7,Utah,8.1
1982,8,Utah,8.7
1982,9,Utah,8.2
1982,10,Utah,8.5
1982,11,Utah,8.9
1982,12,Utah,9
1983,1,Utah,10.2
1983,2,Utah,10.5
1983,3,Utah,10.1
1983,4,Utah,9.5
1983,5,Utah,9.1
1983,6,Utah,9.5
1983,7,Utah,8.4
1983,8,Utah,8.5
1983,9,Utah,7.6
1983,10,Utah,7.4
1983,11,Utah,7.1
1983,12,Utah,6.9
1984,1,Utah,7.7
1984,2,Utah,7.8
1984,3,Utah,7.2
1984,4,Utah,6.4
1984,5,Utah,6
1984,6,Utah,6.5
1984,7,Utah,6
1984,8,Utah,6.4
1984,9,Utah,5.8
1984,10,Utah,6.1
1984,11,Utah,6
1984,12,Utah,5.9
1985,1,Utah,6.9
1985,2,Utah,7.3
1985,3,Utah,6.7
1985,4,Utah,6.1
1985,5,Utah,5.6
1985,6,Utah,6.4
1985,7,Utah,5.9
1985,8,Utah,5.9
1985,9,Utah,5.3
1985,10,Utah,5.4
1985,11,Utah,5.5
1985,12,Utah,5.4
1986,1,Utah,6.2
1986,2,Utah,6.6
1986,3,Utah,6
1986,4,Utah,5.6
1986,5,Utah,5.5
1986,6,Utah,6.3
1986,7,Utah,5.9
1986,8,Utah,6.4
1986,9,Utah,6
1986,10,Utah,6.2
1986,11,Utah,6.2
1986,12,Utah,6.1
1987,1,Utah,7.3
1987,2,Utah,7.6
1987,3,Utah,7
1987,4,Utah,6.3
1987,5,Utah,6.1
1987,6,Utah,6.7
1987,7,Utah,6.1
1987,8,Utah,6.2
1987,9,Utah,5.5
1987,10,Utah,5.5
1987,11,Utah,5.3
1987,12,Utah,5.1
1988,1,Utah,6
1988,2,Utah,6.1
1988,3,Utah,5.5
1988,4,Utah,4.9
1988,5,Utah,4.8
1988,6,Utah,5.2
1988,7,Utah,4.9
1988,8,Utah,5.2
1988,9,Utah,4.4
1988,10,Utah,4.3
1988,11,Utah,4.3
1988,12,Utah,4.1
1989,1,Utah,5
1989,2,Utah,5.1
1989,3,Utah,4.8
1989,4,Utah,4.5
1989,5,Utah,4.4
1989,6,Utah,4.9
1989,7,Utah,4.5
1989,8,Utah,4.7
1989,9,Utah,4.3
1989,10,Utah,4.2
1989,11,Utah,4.2
1989,12,Utah,4
1990,1,Utah,4.8
1990,2,Utah,5
1990,3,Utah,4.7
1990,4,Utah,4.5
1990,5,Utah,4.4
1990,6,Utah,4.8
1990,7,Utah,4.4
1990,8,Utah,4.5
1990,9,Utah,4
1990,10,Utah,4
1990,11,Utah,4
1990,12,Utah,3.9
1991,1,Utah,4.8
1991,2,Utah,5.1
1991,3,Utah,4.8
1991,4,Utah,4.5
1991,5,Utah,4.4
1991,6,Utah,5.2
1991,7,Utah,4.8
1991,8,Utah,5
1991,9,Utah,4.5
1991,10,Utah,4.4
1991,11,Utah,4.5
1991,12,Utah,4.4
1992,1,Utah,5.3
1992,2,Utah,5.5
1992,3,Utah,5.2
1992,4,Utah,4.7
1992,5,Utah,4.8
1992,6,Utah,5.4
1992,7,Utah,4.9
1992,8,Utah,5
1992,9,Utah,4.5
1992,10,Utah,4.4
1992,11,Utah,4.4
1992,12,Utah,4.2
1993,1,Utah,4.8
1993,2,Utah,5
1993,3,Utah,4.5
1993,4,Utah,4
1993,5,Utah,4.1
1993,6,Utah,4.6
1993,7,Utah,4.1
1993,8,Utah,4.1
1993,9,Utah,3.6
1993,10,Utah,3.5
1993,11,Utah,3.3
1993,12,Utah,3.1
1994,1,Utah,4
1994,2,Utah,4.1
1994,3,Utah,3.9
1994,4,Utah,3.6
1994,5,Utah,3.6
1994,6,Utah,4.2
1994,7,Utah,4
1994,8,Utah,4.1
1994,9,Utah,3.6
1994,10,Utah,3.6
1994,11,Utah,3.5
1994,12,Utah,3.4
1995,1,Utah,4.1
1995,2,Utah,4.1
1995,3,Utah,3.7
1995,4,Utah,3.5
1995,5,Utah,3.4
1995,6,Utah,4
1995,7,Utah,3.6
1995,8,Utah,3.7
1995,9,Utah,3.2
1995,10,Utah,3.1
1995,11,Utah,3
1995,12,Utah,2.8
1996,1,Utah,3.6
1996,2,Utah,3.8
1996,3,Utah,3.6
1996,4,Utah,3.3
1996,5,Utah,3.3
1996,6,Utah,3.8
1996,7,Utah,3.6
1996,8,Utah,3.6
1996,9,Utah,3.1
1996,10,Utah,3.1
1996,11,Utah,3
1996,12,Utah,2.8
1997,1,Utah,3.5
1997,2,Utah,3.6
1997,3,Utah,3.3
1997,4,Utah,2.9
1997,5,Utah,3
1997,6,Utah,3.6
1997,7,Utah,3.3
1997,8,Utah,3.4
1997,9,Utah,3
1997,10,Utah,3
1997,11,Utah,2.8
1997,12,Utah,2.8
1998,1,Utah,3.7
1998,2,Utah,3.8
1998,3,Utah,3.9
1998,4,Utah,3.5
1998,5,Utah,3.5
1998,6,Utah,4.1
1998,7,Utah,4
1998,8,Utah,4
1998,9,Utah,3.5
1998,10,Utah,3.4
1998,11,Utah,3.2
1998,12,Utah,3.2
1999,1,Utah,3.9
1999,2,Utah,4
1999,3,Utah,3.9
1999,4,Utah,3.5
1999,5,Utah,3.6
1999,6,Utah,4.1
1999,7,Utah,3.9
1999,8,Utah,3.9
1999,9,Utah,3.3
1999,10,Utah,3.1
1999,11,Utah,2.7
1999,12,Utah,2.6
2000,1,Utah,3.4
2000,2,Utah,3.5
2000,3,Utah,3.3
2000,4,Utah,2.9
2000,5,Utah,3.2
2000,6,Utah,3.7
2000,7,Utah,3.6
2000,8,Utah,3.7
2000,9,Utah,3.2
2000,10,Utah,3.2
2000,11,Utah,3.2
2000,12,Utah,3.2
2001,1,Utah,4.1
2001,2,Utah,4.3
2001,3,Utah,4.4
2001,4,Utah,4
2001,5,Utah,4.1
2001,6,Utah,4.7
2001,7,Utah,4.6
2001,8,Utah,4.8
2001,9,Utah,4.4
2001,10,Utah,4.4
2001,11,Utah,4.4
2001,12,Utah,4.8
2002,1,Utah,5.7
2002,2,Utah,6
2002,3,Utah,5.9
2002,4,Utah,5.7
2002,5,Utah,5.7
2002,6,Utah,6.2
2002,7,Utah,6.1
2002,8,Utah,6.1
2002,9,Utah,5.7
2002,10,Utah,5.6
2002,11,Utah,5.5
2002,12,Utah,5.4
2003,1,Utah,6.2
2003,2,Utah,6.3
2003,3,Utah,6.1
2003,4,Utah,5.6
2003,5,Utah,5.6
2003,6,Utah,6.1
2003,7,Utah,5.8
2003,8,Utah,5.7
2003,9,Utah,5.2
2003,10,Utah,5.1
2003,11,Utah,5
2003,12,Utah,4.9
2004,1,Utah,5.7
2004,2,Utah,5.7
2004,3,Utah,5.6
2004,4,Utah,5
2004,5,Utah,5
2004,6,Utah,5.4
2004,7,Utah,5.2
2004,8,Utah,5.1
2004,9,Utah,4.5
2004,10,Utah,4.4
2004,11,Utah,4.2
2004,12,Utah,4.1
2005,1,Utah,4.7
2005,2,Utah,4.8
2005,3,Utah,4.5
2005,4,Utah,4.1
2005,5,Utah,4.1
2005,6,Utah,4.4
2005,7,Utah,4.2
2005,8,Utah,4
2005,9,Utah,3.9
2005,10,Utah,3.7
2005,11,Utah,3.4
2005,12,Utah,3.3
2006,1,Utah,3.8
2006,2,Utah,3.8
2006,3,Utah,3.5
2006,4,Utah,3
2006,5,Utah,3
2006,6,Utah,3.3
2006,7,Utah,3.2
2006,8,Utah,3
2006,9,Utah,2.5
2006,10,Utah,2.4
2006,11,Utah,2.1
2006,12,Utah,2.1
2007,1,Utah,2.7
2007,2,Utah,2.7
2007,3,Utah,2.5
2007,4,Utah,2.2
2007,5,Utah,2.3
2007,6,Utah,2.9
2007,7,Utah,2.8
2007,8,Utah,2.8
2007,9,Utah,2.5
2007,10,Utah,2.5
2007,11,Utah,2.3
2007,12,Utah,2.6
2008,1,Utah,3.3
2008,2,Utah,3.5
2008,3,Utah,3.4
2008,4,Utah,3
2008,5,Utah,3.1
2008,6,Utah,3.7
2008,7,Utah,3.7
2008,8,Utah,3.8
2008,9,Utah,3.4
2008,10,Utah,3.5
2008,11,Utah,3.6
2008,12,Utah,5.1
2009,1,Utah,6.6
2009,2,Utah,7.2
2009,3,Utah,7.3
2009,4,Utah,7
2009,5,Utah,7.2
2009,6,Utah,7.8
2009,7,Utah,7.7
2009,8,Utah,7.7
2009,9,Utah,7.3
2009,10,Utah,7.3
2009,11,Utah,7.2
2009,12,Utah,7.6
2010,1,Utah,8.4
2010,2,Utah,8.3
2010,3,Utah,8.4
2010,4,Utah,7.8
2010,5,Utah,7.8
2010,6,Utah,8.2
2010,7,Utah,8
2010,8,Utah,8
2010,9,Utah,7.4
2010,10,Utah,7.3
2010,11,Utah,7.1
2010,12,Utah,7.3
2011,1,Utah,7.9
2011,2,Utah,7.9
2011,3,Utah,7.5
2011,4,Utah,7
2011,5,Utah,6.8
2011,6,Utah,7
2011,7,Utah,6.8
2011,8,Utah,6.7
2011,9,Utah,6.1
2011,10,Utah,5.9
2011,11,Utah,5.6
2011,12,Utah,5.6
2012,1,Utah,6.2
2012,2,Utah,6.3
2012,3,Utah,6
2012,4,Utah,5.4
2012,5,Utah,5.3
2012,6,Utah,5.7
2012,7,Utah,5.5
2012,8,Utah,5.4
2012,9,Utah,4.8
2012,10,Utah,4.9
2012,11,Utah,4.6
2012,12,Utah,4.8
2013,1,Utah,5.5
2013,2,Utah,5.4
2013,3,Utah,5
2013,4,Utah,4.5
2013,5,Utah,4.5
2013,6,Utah,5
2013,7,Utah,4.8
2013,8,Utah,4.6
2013,9,Utah,4.1
2013,10,Utah,4.1
2013,11,Utah,3.8
2013,12,Utah,3.8
2014,1,Utah,4.4
2014,2,Utah,4.5
