year,month,states,unemployment_rate
1976,1,Vermont,10.2
1976,2,Vermont,9.8
1976,3,Vermont,9.5
1976,4,Vermont,9
1976,5,Vermont,8.3
1976,6,Vermont,8.5
1976,7,Vermont,7.5
1976,8,Vermont,7.5
1976,9,Vermont,7.7
1976,10,Vermont,7.1
1976,11,Vermont,7.9
1976,12,Vermont,7.3
1977,1,Vermont,9
1977,2,Vermont,8.8
1977,3,Vermont,8.3
1977,4,Vermont,7.7
1977,5,Vermont,6.9
1977,6,Vermont,6.7
1977,7,Vermont,6
1977,8,Vermont,6
1977,9,Vermont,6.4
1977,10,Vermont,5.9
1977,11,Vermont,6.5
1977,12,Vermont,6
1978,1,Vermont,7.3
1978,2,Vermont,6.9
1978,3,Vermont,6.4
1978,4,Vermont,6
1978,5,Vermont,5.3
1978,6,Vermont,5.4
1978,7,Vermont,5
1978,8,Vermont,5
1978,9,Vermont,5.1
1978,10,Vermont,4.7
1978,11,Vermont,5.4
1978,12,Vermont,5
1979,1,Vermont,6.5
1979,2,Vermont,6.1
1979,3,Vermont,5.7
1979,4,Vermont,5.6
1979,5,Vermont,4.8
1979,6,Vermont,4.7
1979,7,Vermont,4.6
1979,8,Vermont,4.8
1979,9,Vermont,4.8
1979,10,Vermont,4.4
1979,11,Vermont,5.2
1979,12,Vermont,4.8
1980,1,Vermont,6.4
1980,2,Vermont,6.4
1980,3,Vermont,6.3
1980,4,Vermont,6.3
1980,5,Vermont,6
1980,6,Vermont,6.3
1980,7,Vermont,6.5
1980,8,Vermont,6.4
1980,9,Vermont,6.3
1980,10,Vermont,5.8
1980,11,Vermont,6.3
1980,12,Vermont,5.5
1981,1,Vermont,6.8
1981,2,Vermont,6.6
1981,3,Vermont,6.4
1981,4,Vermont,6.1
1981,5,Vermont,5.6
1981,6,Vermont,5.6
1981,7,Vermont,5.3
1981,8,Vermont,5.3
1981,9,Vermont,5.4
1981,10,Vermont,5.1
1981,11,Vermont,5.9
1981,12,Vermont,5.6
1982,1,Vermont,7.4
1982,2,Vermont,7.5
1982,3,Vermont,7.5
1982,4,Vermont,8
1982,5,Vermont,6.9
1982,6,Vermont,6.7
1982,7,Vermont,6.7
1982,8,Vermont,6.6
1982,9,Vermont,6.5
1982,10,Vermont,6.2
1982,11,Vermont,7.1
1982,12,Vermont,6.7
1983,1,Vermont,8.4
1983,2,Vermont,8.3
1983,3,Vermont,7.8
1983,4,Vermont,7.4
1983,5,Vermont,6.8
1983,6,Vermont,6.3
1983,7,Vermont,5.7
1983,8,Vermont,5.5
1983,9,Vermont,5.3
1983,10,Vermont,4.9
1983,11,Vermont,5.5
1983,12,Vermont,5.2
1984,1,Vermont,6.7
1984,2,Vermont,6.5
1984,3,Vermont,6.4
1984,4,Vermont,5.9
1984,5,Vermont,5.2
1984,6,Vermont,4.9
1984,7,Vermont,4.3
1984,8,Vermont,4.1
1984,9,Vermont,4.3
1984,10,Vermont,3.9
1984,11,Vermont,4.5
1984,12,Vermont,4.4
1985,1,Vermont,5.9
1985,2,Vermont,5.9
1985,3,Vermont,5.7
1985,4,Vermont,5.4
1985,5,Vermont,4.6
1985,6,Vermont,4.7
1985,7,Vermont,4.3
1985,8,Vermont,4.2
1985,9,Vermont,4.3
1985,10,Vermont,3.9
1985,11,Vermont,4.5
1985,12,Vermont,4.1
1986,1,Vermont,5.5
1986,2,Vermont,5.3
1986,3,Vermont,5.2
1986,4,Vermont,4.9
1986,5,Vermont,4.1
1986,6,Vermont,4.2
1986,7,Vermont,3.7
1986,8,Vermont,3.6
1986,9,Vermont,3.9
1986,10,Vermont,3.5
1986,11,Vermont,4
1986,12,Vermont,3.6
1987,1,Vermont,4.9
1987,2,Vermont,4.6
1987,3,Vermont,4.5
1987,4,Vermont,4
1987,5,Vermont,3.5
1987,6,Vermont,3.5
1987,7,Vermont,3.1
1987,8,Vermont,3
1987,9,Vermont,3.2
1987,10,Vermont,2.8
1987,11,Vermont,3.1
1987,12,Vermont,2.7
1988,1,Vermont,3.9
1988,2,Vermont,3.8
1988,3,Vermont,3.6
1988,4,Vermont,3.2
1988,5,Vermont,2.7
1988,6,Vermont,2.8
1988,7,Vermont,2.5
1988,8,Vermont,2.5
1988,9,Vermont,2.8
1988,10,Vermont,2.5
1988,11,Vermont,2.9
1988,12,Vermont,2.7
1989,1,Vermont,4
1989,2,Vermont,3.8
1989,3,Vermont,3.9
1989,4,Vermont,3.8
1989,5,Vermont,3.2
1989,6,Vermont,3.4
1989,7,Vermont,3.1
1989,8,Vermont,3.3
1989,9,Vermont,3.4
1989,10,Vermont,3.2
1989,11,Vermont,3.7
1989,12,Vermont,3.7
1990,1,Vermont,5.2
1990,2,Vermont,5.3
1990,3,Vermont,5.4
1990,4,Vermont,5.3
1990,5,Vermont,4.8
1990,6,Vermont,4.7
1990,7,Vermont,4.5
1990,8,Vermont,4.4
1990,9,Vermont,4.6
1990,10,Vermont,4.4
1990,11,Vermont,5.7
1990,12,Vermont,5.8
1991,1,Vermont,7.4
1991,2,Vermont,7.6
1991,3,Vermont,7.7
1991,4,Vermont,8
1991,5,Vermont,7
1991,6,Vermont,6.9
1991,7,Vermont,6.3
1991,8,Vermont,5.5
1991,9,Vermont,5.5
1991,10,Vermont,5.1
1991,11,Vermont,5.9
1991,12,Vermont,6.1
1992,1,Vermont,7.5
1992,2,Vermont,7.3
1992,3,Vermont,7.3
1992,4,Vermont,7.1
1992,5,Vermont,6.4
1992,6,Vermont,6
1992,7,Vermont,5.6
1992,8,Vermont,5.3
1992,9,Vermont,5.3
1992,10,Vermont,4.9
1992,11,Vermont,5.4
1992,12,Vermont,5.2
1993,1,Vermont,6.4
1993,2,Vermont,6.2
1993,3,Vermont,6.1
1993,4,Vermont,5.9
1993,5,Vermont,5.1
1993,6,Vermont,5.1
1993,7,Vermont,4.7
1993,8,Vermont,4.5
1993,9,Vermont,4.5
1993,10,Vermont,4.2
1993,11,Vermont,4.7
1993,12,Vermont,4.6
1994,1,Vermont,5.8
1994,2,Vermont,5.5
1994,3,Vermont,5.4
1994,4,Vermont,5.3
1994,5,Vermont,4.6
1994,6,Vermont,4.5
1994,7,Vermont,4.2
1994,8,Vermont,4
1994,9,Vermont,4
1994,10,Vermont,3.6
1994,11,Vermont,4
1994,12,Vermont,3.9
1995,1,Vermont,5.1
1995,2,Vermont,5
1995,3,Vermont,4.9
1995,4,Vermont,4.6
1995,5,Vermont,4.2
1995,6,Vermont,4.2
1995,7,Vermont,4.1
1995,8,Vermont,3.9
1995,9,Vermont,3.9
1995,10,Vermont,3.6
1995,11,Vermont,4.2
1995,12,Vermont,3.9
1996,1,Vermont,5.2
1996,2,Vermont,5
1996,3,Vermont,5
1996,4,Vermont,4.8
1996,5,Vermont,4.2
1996,6,Vermont,4.3
1996,7,Vermont,4.1
1996,8,Vermont,3.9
1996,9,Vermont,3.9
1996,10,Vermont,3.5
1996,11,Vermont,4.1
1996,12,Vermont,3.8
1997,1,Vermont,4.9
1997,2,Vermont,4.7
1997,3,Vermont,4.7
1997,4,Vermont,4.5
1997,5,Vermont,3.8
1997,6,Vermont,3.9
1997,7,Vermont,3.6
1997,8,Vermont,3.4
1997,9,Vermont,3.4
1997,10,Vermont,3.1
1997,11,Vermont,3.5
1997,12,Vermont,3.4
1998,1,Vermont,4.4
1998,2,Vermont,4.1
1998,3,Vermont,4.1
1998,4,Vermont,3.7
1998,5,Vermont,3.2
1998,6,Vermont,3.4
1998,7,Vermont,3.2
1998,8,Vermont,3.1
1998,9,Vermont,3
1998,10,Vermont,2.7
1998,11,Vermont,3
1998,12,Vermont,2.8
1999,1,Vermont,3.9
1999,2,Vermont,3.7
1999,3,Vermont,3.6
1999,4,Vermont,3.1
1999,5,Vermont,2.7
1999,6,Vermont,3
1999,7,Vermont,2.9
1999,8,Vermont,2.6
1999,9,Vermont,2.6
1999,10,Vermont,2.3
1999,11,Vermont,2.6
1999,12,Vermont,2.4
2000,1,Vermont,3.4
2000,2,Vermont,3.2
2000,3,Vermont,3.1
2000,4,Vermont,3
2000,5,Vermont,2.5
2000,6,Vermont,2.8
2000,7,Vermont,2.7
2000,8,Vermont,2.6
2000,9,Vermont,2.7
2000,10,Vermont,2.3
2000,11,Vermont,2.8
2000,12,Vermont,2.6
2001,1,Vermont,3.7
2001,2,Vermont,3.6
2001,3,Vermont,3.7
2001,4,Vermont,3.6
2001,5,Vermont,3
2001,6,Vermont,3.3
2001,7,Vermont,3.2
2001,8,Vermont,3.1
2001,9,Vermont,3.1
2001,10,Vermont,2.8
2001,11,Vermont,3.5
2001,12,Vermont,3.4
2002,1,Vermont,4.4
2002,2,Vermont,4.4
2002,3,Vermont,4.5
2002,4,Vermont,4.2
2002,5,Vermont,3.6
2002,6,Vermont,3.9
2002,7,Vermont,3.8
2002,8,Vermont,3.8
2002,9,Vermont,3.8
2002,10,Vermont,3.4
2002,11,Vermont,4.1
2002,12,Vermont,4
2003,1,Vermont,5.1
2003,2,Vermont,5
2003,3,Vermont,5
2003,4,Vermont,4.8
2003,5,Vermont,4
2003,6,Vermont,4.2
2003,7,Vermont,4.1
2003,8,Vermont,3.8
2003,9,Vermont,4.1
2003,10,Vermont,3.4
2003,11,Vermont,3.9
2003,12,Vermont,3.8
2004,1,Vermont,4.8
2004,2,Vermont,4.5
2004,3,Vermont,4.5
2004,4,Vermont,4.1
2004,5,Vermont,3.4
2004,6,Vermont,3.6
2004,7,Vermont,3.4
2004,8,Vermont,3.2
2004,9,Vermont,3.2
2004,10,Vermont,2.8
2004,11,Vermont,3.3
2004,12,Vermont,3.3
