year,month,states,unemployment_rate
1976,1,Wisconsin,6.6
1976,2,Wisconsin,7.6
1976,3,Wisconsin,6.6
1976,4,Wisconsin,5.6
1976,5,Wisconsin,4.8
1976,6,Wisconsin,5.8
1976,7,Wisconsin,5.6
1976,8,Wisconsin,5.1
1976,9,Wisconsin,4.5
1976,10,Wisconsin,4.3
1976,11,Wisconsin,5.1
1976,12,Wisconsin,4.9
1977,1,Wisconsin,6
1977,2,Wisconsin,6.6
1977,3,Wisconsin,6.8
1977,4,Wisconsin,5.1
1977,5,Wisconsin,4.5
1977,6,Wisconsin,5.6
1977,7,Wisconsin,4.9
1977,8,Wisconsin,4.7
1977,9,Wisconsin,4.4
1977,10,Wisconsin,4
1977,11,Wisconsin,4.3
1977,12,Wisconsin,4.3
1978,1,Wisconsin,5.8
1978,2,Wisconsin,6.1
1978,3,Wisconsin,5.8
1978,4,Wisconsin,5
1978,5,Wisconsin,4.5
1978,6,Wisconsin,5.3
1978,7,Wisconsin,5.1
1978,8,Wisconsin,4.8
1978,9,Wisconsin,4.3
1978,10,Wisconsin,4.1
1978,11,Wisconsin,4.4
1978,12,Wisconsin,5
1979,1,Wisconsin,5.4
1979,2,Wisconsin,5.5
1979,3,Wisconsin,5.4
1979,4,Wisconsin,4.9
1979,5,Wisconsin,4.2
1979,6,Wisconsin,4.9
1979,7,Wisconsin,4.5
1979,8,Wisconsin,4.1
1979,9,Wisconsin,3.8
1979,10,Wisconsin,3.7
1979,11,Wisconsin,4.2
1979,12,Wisconsin,4.2
1980,1,Wisconsin,6
1980,2,Wisconsin,6.5
1980,3,Wisconsin,6.7
1980,4,Wisconsin,7
1980,5,Wisconsin,7.1
1980,6,Wisconsin,7.5
1980,7,Wisconsin,7.1
1980,8,Wisconsin,8
1980,9,Wisconsin,7.6
1980,10,Wisconsin,7.7
1980,11,Wisconsin,7.6
1980,12,Wisconsin,7.7
1981,1,Wisconsin,8.8
1981,2,Wisconsin,9.2
1981,3,Wisconsin,9.3
1981,4,Wisconsin,7.7
1981,5,Wisconsin,7.5
1981,6,Wisconsin,8.2
1981,7,Wisconsin,7.4
1981,8,Wisconsin,7.2
1981,9,Wisconsin,6.9
1981,10,Wisconsin,7.6
1981,11,Wisconsin,7.9
1981,12,Wisconsin,8.4
1982,1,Wisconsin,9.7
1982,2,Wisconsin,10.4
1982,3,Wisconsin,10.8
1982,4,Wisconsin,10.8
1982,5,Wisconsin,10.2
1982,6,Wisconsin,10.7
1982,7,Wisconsin,10.4
1982,8,Wisconsin,10.4
1982,9,Wisconsin,10.1
1982,10,Wisconsin,10.2
1982,11,Wisconsin,10.8
1982,12,Wisconsin,11.7
1983,1,Wisconsin,13
1983,2,Wisconsin,13.2
1983,3,Wisconsin,12.8
1983,4,Wisconsin,11.2
1983,5,Wisconsin,10.2
1983,6,Wisconsin,10.5
1983,7,Wisconsin,9.5
1983,8,Wisconsin,9.4
1983,9,Wisconsin,8.5
1983,10,Wisconsin,8.2
1983,11,Wisconsin,8.2
1983,12,Wisconsin,8.3
1984,1,Wisconsin,9
1984,2,Wisconsin,9.2
1984,3,Wisconsin,8.8
1984,4,Wisconsin,8
1984,5,Wisconsin,7.4
1984,6,Wisconsin,7.5
1984,7,Wisconsin,7
1984,8,Wisconsin,6.5
1984,9,Wisconsin,6.2
1984,10,Wisconsin,6.2
1984,11,Wisconsin,6.2
1984,12,Wisconsin,6.5
1985,1,Wisconsin,8
1985,2,Wisconsin,8.5
1985,3,Wisconsin,8.4
1985,4,Wisconsin,7.6
1985,5,Wisconsin,6.9
1985,6,Wisconsin,7.3
1985,7,Wisconsin,6.8
1985,8,Wisconsin,6.5
1985,9,Wisconsin,6.4
1985,10,Wisconsin,6.4
1985,11,Wisconsin,6.7
1985,12,Wisconsin,6.8
1986,1,Wisconsin,7.7
1986,2,Wisconsin,8.7
1986,3,Wisconsin,8.3
1986,4,Wisconsin,7.5
1986,5,Wisconsin,7
1986,6,Wisconsin,7.3
1986,7,Wisconsin,6.5
1986,8,Wisconsin,6.3
1986,9,Wisconsin,6.2
1986,10,Wisconsin,6
1986,11,Wisconsin,6.2
1986,12,Wisconsin,6.1
1987,1,Wisconsin,7.3
1987,2,Wisconsin,7.9
1987,3,Wisconsin,7.4
1987,4,Wisconsin,6.2
1987,5,Wisconsin,5.8
1987,6,Wisconsin,6.1
1987,7,Wisconsin,5.3
1987,8,Wisconsin,5.3
1987,9,Wisconsin,4.9
1987,10,Wisconsin,4.8
1987,11,Wisconsin,5
1987,12,Wisconsin,4.9
1988,1,Wisconsin,5.8
1988,2,Wisconsin,6
1988,3,Wisconsin,5.7
1988,4,Wisconsin,4.6
1988,5,Wisconsin,4.3
1988,6,Wisconsin,4.5
1988,7,Wisconsin,4
1988,8,Wisconsin,3.8
1988,9,Wisconsin,3.5
1988,10,Wisconsin,3.3
1988,11,Wisconsin,3.7
1988,12,Wisconsin,3.8
1989,1,Wisconsin,5.1
1989,2,Wisconsin,5.3
1989,3,Wisconsin,5.1
1989,4,Wisconsin,4.6
1989,5,Wisconsin,4.3
1989,6,Wisconsin,4.7
1989,7,Wisconsin,4.2
1989,8,Wisconsin,3.9
1989,9,Wisconsin,3.7
1989,10,Wisconsin,3.6
1989,11,Wisconsin,3.9
1989,12,Wisconsin,3.8
1990,1,Wisconsin,5.1
1990,2,Wisconsin,5.2
1990,3,Wisconsin,5.1
1990,4,Wisconsin,4.3
1990,5,Wisconsin,3.8
1990,6,Wisconsin,4.2
1990,7,Wisconsin,4.1
1990,8,Wisconsin,4
