year,month,states,unemployment_rate
1976,1,Wyoming,5.7
1976,2,Wyoming,5
1976,3,Wyoming,4.9
1976,4,Wyoming,4.2
1976,5,Wyoming,3.7
1976,6,Wyoming,3.9
1976,7,Wyoming,3.3
1976,8,Wyoming,3.2
1976,9,Wyoming,3.2
1976,10,Wyoming,3.2
1976,11,Wyoming,3.6
1976,12,Wyoming,4
1977,1,Wyoming,5.3
1977,2,Wyoming,4.7
1977,3,Wyoming,4.2
1977,4,Wyoming,3.7
1977,5,Wyoming,3.2
1977,6,Wyoming,3.3
1977,7,Wyoming,2.7
1977,8,Wyoming,2.5
1977,9,Wyoming,2.5
1977,10,Wyoming,2.7
1977,11,Wyoming,3
1977,12,Wyoming,3.2
1978,1,Wyoming,4.1
1978,2,Wyoming,3.8
1978,3,Wyoming,3.5
1978,4,Wyoming,2.8
1978,5,Wyoming,2.7
1978,6,Wyoming,3
1978,7,Wyoming,2.6
1978,8,Wyoming,2.5
1978,9,Wyoming,2.6
1978,10,Wyoming,2.6
1978,11,Wyoming,2.9
1978,12,Wyoming,3.1
1979,1,Wyoming,3.8
1979,2,Wyoming,3.2
1979,3,Wyoming,3.2
1979,4,Wyoming,2.7
1979,5,Wyoming,2.2
1979,6,Wyoming,2.6
1979,7,Wyoming,2.2
1979,8,Wyoming,2.2
1979,9,Wyoming,2.3
1979,10,Wyoming,2.4
1979,11,Wyoming,2.7
1979,12,Wyoming,3.3
1980,1,Wyoming,4.4
1980,2,Wyoming,4.3
1980,3,Wyoming,4.3
1980,4,Wyoming,3.6
1980,5,Wyoming,3.5
1980,6,Wyoming,3.7
1980,7,Wyoming,3.5
1980,8,Wyoming,3.4
1980,9,Wyoming,3.3
1980,10,Wyoming,3.7
1980,11,Wyoming,4.1
1980,12,Wyoming,4.3
1981,1,Wyoming,5.4
1981,2,Wyoming,5
1981,3,Wyoming,5.2
1981,4,Wyoming,4.5
1981,5,Wyoming,3.9
1981,6,Wyoming,4
1981,7,Wyoming,3.4
1981,8,Wyoming,3.3
1981,9,Wyoming,3.1
1981,10,Wyoming,3.2
1981,11,Wyoming,3.8
1981,12,Wyoming,3.9
1982,1,Wyoming,5.3
1982,2,Wyoming,5.1
1982,3,Wyoming,5.3
1982,4,Wyoming,5.7
1982,5,Wyoming,5.6
1982,6,Wyoming,5.7
1982,7,Wyoming,6.1
1982,8,Wyoming,6.3
1982,9,Wyoming,6.1
1982,10,Wyoming,7
1982,11,Wyoming,7.7
1982,12,Wyoming,8.5
1983,1,Wyoming,10.1
1983,2,Wyoming,10
1983,3,Wyoming,10.5
1983,4,Wyoming,10.6
1983,5,Wyoming,9
1983,6,Wyoming,8.4
1983,7,Wyoming,7.3
1983,8,Wyoming,6.6
1983,9,Wyoming,6.2
1983,10,Wyoming,5.9
1983,11,Wyoming,6.3
1983,12,Wyoming,6.7
1984,1,Wyoming,7.8
1984,2,Wyoming,7.2
1984,3,Wyoming,7.4
1984,4,Wyoming,6.9
1984,5,Wyoming,6.4
1984,6,Wyoming,5.8
1984,7,Wyoming,5.3
1984,8,Wyoming,5.2
1984,9,Wyoming,5.2
1984,10,Wyoming,5.5
1984,11,Wyoming,6
1984,12,Wyoming,6.4
1985,1,Wyoming,7.4
1985,2,Wyoming,7.6
1985,3,Wyoming,7.5
1985,4,Wyoming,7.1
1985,5,Wyoming,6.7
1985,6,Wyoming,6.7
1985,7,Wyoming,6.2
1985,8,Wyoming,6.1
1985,9,Wyoming,6.1
1985,10,Wyoming,6.3
1985,11,Wyoming,7.1
1985,12,Wyoming,7.5
1986,1,Wyoming,9.3
1986,2,Wyoming,9.3
1986,3,Wyoming,9.5
