year,month,unemployment_rate
1976,1,8.8
1976,2,8.7
1976,3,8.1
1976,4,7.4
1976,5,6.8
1976,6,8
1976,7,7.8
1976,8,7.6
1976,9,7.4
1976,10,7.2
1976,11,7.4
1976,12,7.4
1977,1,8.3
1977,2,8.5
1977,3,7.9
1977,4,6.9
1977,5,6.4
1977,6,7.5
1977,7,7
1977,8,6.8
1977,9,6.6
1977,10,6.4
1977,11,6.5
1977,12,6
1978,1,7.1
1978,2,6.9
1978,3,6.6
1978,4,5.8
1978,5,5.5
1978,6,6.2
1978,7,6.3
1978,8,5.9
1978,9,5.8
1978,10,5.4
1978,11,5.6
1978,12,5.7
1979,1,6.4
1979,2,6.4
1979,3,6.1
1979,4,5.5
1979,5,5.2
1979,6,6
1979,7,5.9
1979,8,5.9
1979,9,5.7
1979,10,5.6
1979,11,5.6
1979,12,5.7
1980,1,6.9
1980,2,6.8
1980,3,6.6
1980,4,6.7
1980,5,7.1
1980,6,7.8
1980,7,7.9
1980,8,7.6
1980,9,7.2
1980,10,7.1
1980,11,7.1
1980,12,6.9
1981,1,8.2
1981,2,8
1981,3,7.7
1981,4,7
1981,5,7.1
1981,6,7.7
1981,7,7.3
1981,8,7.2
1981,9,7.3
1981,10,7.5
1981,11,7.9
1981,12,8.3
1982,1,9.4
1982,2,9.6
1982,3,9.5
1982,4,9.2
1982,5,9.1
1982,6,9.8
1982,7,9.8
1982,8,9.6
1982,9,9.7
1982,10,9.9
1982,11,10.4
1982,12,10.5
1983,1,11.4
1983,2,11.3
1983,3,10.8
1983,4,10
1983,5,9.8
1983,6,10.2
1983,7,9.4
1983,8,9.2
1983,9,8.8
1983,10,8.4
1983,11,8.1
1983,12,8
1984,1,8.8
1984,2,8.4
1984,3,8.1
1984,4,7.6
1984,5,7.2
1984,6,7.4
1984,7,7.5
1984,8,7.3
1984,9,7.1
1984,10,7
1984,11,6.9
1984,12,7
1985,1,8
1985,2,7.8
1985,3,7.5
1985,4,7.1
1985,5,7
1985,6,7.5
1985,7,7.4
1985,8,6.9
1985,9,6.9
1985,10,6.8
1985,11,6.7
1985,12,6.7
1986,1,7.3
1986,2,7.8
1986,3,7.5
1986,4,7
1986,5,7
1986,6,7.3
1986,7,7
1986,8,6.7
1986,9,6.8
1986,10,6.6
1986,11,6.6
1986,12,6.3
1987,1,7.3
1987,2,7.2
1987,3,6.9
1987,4,6.2
1987,5,6.1
1987,6,6.3
1987,7,6.1
1987,8,5.8
1987,9,5.7
1987,10,5.7
1987,11,5.6
1987,12,5.4
1988,1,6.3
1988,2,6.2
1988,3,5.9
1988,4,5.3
1988,5,5.4
1988,6,5.5
1988,7,5.5
1988,8,5.4
1988,9,5.2
1988,10,5
1988,11,5.2
1988,12,5
1989,1,6
1989,2,5.6
1989,3,5.2
1989,4,5.1
1989,5,5
1989,6,5.5
1989,7,5.3
1989,8,5.1
1989,9,5.1
1989,10,5
1989,11,5.2
1989,12,5.1
1990,1,6
1990,2,5.9
1990,3,5.5
1990,4,5.3
1990,5,5.2
1990,6,5.4
1990,7,5.6
1990,8,5.5
1990,9,5.6
1990,10,5.5
1990,11,5.9
1990,12,6
1991,1,7.1
1991,2,7.3
1991,3,7.2
1991,4,6.5
1991,5,6.7
1991,6,7
1991,7,6.8
1991,8,6.6
1991,9,6.5
1991,10,6.5
1991,11,6.7
1991,12,6.9
1992,1,8.1
1992,2,8.2
1992,3,7.8
1992,4,7.2
1992,5,7.3
1992,6,8
1992,7,7.7
1992,8,7.4
1992,9,7.3
1992,10,6.9
1992,11,7.1
1992,12,7.1
1993,1,8
1993,2,7.8
1993,3,7.4
1993,4,6.9
1993,5,6.8
1993,6,7.2
1993,7,7
1993,8,6.6
1993,9,6.4
1993,10,6.4
1993,11,6.2
1993,12,6.1
1994,1,7.3
1994,2,7.1
1994,3,6.8
