year,month,states,unemployment_rate
1976,1,Alabama,7.9
1976,1,Alaska,9.3
1976,4,Arizona,9.2
1976,4,Arkansas,7
1976,4,California,8.8
1976,4,Colorado,5.2
1976,4,Connecticut,9.3
1976,4,Delaware,7.9
1976,4,District of Columbia,8.2
1976,4,Florida,8.5
1976,4,Georgia,7.6
1976,4,Hawaii,9.7
1976,4,Idaho,6
1976,4,Illinois,6.2
1976,4,Indiana,6.1
1976,4,Iowa,4.1
1976,4,Kansas,4.2
1976,4,Kentucky,4.9
1976,4,Louisiana,5.7
1976,4,Maine,9
1976,4,Maryland,6.1
1976,4,Massachusetts,9.9
1976,4,Michigan,9.8
1976,4,Minnesota,5.9
1976,4,Mississippi,5.4
1976,4,Missouri,5.6
1976,4,Montana,6
1976,4,Nebraska,2.8
1976,4,Nevada,8.5
1976,4, New Hampshire,6.8
1976,4,New Jersey,10
1976,4,New Mexico,8.3
1976,4,New York,9.8
1976,4,North Carolina,5.7
1976,4,North Dakota,3.5
1976,4,Ohio,7.9
1976,4,Oklahoma,5.4
1976,4,Oregon,9.7
1976,4,Pennsylvania,7.9
1976,4,Rhode Island,7.8
1976,4,South Carolina,6.4
1976,4,South Dakota,3
1976,4,Tennessee,5.5
1976,4,Texas,5.2
1976,4,Utah,5.5
1976,4,Vermont,9
1976,4,Virginia,5.4
1976,4,Washington,8.5
1976,4,West Virginia,8.1
1976,4,Wisconsin,5.6
1976,4,Wyoming,4.2
1976,4,Puerto Rico,17.4
1976,2,Alabama,7.7
1976,2,Alaska,9.4
1976,8,Arizona,9.9
1976,8,Arkansas,6.8
1976,8,California,9
1976,8,Colorado,5.4
1976,8,Connecticut,9.3
1976,8,Delaware,9.4
1976,8,District of Columbia,8.7
1976,8,Florida,9
1976,8,Georgia,8.2
1976,8,Hawaii,9.2
1976,8,Idaho,4.9
1976,8,Illinois,6.9
1976,8,Indiana,5.9
1976,8,Iowa,3.5
1976,8,Kansas,4.3
1976,8,Kentucky,5.2
1976,8,Louisiana,7.6
1976,8,Maine,7.4
1976,8,Maryland,6.5
1976,8,Massachusetts,9
1976,8,Michigan,9
1976,8,Minnesota,5.4
1976,8,Mississippi,6.7
1976,8,Missouri,6.6
1976,8,Montana,5.2
1976,8,Nebraska,2.8
1976,8,Nevada,8.3
1976,8, New Hampshire,6.1
1976,8,New Jersey,10.3
1976,8,New Mexico,8.8
1976,8,New York,10.2
1976,8,North Carolina,5.9
1976,8,North Dakota,3.4
1976,8,Ohio,7.4
1976,8,Oklahoma,5.3
1976,8,Oregon,8.6
1976,8,Pennsylvania,7.4
1976,8,Rhode Island,7.5
1976,8,South Carolina,7.5
1976,8,South Dakota,2.8
1976,8,Tennessee,6.1
1976,8,Texas,6
1976,8,Utah,5.7
1976,8,Vermont,7.5
1976,8,Virginia,5.9
1976,8,Washington,8.6
1976,8,West Virginia,6.5
1976,8,Wisconsin,5.1
1976,8,Wyoming,3.2
1976,8,Puerto Rico,20.4
1976,3,Alabama,6.1
1976,3,Alaska,8.9
1976,12,Arizona,8.8
1976,12,Arkansas,6.4
1976,12,California,9.1
1976,12,Colorado,6.1
1976,12,Connecticut,7.8
1976,12,Delaware,9
1976,12,District of Columbia,9
1976,12,Florida,8.7
1976,12,Georgia,7.9
1976,12,Hawaii,7.6
1976,12,Idaho,5.6
1976,12,Illinois,6.4
1976,12,Indiana,5.3
1976,12,Iowa,4.1
1976,12,Kansas,4
1976,12,Kentucky,4.5
1976,12,Louisiana,6.4
1976,12,Maine,8.8
1976,12,Maryland,6.5
1976,12,Massachusetts,8.2
1976,12,Michigan,8.4
1976,12,Minnesota,5.8
1976,12,Mississippi,6.2
1976,12,Missouri,6.7
1976,12,Montana,6.2
1976,12,Nebraska,3.1
1976,12,Nevada,8.5
1976,12, New Hampshire,5.7
1976,12,New Jersey,10.2
1976,12,New Mexico,8.1
1976,12,New York,10
1976,12,North Carolina,6.1
1976,12,North Dakota,4.3
1976,12,Ohio,7.3
1976,12,Oklahoma,5.3
1976,12,Oregon,8.7
1976,12,Pennsylvania,7.7
1976,12,Rhode Island,8.3
1976,12,South Carolina,6.8
1976,12,South Dakota,3.4
1976,12,Tennessee,6
1976,12,Texas,5.2
1976,12,Utah,4.8
1976,12,Vermont,7.3
1976,12,Virginia,5.5
1976,12,Washington,8.9
1976,12,West Virginia,6.3
1976,12,Wisconsin,4.9
1976,12,Wyoming,4
1976,12,Puerto Rico,19.1
1976,4,Alabama,5.7
1976,4,Alaska,7.5
1976,2,Arizona,10.9
1976,2,Arkansas,8.5
1976,2,California,10
1976,2,Colorado,6.3
1976,2,Connecticut,10.6
1976,2,Delaware,8.2
1976,2,District of Columbia,9.5
