Word,Total,monthValue
british,3101,-3071
medicare,3005,-2995
european,2698,-2678
world war ii,2686,-2664
jewish,2582,-2566
chinese,2541,-2503
english,2528,-2494
israeli,2528,-2510
islamic,2179,-2141
iranian,2063,-2037
french,2041,-2009
western,1984,-1960
african american,1933,-1915
internet,1931,-1899
afghan,1857,-1851
african americans,1766,-1750
muslim,1671,-1659
cold war,1654,-1644
palestinian,1637,-1633
iraqis,1623,-1479
palestinians,1619,-1607
german,1409,-1397
medicaid,1373,-1361
israelis,1340,-1328
union,1297,-1199
christian,1277,-1251
constitution,1259,-1241
arab,1228,-1212
mexican,1195,-1183
christians,1193,-1183
civil war,1131,-1125
asian,1128,-1118
soviet,1109,-1099
japanese,1102,-1088
african,1059,-1053
spanish,1048,-1040
catholic,1031,-997
african-american,988,-984
canadian,986,-978
pakistani,983,-983
indian,972,-956
russians,893,-869
iranians,863,-831
west,842,-840
latino,716,-696
afghans,710,-700
europeans,682,-670
world war,660,-650
bible,656,-646
islamist,645,-629
new yorker,636,-612
reagan,627,-615
middle eastern,619,-607
democratic national convention,610,-546
greek,609,-581
american dream,607,-589
jews,595,-577
nobel peace prize,583,-567
saudi,579,-569
irish,575,-565
italian,571,-563
cuban,544,-540
olympics,534,-494
hispanic,527,-495
us senate,527,-511
israeli-palestinian,518,-506
republican national convention,515,-479
hill,513,-505
obamacare,512,-498
germans,498,-462
republic,498,-492
federal,496,-488
vietnamese,490,-436
indians,484,-458
army,469,-455
qaeda,469,-455
libyan,461,-399
anti-american,459,-453
koch,449,-429
southern,437,-433
nazi,436,-416
clintons,416,-396
soviets,413,-385
capitol,403,-377
administration,400,-374
american prospect,400,-380
pakistanis,397,-371
mexicans,391,-381
olympic,389,-331
nobel prize,369,-359
vietnam war,366,-336
guardian,364,-344
holocaust,363,-319
beltway,359,-329
navy,356,-310
super bowl,356,-314
saudis,355,-289
asians,354,-336
swiss,353,-307
australian,350,-344
turkish,346,-308
state,345,-297
us constitution,344,-318
democratic convention,341,-265
californians,336,-278
islamists,333,-309
new yorkers,331,-307
kenyan,330,-282
catholics,330,-310
gulf war,318,-278
egyptians,317,-289
gulf,314,-284
dutch,313,-299
christmas,313,-271
fed,310,-252
south,308,-240
islam,307,-265
chicago-based,305,-287
great depression,304,-278
super tuesday,302,-266
election day,299,-249
ukrainian,296,-280
kurdish,292,-272
nazis,290,-202
facebook,287,-281
dems,286,-252
syrians,284,-242
canadians,279,-261
bush-era,274,-260
latin american,273,-227
second world war,271,-223
orwellian,263,-227
amendment,262,-240
arabs,259,-205
africans,258,-226
democracy,254,-214
congressional,253,-205
sunni,250,-152
party,250,-204
republican-controlled,248,-206
black,248,-206
south african,246,-226
lebanese,243,-209
american revolution,243,-203
nation,241,-221
gop,240,-172
nigerian,236,-196
ivy league,235,-189
brazilian,235,-207
north korean,233,-189
mormon,231,-183
cia,224,-182
lord,223,-169
gallup,222,-202
atlantic,222,-170
people,220,-196
korean war,218,-182
communist,217,-163
cubans,213,-157
colombian,208,-162
american progress,205,-177
pro-israel,205,-145
polish,204,-150
american jewish,203,-169
watergate,201,-159
labor day,201,-157
yemeni,199,-119
great recession,199,-187
war,198,-148
nixon,198,-154
senator,197,-125
