Word,Total,monthValue
barack obama,13789,-13707
george w bush,6508,-6410
john mccain,6367,-6325
mitt romney,5224,-5216
hillary clinton,4836,-4742
bill clinton,4071,-4025
sarah palin,3880,-3878
ronald reagan,3069,-3053
george bush,2435,-2355
christian,2377,-2347
martin luther king,2150,-2136
newt gingrich,2115,-2103
john kerry,2051,-2005
dick cheney,2043,-1977
reagan,1906,-1900
karl rove,1693,-1669
joe biden,1639,-1609
jesus,1635,-1609
kennedy,1621,-1579
paul ryan,1614,-1582
rush limbaugh,1579,-1549
john boehner,1563,-1543
harry reid,1513,-1475
nancy pelosi,1512,-1438
saddam hussein,1460,-1386
al gore,1361,-1305
richard nixon,1353,-1333
king,1347,-1339
ron paul,1202,-1182
jimmy carter,1163,-1149
rick perry,1163,-1141
glenn beck,1121,-1097
john edwards,1119,-1045
paul,1056,-1054
mitch mcconnell,1022,-1008
nixon,1013,-991
biden,999,-957
john f kennedy,986,-970
rick santorum,974,-942
abraham lincoln,957,-949
osama bin laden,957,-943
johnson,936,-934
lyndon johnson,926,-908
thomas jefferson,901,-885
day,869,-863
chris weigant,868,-868
don,862,-850
michele bachmann,842,-796
joe lieberman,827,-759
kerry,782,-756
rand paul,778,-634
president bush,771,-719
paul krugman,761,-743
eric holder,743,-743
ted kennedy,741,-673
mike huckabee,739,-723
colin powell,736,-724
carter,735,-697
perry,727,-679
bill,720,-708
boehner,709,-705
elizabeth warren,702,-696
rudy giuliani,693,-669
michelle obama,680,-650
george washington,663,-653
reid,662,-600
donald rumsfeld,654,-608
jim crow,647,-625
chris christie,643,-635
rahm emanuel,630,-592
franklin roosevelt,627,-623
vladimir putin,619,-571
george hw bush,617,-617
john,616,-582
robert gates,613,-579
george,611,-593
don ',609,-589
gore,599,-537
election day,591,-571
roosevelt,577,-577
sean hannity,573,-529
jefferson,564,-544
arnold schwarzenegger,563,-555
barack,560,-534
medicare,557,-545
bill o'reilly,555,-543
black,552,-534
jon stewart,550,-538
marco rubio,547,-515
david petraeus,543,-529
sarah,535,-521
howard dean,528,-488
eric cantor,526,-520
senator obama,525,-487
jerry brown,522,-500
fox,519,-499
david,515,-491
pelosi,514,-456
condoleezza rice,512,-448
jesus christ,510,-478
limbaugh,508,-482
netanyahu,507,-477
assad,499,-477
joe,496,-466
truman,489,-483
earl ofari hutchinson,483,-479
harry truman,482,-466
chuck hagel,478,-396
scott brown,471,-233
bloomberg,470,-448
michael bloomberg,470,-450
herman cain,464,-434
dennis kucinich,462,-414
donald trump,456,-412
gates,456,-392
ted cruz,455,-447
scott walker,455,-417
david brooks,452,-442
lindsey graham,450,-410
beck,449,-419
rove,448,-398
lieberman,448,-412
edward snowden,443,-443
grover norquist,438,-428
jesse jackson,438,-408
chris matthews,436,-386
warren,436,-304
putin,436,-392
wilson,432,-408
smith,429,-403
larry summers,428,-358
davis,425,-411
rachel maddow,422,-422
glenn greenwald,413,-359
hope,411,-371
ben bernanke,408,-380
teddy roosevelt,404,-390
bachmann,404,-356
chris dodd,401,-359
bernie sanders,400,-380
james madison,398,-368
saddam,397,-333
jeremiah wright,394,-364
lincoln,392,-352
bin laden,391,-349
fox news,390,-376
christie,390,-352
ann coulter,389,-311
arianna huffington,388,-360
giuliani,387,-345
dianne feinstein,386,-344
leon panetta,383,-315
benjamin netanyahu,381,-363
martin,380,-340
huckabee,380,-338
wade,377,-337
ayn rand,374,-366
barney frank,373,-329
alan greenspan,370,-328
holder,369,-347
max baucus,365,-331
hamid karzai,365,-323
ford,363,-337
robert reich,362,-338
rice,361,-279
franklin d roosevelt,360,-346
barry goldwater,359,-317
mcconnell,357,-323
newt,357,-327
john roberts,355,-311
dwight eisenhower,353,-319
petraeus,352,-306
bill maher,349,-319
medicaid,349,-325
pat robertson,348,-290
rupert murdoch,341,-289
john adams,339,-313
bill richardson,336,-300
steve clemons,336,-296
muslim,335,-259
mahmoud ahmadinejad,334,-296
graham,333,-261
clarence thomas,332,-290
thomas,332,-300
barbara boxer,330,-280
jews,329,-307
walker,329,-189
wright,329,-287
john kennedy,328,-290
al franken,327,-305
jan brewer,327,-181
senator mccain,326,-274
michael moore,325,-287
arlen specter,324,-274
gerald ford,318,-252
mother jones,318,-274
roberts,317,-269
henry kissinger,316,-254
hitler,311,-283
tony blair,310,-270
fred thompson,310,-290
miller,306,-260
keith olbermann,306,-276
jackson,305,-297
white,305,-255
andrew cuomo,304,-272
michael steele,304,-290
dean,303,-275
ralph nader,303,-265
hillary rodham clinton,303,-279
woodrow wilson,303,-287
robert kuttner,303,-283
antonin scalia,301,-279
nelson mandela,301,-281
richard,300,-260
rick warren,299,-227
jones,298,-250
alberto gonzales,297,-275
david axelrod,296,-274
jim wallis,295,-269
warren buffett,295,-241
jeb bush,294,-248
greg mitchell,293,-219
chuck schumer,292,-238
theodore roosevelt,291,-287
act,290,-272
al sharpton,290,-232
meg whitman,290,-230
west,289,-223
robert creamer,289,-287
rush,288,-230
nate silver,287,-275
stephen colbert,286,-256
jim demint,286,-244
robert kennedy,285,-231
scalia,284,-248
katie couric,284,-232
bob dole,283,-255
powell,280,-236
pat buchanan,279,-221
bashar al-assad,278,-200
osama,277,-217
george will,276,-234
rubio,276,-252
timothy geithner,276,-246
russ feingold,275,-201
geithner,275,-233
tom delay,274,-256
bill moyers,272,-234
katrina,271,-221
sonia sotomayor,271,-163
robert koehler,270,-252
dodd,270,-240
winston churchill,270,-248
carl levin,269,-215
jerry falwell,269,-205
summers,269,-231
bobby jindal,269,-147
robert rubin,267,-255
bill gates,266,-232
tim pawlenty,266,-244
schwarzenegger,265,-235
herbert hoover,265,-239
jon huntsman,265,-235
john conyers,264,-206
sherrod brown,262,-220
hugo chavez,262,-224
hussein,260,-180
susan rice,260,-234
bradley manning,260,-244
hosni mubarak,259,-223
george h w bush,258,-224
trayvon martin,257,-167
stanley mcchrystal,256,-246
sharron angle,256,-198
gay,254,-204
franklin delano roosevelt,253,-221
latinos,253,-225
hagel,252,-210
david cameron,252,-192
dick durbin,251,-181
michelle,251,-195
war,250,-204
patrick leahy,249,-205
new deal,249,-205
hill,248,-202
angela merkel,247,-185
moses,247,-209
olympia snowe,245,-227
thompson,245,-205
cain,245,-229
frank,244,-186
jim webb,243,-179
james,243,-195
scott,242,-194
fidel castro,242,-208
social security,241,-203
lee,241,-225
joseph stiglitz,241,-201
eliot spitzer,240,-164
christine o'donnell,240,-78
janet napolitano,237,-201
tim russert,236,-190
paul wolfowitz,236,-180
joe wilson,236,-200
robert gibbs,236,-164
ezra klein,236,-200
james dobson,234,-192
karzai,233,-189
sheldon adelson,233,-191
alexander hamilton,232,-170
robert f kennedy,232,-154
cruz,231,-219
george mcgovern,230,-208
roe,230,-180
susan collins,229,-143
ben nelson,229,-203
rudy,228,-198
henry waxman,227,-171
charlie crist,227,-173
hannity,226,-184
anthony weiner,226,-186
shia,225,-141
tom coburn,225,-179
mahmoud abbas,224,-160
krugman,223,-199
maureen dowd,223,-193
hussein obama,223,-171
bill kristol,223,-159
elena kagan,223,-205
benjamin franklin,222,-210
scooter libby,221,-177
ahmadinejad,221,-113
chancellor,220,-200
eisenhower,220,-188
brooks,220,-170
john lewis,220,-174
stevens,218,-162
alan simpson,218,-194
executive director,218,-178
todd akin,218,-66
mayor bloomberg,217,-171
rumsfeld,216,-170
michael dukakis,216,-182
tom harkin,214,-170
arne duncan,213,-179
rick scott,213,-187
wolf blitzer,212,-124
adolf hitler,212,-148
williams,212,-154
jamie dimon,212,-160
julian assange,212,-194
george zimmerman,210,-128
kathleen sebelius,209,-181
schumer,209,-167
orrin hatch,209,-147
lehman brothers,209,-173
bruce springsteen,209,-117
mary,208,-150
john bolton,208,-174
frank schaeffer,207,-163
george soros,207,-179
jew,206,-162
franklin,206,-164
tim geithner,206,-184
nick turse,205,-185
gabrielle giffords,205,-1
paris hilton,204,-170
jim,204,-158
islam,204,-138
friedman,203,-145
adam smith,203,-185
eve,202,-158
blanche lincoln,202,-172
monica lewinsky,201,-143
bobby kennedy,200,-134
adams,199,-159
darrell issa,199,-161
lyndon b johnson,198,-166
gallup,197,-157
charles krauthammer,196,-152
dwight d eisenhower,196,-164
andrew sullivan,195,-119
stewart,195,-137
mark penn,195,-155
abbas,195,-125
rod blagojevich,195,-167
bob woodward,194,-134
ross perot,194,-150
wayne lapierre,194,-160
james carville,194,-150
byron williams,193,-175
nouri al-maliki,193,-157
