State,State_FIPS,County,FIPS,Dvote,Rvote,Ovote,Total,Dpercent,Rpercent,Opercent,Winner,Difference,Party
AL,1,Autauga,1001,"6,363","17,379",231,"23,973",26.54,72.49,0.96,Romney,45.95,Republican
AL,1,Barbour,1005,"5,912","5,550",55,"11,517",51.33,48.19,0.48,Obama,3.14,Democrat
AL,1,Bibb,1007,"2,202","6,132",86,"8,420",26.15,72.83,1.02,Romney,46.67,Republican
AL,1,Blount,1009,"2,970","20,757",333,"24,060",12.34,86.27,1.38,Romney,73.93,Republican
AL,1,Bullock,1011,"4,061","1,251",10,"5,322",76.31,23.51,0.19,Obama,52.8,Democrat
AL,1,Butler,1013,"4,374","5,087",41,"9,502",46.03,53.54,0.43,Romney,7.5,Republican
AL,1,Chambers,1017,"6,871","7,626",132,"14,629",46.97,52.13,0.9,Romney,5.16,Republican
AL,1,Cherokee,1019,"2,132","7,506",154,"9,792",21.77,76.65,1.57,Romney,54.88,Republican
AL,1,Chilton,1021,"3,397","13,932",156,"17,485",19.43,79.68,0.89,Romney,60.25,Republican
AL,1,Choctaw,1023,"3,786","4,152",38,"7,976",47.47,52.06,0.48,Romney,4.59,Republican
AL,1,Clarke,1025,"6,334","7,470",56,"13,860",45.7,53.9,0.4,Romney,8.2,Republican
AL,1,Clay,1027,"1,777","4,817",85,"6,679",26.61,72.12,1.27,Romney,45.52,Republican
AL,1,Cleburne,1029,971,"5,272",76,"6,319",15.37,83.43,1.2,Romney,68.06,Republican
AL,1,Coffee,1031,"4,925","14,666",230,"19,821",24.85,73.99,1.16,Romney,49.14,Republican
AL,1,Colbert,1033,"9,166","13,936",342,"23,444",39.1,59.44,1.46,Romney,20.35,Republican
AL,1,Conecuh,1035,"3,555","3,439",31,"7,025",50.6,48.95,0.44,Obama,1.65,Democrat
AL,1,Coosa,1037,"2,191","3,049",42,"5,282",41.48,57.72,0.8,Romney,16.24,Republican
AL,1,Covington,1039,"3,158","12,153",128,"15,439",20.45,78.72,0.83,Romney,58.26,Republican
AL,1,Crenshaw,1041,"2,050","4,331",43,"6,424",31.91,67.42,0.67,Romney,35.51,Republican
AL,1,Cullman,1043,"5,052","28,999",504,"34,555",14.62,83.92,1.46,Romney,69.3,Republican
AL,1,Dale,1045,"5,286","13,108",207,"18,601",28.42,70.47,1.11,Romney,42.05,Republican
AL,1,Dallas,1047,"14,612","6,288",64,"20,964",69.7,29.99,0.31,Obama,39.71,Democrat
AL,1,DeKalb,1049,"5,239","18,331",380,"23,950",21.87,76.54,1.59,Romney,54.66,Republican
AL,1,Elmore,1051,"8,954","26,253",339,"35,546",25.19,73.86,0.95,Romney,48.67,Republican
AL,1,Escambia,1053,"5,489","9,287",118,"14,894",36.85,62.35,0.79,Romney,25.5,Republican
AL,1,Etowah,1055,"12,803","29,130",691,"42,624",30.04,68.34,1.62,Romney,38.3,Republican
AL,1,Fayette,1057,"1,817","6,054",87,"7,958",22.83,76.07,1.09,Romney,53.24,Republican
AL,1,Franklin,1059,"3,171","7,567",143,"10,881",29.14,69.54,1.31,Romney,40.4,Republican
AL,1,Geneva,1061,"2,039","9,175",117,"11,331",17.99,80.97,1.03,Romney,62.98,Republican
AL,1,Greene,1063,"4,521",804,18,"5,343",84.62,15.05,0.34,Obama,69.57,Democrat
AL,1,Hale,1065,"5,411","3,210",26,"8,647",62.58,37.12,0.3,Obama,25.45,Democrat
AL,1,Henry,1067,"3,083","5,628",55,"8,766",35.17,64.2,0.63,Romney,29.03,Republican
AL,1,Houston,1069,"12,367","29,270",347,"41,984",29.46,69.72,0.83,Romney,40.26,Republican
AL,1,Jackson,1071,"5,822","14,439",371,"20,632",28.22,69.98,1.8,Romney,41.77,Republican
AL,1,Jefferson,1073,"159,876","141,683","2,964","304,523",52.5,46.53,0.97,Obama,5.97,Democrat
AL,1,Lamar,1075,"1,646","5,457",73,"7,176",22.94,76.05,1.02,Romney,53.11,Republican
AL,1,Lauderdale,1077,"12,511","23,911",610,"37,032",33.78,64.57,1.65,Romney,30.78,Republican
AL,1,Lawrence,1079,"5,069","8,874",205,"14,148",35.83,62.72,1.45,Romney,26.89,Republican
AL,1,Lee,1081,"21,381","32,194",921,"54,496",39.23,59.08,1.69,Romney,19.84,Republican
AL,1,Limestone,1083,"9,829","25,295",416,"35,540",27.66,71.17,1.17,Romney,43.52,Republican
AL,1,Lowndes,1085,"5,747","1,756",20,"7,523",76.39,23.34,0.27,Obama,53.05,Democrat
AL,1,Macon,1087,"9,045","1,331",20,"10,396",87,12.8,0.19,Obama,74.2,Democrat
AL,1,Madison,1089,"62,015","90,884","2,529","155,428",39.9,58.47,1.63,Romney,18.57,Republican
AL,1,Marengo,1091,"6,167","5,336",40,"11,543",53.43,46.23,0.35,Obama,7.2,Democrat
AL,1,Marion,1093,"2,249","9,697",183,"12,129",18.54,79.95,1.51,Romney,61.41,Republican
